Unnamed: 0,MIN,NOR,week,year,game_id
First Downs,23,19,4.0,2022,50
Rush-Yds-TDs,25-81-1,27-111-2,4.0,2022,50
Cmp-Att-Yd-TD-INT,26-39-286-1-1,20-28-236-1-0,4.0,2022,50
Sacked-Yards,3-23,2-9,4.0,2022,50
Net Pass Yards,263,227,4.0,2022,50
Total Yards,344,338,4.0,2022,50
Fumbles-Lost,0-0,2-2,4.0,2022,50
Turnovers,1,2,4.0,2022,50
Penalties-Yards,5-35,10-102,4.0,2022,50
Third Down Conv.,5-14,4-10,4.0,2022,50
Fourth Down Conv.,1-1,1-1,4.0,2022,50
Time of Possession,32:13,27:47,4.0,2022,50
