Quarter,Time,Tm,Detail,NWE,GNB,week,year,game_id
1,9:45,Patriots,Nick Folk 37 yard field goal,3,0,4.0,2022,62
2,13:00,Packers,Christian Watson 15 yard rush (Mason Crosby kick),3,7,4.0,2022,62
,0:13,Patriots,Jack Jones 40 yard interception return (Nick Folk kick),10,7,4.0,2022,62
3,9:20,Packers,Robert Tonyan 20 yard pass from Aaron Rodgers (Mason Crosby kick),10,14,4.0,2022,62
,4:52,Patriots,DeVante Parker 25 yard pass from Bailey Zappe (Nick Folk kick),17,14,4.0,2022,62
,0:05,Packers,Mason Crosby 38 yard field goal,17,17,4.0,2022,62
4,11:14,Patriots,Damien Harris 5 yard rush (Nick Folk kick),24,17,4.0,2022,62
,6:14,Packers,Romeo Doubs 13 yard pass from Aaron Rodgers (Mason Crosby kick),24,24,4.0,2022,62
OT,0:00,Packers,Mason Crosby 31 yard field goal,24,27,4.0,2022,62
