Quarter,Time,Tm,Detail,MIN,NOR,week,year,game_id
1.0,8:12,Vikings,Alexander Mattison 15 yard pass from Kirk Cousins (Greg Joseph kick),7,0,4.0,2022,50
2.0,8:57,Saints,Chris Olave 4 yard pass from Andy Dalton (Wil Lutz kick),7,7,4.0,2022,50
,1:04,Vikings,Greg Joseph 28 yard field goal,10,7,4.0,2022,50
,0:00,Vikings,Greg Joseph 36 yard field goal,13,7,4.0,2022,50
3.0,9:23,Vikings,Greg Joseph 24 yard field goal,16,7,4.0,2022,50
,3:49,Saints,Latavius Murray 1 yard rush (Wil Lutz kick),16,14,4.0,2022,50
4.0,14:14,Vikings,Greg Joseph 46 yard field goal,19,14,4.0,2022,50
,9:29,Saints,Taysom Hill 2 yard rush (Jarvis Landry pass from Andy Dalton),19,22,4.0,2022,50
,4:15,Vikings,Justin Jefferson 3 yard rush (Greg Joseph kick failed),25,22,4.0,2022,50
,1:51,Saints,Wil Lutz 60 yard field goal,25,25,4.0,2022,50
,0:24,Vikings,Greg Joseph 47 yard field goal,28,25,4.0,2022,50
