Unnamed: 0,WAS,DAL,week,year,game_id
First Downs,17,15,4.0,2022,55
Rush-Yds-TDs,27-142-0,29-62-0,4.0,2022,55
Cmp-Att-Yd-TD-INT,25-42-170-1-2,15-27-223-2-0,4.0,2022,55
Sacked-Yards,2-15,1-6,4.0,2022,55
Net Pass Yards,155,217,4.0,2022,55
Total Yards,297,279,4.0,2022,55
Fumbles-Lost,1-0,0-0,4.0,2022,55
Turnovers,2,0,4.0,2022,55
Penalties-Yards,11-136,4-20,4.0,2022,55
Third Down Conv.,5-15,5-15,4.0,2022,55
Fourth Down Conv.,0-2,0-0,4.0,2022,55
Time of Possession,33:06,26:54,4.0,2022,55
