Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Patrick Mahomes,KAN,0,0,0,0,0,4.0,2022,63
Clyde Edwards-Helaire,KAN,2,1,2,1,2,4.0,2022,63
Isiah Pacheco,KAN,0,0,0,0,0,4.0,2022,63
Noah Gray,KAN,1,0,0,0,0,4.0,2022,63
Travis Kelce,KAN,10,9,92,1,22,4.0,2022,63
Marquez Valdes-Scantling,KAN,5,3,63,0,36,4.0,2022,63
JuJu Smith-Schuster,KAN,8,5,46,0,19,4.0,2022,63
Skyy Moore,KAN,4,2,31,0,16,4.0,2022,63
Jody Fortson,KAN,1,1,10,1,10,4.0,2022,63
Mecole Hardman,KAN,1,1,4,0,4,4.0,2022,63
Justin Watson,KAN,1,0,0,0,0,4.0,2022,63
Jerick McKinnon,KAN,1,1,1,0,1,4.0,2022,63
Tom Brady,TAM,0,0,0,0,0,4.0,2022,63
Rachaad White,TAM,5,5,50,0,11,4.0,2022,63
Mike Evans,TAM,10,8,103,2,30,4.0,2022,63
Chris Godwin,TAM,10,7,59,0,12,4.0,2022,63
Cameron Brate,TAM,8,4,32,0,11,4.0,2022,63
Cade Otton,TAM,4,3,29,0,12,4.0,2022,63
Russell Gage,TAM,4,2,24,0,14,4.0,2022,63
Ko Kieft,TAM,1,1,19,0,19,4.0,2022,63
Julio Jones,TAM,2,1,7,0,7,4.0,2022,63
Cole Beasley,TAM,1,1,5,0,5,4.0,2022,63
Leonard Fournette,TAM,7,7,57,1,25,4.0,2022,63
