Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Ryan Tannehill,TEN,17,21,137,2,0,3,21,23,125.6,4.0,2022,54
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Treylon Burks,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Robert Woods,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Kyle Philips,TEN,0,0,0,0,0,0,0,0,,4.0,2022,54
Matt Ryan,IND,27,37,356,2,1,3,29,44,109.7,4.0,2022,54
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Alec Pierce,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Kylen Granson,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Parris Campbell,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Jelani Woods,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Ashton Dulin,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
Mike Strachan,IND,0,0,0,0,0,0,0,0,,4.0,2022,54
