Quarter,Time,Tm,Detail,NYJ,PIT,week,year,game_id
1.0,4:03,Jets,Greg Zuerlein 38 yard field goal,3,0,4.0,2022,59
2.0,12:37,Jets,Zach Wilson 2 yard pass from Braxton Berrios (Greg Zuerlein kick),10,0,4.0,2022,59
,8:30,Steelers,Chris Boswell 51 yard field goal,10,3,4.0,2022,59
,0:00,Steelers,Chris Boswell 59 yard field goal,10,6,4.0,2022,59
3.0,7:18,Steelers,Kenny Pickett 1 yard rush (Chris Boswell kick),10,13,4.0,2022,59
4.0,13:36,Steelers,Kenny Pickett 2 yard rush (Chris Boswell kick),10,20,4.0,2022,59
,7:31,Jets,Corey Davis 5 yard pass from Zach Wilson (Greg Zuerlein kick),17,20,4.0,2022,59
,0:16,Jets,Breece Hall 2 yard rush (Greg Zuerlein kick),24,20,4.0,2022,59
