Quarter,Time,Tm,Detail,MIA,CIN,week,year,game_id
1.0,10:19,Bengals,Joe Mixon 5 yard rush (Evan McPherson kick),0,7,4.0,2022,49
,6:05,Dolphins,Jason Sanders 23 yard field goal,3,7,4.0,2022,49
2.0,7:31,Dolphins,Jason Sanders 48 yard field goal,6,7,4.0,2022,49
,2:50,Bengals,Tee Higgins 59 yard pass from Joe Burrow (Evan McPherson kick),6,14,4.0,2022,49
,0:09,Dolphins,Chase Edmonds 7 yard pass from Teddy Bridgewater (Jason Sanders kick failed),12,14,4.0,2022,49
3.0,2:40,Dolphins,Jason Sanders 20 yard field goal,15,14,4.0,2022,49
4.0,12:00,Bengals,Evan McPherson 19 yard field goal,15,17,4.0,2022,49
,6:13,Bengals,Evan McPherson 57 yard field goal,15,20,4.0,2022,49
,1:52,Bengals,Hayden Hurst 2 yard pass from Joe Burrow (Evan McPherson kick),15,27,4.0,2022,49
