Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,,4.0,2022,52
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,52
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Devin Singletary left guard for 1 yard (tackle by Chuck Clark),0.61,0.27,4.0,2022,52
1.0,14:26,2.0,8.0,BUF 26,0.0,0.0,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Marcus Peters),0.27,-0.43,4.0,2022,52
1.0,14:23,3.0,8.0,BUF 26,0.0,0.0,"Josh Allen pass (defended by Calais Campbell) intended for Dawson Knox is intercepted by Marlon Humphrey at BUF-34 and returned for 26 yards (tackle by Mitch Morse and Devin Singletary). Penalty on Dion Dawkins: Face Mask (15 Yards), 4 yards (accepted)",-0.43,-6.28,4.0,2022,52
1.0,14:08,1.0,4.0,BUF 4,0.0,0.0,J.K. Dobbins up the middle for 3 yards (tackle by Damar Hamlin and Tremaine Edmunds),6.28,5.91,4.0,2022,52
1.0,13:30,2.0,1.0,BUF 1,0.0,6.0,"Lamar Jackson pass complete short middle to J.K. Dobbins for 1 yard, touchdown",5.91,7.0,4.0,2022,52
1.0,13:26,,,BUF 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,4.0,2022,52
1.0,13:26,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 64 yards, returned by Isaiah McKenzie for 42 yards (tackle by Justin Tucker)",0.0,1.8,4.0,2022,52
1.0,13:19,1.0,10.0,BUF 43,0.0,7.0,Josh Allen pass incomplete deep left intended for Jamison Crowder (defended by Marcus Williams),1.8,1.25,4.0,2022,52
1.0,13:13,2.0,10.0,BUF 43,0.0,7.0,Devin Singletary right tackle for 3 yards (tackle by Chuck Clark and Marcus Peters),1.25,0.96,4.0,2022,52
1.0,12:34,3.0,7.0,BUF 46,0.0,7.0,Josh Allen pass complete short middle to Stefon Diggs for 18 yards (tackle by Marcus Peters and Marcus Williams),0.96,3.18,4.0,2022,52
1.0,11:57,1.0,10.0,BAL 36,0.0,7.0,"Penalty on BAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.18,3.91,4.0,2022,52
1.0,11:42,1.0,5.0,BAL 31,0.0,7.0,Josh Allen scrambles up the middle for 8 yards (tackle by Odafe Oweh),3.91,4.04,4.0,2022,52
1.0,11:04,1.0,10.0,BAL 23,0.0,7.0,Josh Allen pass incomplete short middle intended for Jamison Crowder,4.04,3.5,4.0,2022,52
1.0,11:00,2.0,10.0,BAL 23,0.0,7.0,Josh Allen pass complete short right to Devin Singletary for 3 yards (tackle by Chuck Clark),3.5,3.2,4.0,2022,52
