#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,LAR 25,14,8:12,54,Field Goal,0,Rams,4.0,2022,64
2,1,2:46,LAR 25,3,1:19,-7,Punt,0,Rams,4.0,2022,64
3,2,12:40,LAR 20,3,0:49,1,Punt,0,Rams,4.0,2022,64
4,2,11:30,LAR 35,10,5:08,54,Field Goal,0,Rams,4.0,2022,64
5,2,2:46,LAR 21,6,2:15,0,Punt,0,Rams,4.0,2022,64
6,3,12:08,LAR 18,16,7:43,75,Field Goal,0,Rams,4.0,2022,64
7,4,14:53,LAR 21,3,1:34,0,Punt,0,Rams,4.0,2022,64
8,4,8:38,LAR 33,5,2:11,23,Interception,0,Rams,4.0,2022,64
9,4,6:27,LAR 26,13,4:38,44,Fumble,0,Rams,4.0,2022,64
10,4,0:45,LAR 42,3,0:45,18,End of Game,0,Rams,4.0,2022,64
