Unnamed: 0,LAC,HOU,week,year,game_id
First Downs,22,16,4.0,2022,57
Rush-Yds-TDs,27-81-2,14-131-1,4.0,2022,57
Cmp-Att-Yd-TD-INT,27-39-340-2-0,26-35-246-2-2,4.0,2022,57
Sacked-Yards,1-2,4-31,4.0,2022,57
Net Pass Yards,338,215,4.0,2022,57
Total Yards,419,346,4.0,2022,57
Fumbles-Lost,2-1,1-0,4.0,2022,57
Turnovers,1,2,4.0,2022,57
Penalties-Yards,6-61,9-67,4.0,2022,57
Third Down Conv.,8-16,4-12,4.0,2022,57
Fourth Down Conv.,1-2,0-2,4.0,2022,57
Time of Possession,31:39,28:21,4.0,2022,57
