Quarter,Time,Down,ToGo,Location,CLE,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Browns to receive the opening kickoff.",,,4.0,2022,51
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 58 yards, returned by Jerome Ford for 18 yards (tackle by Troy Andersen and Erik Harris)",0.0,0.61,4.0,2022,51
1.0,14:54,1.0,10.0,CLE 25,0.0,0.0,Jacoby Brissett pass complete to Donovan Peoples-Jones for 13 yards (tackle by Richie Grant),0.61,1.47,4.0,2022,51
1.0,14:22,1.0,10.0,CLE 38,0.0,0.0,"Penalty on Wyatt Teller: False Start, 5 yards (accepted) (no play)",1.47,1.14,4.0,2022,51
1.0,14:04,1.0,15.0,CLE 33,0.0,0.0,Jacoby Brissett pass complete deep right to David Njoku for 25 yards,1.14,2.79,4.0,2022,51
1.0,13:21,1.0,10.0,ATL 42,0.0,0.0,Nick Chubb right end for 11 yards (tackle by Lorenzo Carter and Grady Jarrett),2.79,3.51,4.0,2022,51
1.0,12:34,1.0,10.0,ATL 31,0.0,0.0,"Jacoby Brissett pass complete to David Njoku for 20 yards (tackle by Jaylinn Hawkins). Penalty on Ta'Quon Graham: Defensive Offside, 5 yards (declined)",3.51,4.84,4.0,2022,51
1.0,12:15,1.0,10.0,ATL 11,0.0,0.0,Nick Chubb left tackle for 1 yard (tackle by Mykal Walker and Rashaan Evans),4.84,4.32,4.0,2022,51
1.0,11:36,2.0,9.0,ATL 10,0.0,0.0,Jacoby Brissett pass complete short middle to Harrison Bryant for 8 yards (tackle by Mykal Walker and Troy Andersen),4.32,5.12,4.0,2022,51
1.0,11:15,3.0,1.0,ATL 2,0.0,0.0,Nick Chubb right end for -2 yards (tackle by Richie Grant and Rashaan Evans),5.12,3.03,4.0,2022,51
1.0,10:30,4.0,3.0,ATL 4,0.0,0.0,Jacoby Brissett pass incomplete short right intended for David Njoku,3.03,0.38,4.0,2022,51
1.0,10:19,1.0,10.0,ATL 4,0.0,0.0,Cordarrelle Patterson left end for 6 yards (tackle by Alex Wright),-0.38,-0.34,4.0,2022,51
1.0,9:52,2.0,4.0,ATL 10,0.0,0.0,Marcus Mariota pass complete deep middle to Kyle Pitts for 25 yards (tackle by John Johnson and Jeremiah Owusu-Koramoah),-0.34,1.27,4.0,2022,51
