Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Patriots to receive the opening kickoff.",,,4.0,2022,62
1,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,62
1,15:00,1.0,10.0,NWE 25,0.0,0.0,Damien Harris left guard for 5 yards (tackle by De'Vondre Campbell and Kenny Clark),0.61,0.74,4.0,2022,62
1,14:31,2.0,5.0,NWE 30,0.0,0.0,Brian Hoyer pass complete short right to Kendrick Bourne for 7 yards (tackle by Dean Lowry and Darnell Savage),0.74,1.4,4.0,2022,62
1,13:53,1.0,10.0,NWE 37,0.0,0.0,Damien Harris left end for 8 yards (tackle by De'Vondre Campbell),1.4,1.94,4.0,2022,62
1,13:18,2.0,2.0,NWE 45,0.0,0.0,Damien Harris right tackle for 3 yards (tackle by Jarran Reed and Rashan Gary),1.94,2.13,4.0,2022,62
1,12:35,1.0,10.0,NWE 48,0.0,0.0,Damien Harris right end for 6 yards (tackle by De'Vondre Campbell),2.13,2.39,4.0,2022,62
1,11:54,2.0,4.0,GNB 46,0.0,0.0,Brian Hoyer pass complete deep left to Nelson Agholor for 27 yards (tackle by Rasul Douglas),2.39,4.31,4.0,2022,62
1,11:08,,,,,,Timeout #1 by New England Patriots,,,4.0,2022,62
1,11:08,1.0,10.0,GNB 19,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Rashan Gary and Jarran Reed),4.31,3.88,4.0,2022,62
1,10:33,2.0,9.0,GNB 18,0.0,0.0,Brian Hoyer pass complete short left to DeVante Parker for -1 yards (tackle by Rasul Douglas),3.88,3.03,4.0,2022,62
1,9:56,3.0,10.0,GNB 19,0.0,0.0,Brian Hoyer pass incomplete short left intended for Hunter Henry,3.03,2.18,4.0,2022,62
1,9:49,4.0,10.0,GNB 19,3.0,0.0,Nick Folk 37 yard field goal good,2.18,3.0,4.0,2022,62
1,9:45,,,NWE 35,3.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,62
1,9:45,1.0,10.0,GNB 25,3.0,0.0,Aaron Rodgers pass complete short middle to Allen Lazard for 24 yards (tackle by Devin McCourty and Jack Jones),0.61,2.19,4.0,2022,62
1,9:01,1.0,10.0,GNB 49,3.0,0.0,"Aaron Rodgers pass complete short left to Romeo Doubs for 1 yard. Romeo Doubs fumbles (forced by Jack Jones), recovered by Jack Jones at GB-49",2.19,-2.32,4.0,2022,62
1,8:52,1.0,10.0,GNB 49,3.0,0.0,Damien Harris right end for 3 yards (tackle by Eric Stokes),2.32,2.19,4.0,2022,62
1,8:14,2.0,7.0,GNB 46,3.0,0.0,Brian Hoyer pass complete short middle to Rhamondre Stevenson for 6 yards (tackle by Adrian Amos),2.19,2.28,4.0,2022,62
1,7:36,3.0,1.0,GNB 40,3.0,0.0,Rhamondre Stevenson left guard for 3 yards (tackle by Dean Lowry),2.28,3.12,4.0,2022,62
1,7:00,1.0,10.0,GNB 37,3.0,0.0,Rhamondre Stevenson right end for 2 yards (tackle by Kenny Clark and Rashan Gary),3.12,2.84,4.0,2022,62
1,6:23,2.0,8.0,GNB 35,3.0,0.0,Brian Hoyer pass complete short right to Damien Harris for -2 yards (tackle by Adrian Amos),2.84,1.88,4.0,2022,62
1,5:50,3.0,10.0,GNB 37,3.0,0.0,Brian Hoyer sacked by Rashan Gary for -8 yards,1.88,0.27,4.0,2022,62
1,5:11,4.0,18.0,GNB 45,3.0,0.0,"Jake Bailey punts 45 yards, touchback.",0.27,-0.28,4.0,2022,62
1,5:00,1.0,10.0,GNB 20,3.0,0.0,AJ Dillon up the middle for 5 yards (tackle by Adrian Phillips and Christian Barmore),0.28,0.41,4.0,2022,62
1,3:57,2.0,5.0,GNB 25,3.0,0.0,"Aaron Jones for 20 yards (tackle by Mack Wilson). Penalty on Mack Wilson: Face Mask (15 Yards), 15 yards (accepted)",0.41,2.92,4.0,2022,62
1,3:52,1.0,10.0,NWE 40,3.0,0.0,Aaron Jones left end for 1 yard (tackle by Anfernee Jennings and Davon Godchaux),2.92,2.51,4.0,2022,62
1,3:13,2.0,9.0,NWE 39,3.0,0.0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,2.51,1.82,4.0,2022,62
1,3:07,3.0,9.0,NWE 39,3.0,0.0,Aaron Rodgers sacked by Matt Judon for -7 yards,1.82,0.2,4.0,2022,62
1,2:31,4.0,16.0,NWE 46,3.0,0.0,"Pat O'Donnell punts 38 yards, fair catch by Marcus Jones at NE-8",0.2,0.38,4.0,2022,62
1,2:25,1.0,10.0,NWE 8,3.0,0.0,"Penalty on Isaiah Wynn: False Start, 4 yards (accepted) (no play)",-0.38,-0.53,4.0,2022,62
1,2:25,1.0,14.0,NWE 4,3.0,0.0,"Damien Harris right end for 2 yards (tackle by Eric Stokes and Rudy Ford) Penalty on NWE: Offensive Holding, 2 yards (declined)",-0.53,-0.93,4.0,2022,62
1,2:07,2.0,12.0,NWE 6,3.0,0.0,Damien Harris up the middle for 4 yards (tackle by Devonte Wyatt),-0.93,-1.19,4.0,2022,62
1,1:22,3.0,8.0,NWE 10,3.0,0.0,Bailey Zappe pass incomplete short right intended for Rhamondre Stevenson,-1.19,-2.49,4.0,2022,62
