Unnamed: 0,TEN,IND,week,year,game_id
First Downs,19,21,4.0,2022,54
Rush-Yds-TDs,28-127-1,23-38-0,4.0,2022,54
Cmp-Att-Yd-TD-INT,17-21-137-2-0,27-37-356-2-1,4.0,2022,54
Sacked-Yards,3-21,3-29,4.0,2022,54
Net Pass Yards,116,327,4.0,2022,54
Total Yards,243,365,4.0,2022,54
Fumbles-Lost,0-0,3-2,4.0,2022,54
Turnovers,0,3,4.0,2022,54
Penalties-Yards,6-40,7-50,4.0,2022,54
Third Down Conv.,5-12,7-13,4.0,2022,54
Fourth Down Conv.,0-0,0-0,4.0,2022,54
Time of Possession,26:03,33:57,4.0,2022,54
