Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,4.0,2022,55
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,55
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Ezekiel Elliott left tackle for 5 yards (tackle by Montez Sweat and Daron Payne),0.61,0.74,4.0,2022,55
1.0,14:27,2.0,5.0,DAL 30,0.0,0.0,Cooper Rush pass incomplete short right intended for Michael Gallup,0.74,0.04,4.0,2022,55
1.0,14:20,3.0,5.0,DAL 30,0.0,0.0,Cooper Rush pass complete short left to Ezekiel Elliott for 31 yards (tackle by Kamren Curl),0.04,2.98,4.0,2022,55
1.0,13:32,1.0,10.0,WAS 39,0.0,0.0,Ezekiel Elliott right tackle for 1 yard (tackle by Jonathan Allen),2.98,2.58,4.0,2022,55
1.0,12:58,2.0,9.0,WAS 38,0.0,0.0,Ezekiel Elliott left guard for 1 yard (tackle by Jamin Davis and Jonathan Allen),2.58,2.02,4.0,2022,55
1.0,12:18,3.0,8.0,WAS 37,0.0,0.0,Cooper Rush pass complete short right to Tony Pollard for 2 yards (tackle by Cole Holcomb),2.02,0.97,4.0,2022,55
1.0,11:39,4.0,6.0,WAS 35,0.0,3.0,Brett Maher 53 yard field goal good,0.97,3.0,4.0,2022,55
1.0,11:34,,,DAL 35,0.0,3.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,55
1.0,11:34,1.0,10.0,WAS 25,0.0,3.0,Antonio Gibson right guard for 4 yards (tackle by Osa Odighizuwa and Leighton Vander Esch),0.61,0.6,4.0,2022,55
1.0,10:56,2.0,6.0,WAS 29,0.0,3.0,Antonio Gibson left end for 8 yards (tackle by Leighton Vander Esch and Israel Mukuamu),0.6,1.4,4.0,2022,55
1.0,10:12,1.0,10.0,WAS 37,0.0,3.0,Carson Wentz pass complete short middle to Antonio Gibson for 3 yards (tackle by Leighton Vander Esch and DeMarcus Lawrence),1.4,1.26,4.0,2022,55
1.0,9:42,2.0,7.0,WAS 40,0.0,3.0,Carson Wentz pass complete short right to Terry McLaurin for 9 yards (tackle by Leighton Vander Esch),1.26,2.19,4.0,2022,55
1.0,9:04,1.0,10.0,WAS 49,0.0,3.0,Jonathan Williams right tackle for 3 yards (tackle by Quinton Bohanna),2.19,2.05,4.0,2022,55
1.0,8:22,2.0,7.0,DAL 48,0.0,3.0,"Penalty on Trai Turner: False Start, 5 yards (accepted) (no play)",2.05,1.38,4.0,2022,55
1.0,8:01,2.0,12.0,WAS 47,0.0,3.0,Carson Wentz sacked by Neville Gallimore for -9 yards,1.38,-0.49,4.0,2022,55
1.0,7:17,3.0,21.0,WAS 38,0.0,3.0,Carson Wentz pass incomplete short left intended for John Bates,-0.49,-0.85,4.0,2022,55
1.0,7:12,4.0,21.0,WAS 38,0.0,3.0,Tress Way punts 52 yards downed by Milo Eifler,-0.85,0.38,4.0,2022,55
1.0,7:01,1.0,10.0,DAL 10,0.0,3.0,Ezekiel Elliott right guard for 5 yards (tackle by Darrick Forrest),-0.38,-0.35,4.0,2022,55
1.0,6:24,2.0,5.0,DAL 15,0.0,3.0,Ezekiel Elliott left guard for 2 yards (tackle by Jonathan Allen and Cole Holcomb),-0.35,-0.6,4.0,2022,55
1.0,5:46,3.0,3.0,DAL 17,0.0,3.0,Cooper Rush sacked by Jonathan Allen for -6 yards,-0.6,-2.49,4.0,2022,55
1.0,5:06,4.0,9.0,DAL 11,0.0,3.0,"Bryan Anger punts 51 yards, returned by Dax Milne for no gain (tackle by C.J. Goodwin and Kelvin Joseph)",-2.49,-1.47,4.0,2022,55
1.0,4:58,1.0,10.0,WAS 38,0.0,3.0,Antonio Gibson left tackle for 4 yards (tackle by Dorance Armstrong),1.47,1.46,4.0,2022,55
1.0,4:21,2.0,6.0,WAS 42,0.0,3.0,"Antonio Gibson for no gain (tackle by Leighton Vander Esch). Penalty on Nick Martin: Offensive Holding, 10 yards (accepted) (no play)",1.46,0.11,4.0,2022,55
1.0,3:50,2.0,16.0,WAS 32,0.0,3.0,J.D. McKissic right tackle for 1 yard (tackle by Trysten Hill),0.11,-0.43,4.0,2022,55
1.0,3:02,3.0,15.0,WAS 33,0.0,3.0,Carson Wentz pass incomplete deep right intended for Terry McLaurin,-0.43,-1.18,4.0,2022,55
1.0,2:56,4.0,15.0,WAS 33,0.0,3.0,"Tress Way punts 51 yards, returned by KaVontae Turpin for -3 yards (tackle by Darrick Forrest)",-1.18,0.32,4.0,2022,55
1.0,2:44,1.0,10.0,DAL 13,0.0,3.0,Cooper Rush pass complete short middle to CeeDee Lamb for 23 yards (tackle by Bobby McCain and Jamin Davis),-0.32,1.33,4.0,2022,55
1.0,2:14,1.0,10.0,DAL 36,0.0,3.0,Cooper Rush pass complete short left to CeeDee Lamb for 16 yards (tackle by Kamren Curl),1.33,2.39,4.0,2022,55
1.0,1:26,1.0,10.0,WAS 48,0.0,3.0,Cooper Rush pass complete short middle to CeeDee Lamb for 17 yards (tackle by Darrick Forrest and Bobby McCain),2.39,3.51,4.0,2022,55
1.0,0:53,1.0,10.0,WAS 31,0.0,3.0,Tony Pollard left tackle for -2 yards (tackle by Jonathan Allen),3.51,2.7,4.0,2022,55
1.0,0:16,2.0,12.0,WAS 33,0.0,3.0,Cooper Rush pass incomplete short right intended for Noah Brown,2.7,2.02,4.0,2022,55
1.0,0:12,3.0,12.0,WAS 33,0.0,3.0,Cooper Rush scrambles for 6 yards (tackle by Benjamin St-Juste),2.02,1.7,4.0,2022,55
2.0,15:00,4.0,6.0,WAS 27,0.0,6.0,Brett Maher 45 yard field goal good,1.7,3.0,4.0,2022,55
2.0,14:56,,,DAL 35,0.0,6.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,55
2.0,14:56,1.0,10.0,WAS 25,0.0,6.0,Carson Wentz pass complete short right to Antonio Gibson for no gain (tackle by Donovan Wilson),0.61,0.06,4.0,2022,55
2.0,14:20,2.0,10.0,WAS 25,0.0,6.0,Antonio Gibson left end for 11 yards (tackle by Malik Hooker),0.06,1.33,4.0,2022,55
2.0,13:49,1.0,10.0,WAS 36,0.0,6.0,Jonathan Williams up the middle for 2 yards (tackle by DeMarcus Lawrence),1.33,1.06,4.0,2022,55
2.0,13:08,2.0,8.0,WAS 38,0.0,6.0,Jonathan Williams left end for 18 yards (tackle by Leighton Vander Esch),1.06,2.65,4.0,2022,55
2.0,12:34,1.0,10.0,DAL 44,0.0,6.0,"Carson Wentz pass incomplete short right. Penalty on Carson Wentz: Intentional Grounding, 12 yards (accepted)",2.65,0.49,4.0,2022,55
2.0,12:25,2.0,22.0,WAS 44,0.0,6.0,Carson Wentz pass complete short right to Antonio Gibson for 11 yards (tackle by Micah Parsons),0.49,1.29,4.0,2022,55
2.0,11:47,3.0,11.0,DAL 45,0.0,6.0,Carson Wentz pass incomplete short right intended for J.D. McKissic,1.29,0.27,4.0,2022,55
2.0,11:43,4.0,11.0,DAL 45,0.0,6.0,Tress Way punts 29 yards downed by Jeremy Reaves,0.27,0.14,4.0,2022,55
2.0,11:33,1.0,10.0,DAL 16,0.0,6.0,Ezekiel Elliott right tackle for 1 yard (tackle by Kamren Curl),-0.14,-0.51,4.0,2022,55
2.0,10:59,2.0,9.0,DAL 17,0.0,6.0,Cooper Rush pass incomplete deep left intended for Noah Brown,-0.51,-1.2,4.0,2022,55
2.0,10:53,3.0,9.0,DAL 17,0.0,6.0,Cooper Rush pass incomplete short right,-1.2,-2.32,4.0,2022,55
2.0,10:48,4.0,9.0,DAL 17,0.0,6.0,"Bryan Anger punts 48 yards, fair catch by Dax Milne at WAS-35",-2.32,-1.27,4.0,2022,55
2.0,10:40,1.0,10.0,WAS 35,0.0,6.0,Antonio Gibson left tackle for 6 yards (tackle by Dorance Armstrong and Osa Odighizuwa),1.27,1.53,4.0,2022,55
2.0,10:07,2.0,4.0,WAS 41,0.0,6.0,Carson Wentz pass complete short right to Curtis Samuel for 6 yards (tackle by Micah Parsons),1.53,2.06,4.0,2022,55
2.0,9:42,1.0,10.0,WAS 47,0.0,6.0,Antonio Gibson up the middle for 3 yards (tackle by Anthony Barr and Leighton Vander Esch),2.06,1.92,4.0,2022,55
2.0,9:00,2.0,7.0,WAS 50,0.0,6.0,J.D. McKissic right tackle for 33 yards (tackle by Leighton Vander Esch),1.92,4.44,4.0,2022,55
2.0,8:26,1.0,10.0,DAL 17,0.0,6.0,Carson Wentz pass complete short left to Terry McLaurin for 6 yards (tackle by Leighton Vander Esch and Malik Hooker),4.44,4.89,4.0,2022,55
2.0,8:01,2.0,4.0,DAL 11,0.0,6.0,J.D. McKissic up the middle for 1 yard (tackle by Donovan Wilson),4.89,4.34,4.0,2022,55
2.0,7:11,3.0,3.0,DAL 10,6.0,6.0,"Carson Wentz pass complete short right to Jahan Dotson for 10 yards, touchdown",4.34,7.0,4.0,2022,55
2.0,7:05,,,DAL 15,7.0,6.0,Joey Slye kicks extra point good,0.0,0.0,4.0,2022,55
2.0,7:05,,,WAS 35,7.0,6.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,55
2.0,7:05,1.0,10.0,DAL 25,7.0,6.0,Cooper Rush pass incomplete short right intended for Dalton Schultz (defended by Darrick Forrest),0.61,0.06,4.0,2022,55
2.0,7:00,2.0,10.0,DAL 25,7.0,6.0,Ezekiel Elliott up the middle for 3 yards (tackle by Daron Payne and Cole Holcomb),0.06,-0.23,4.0,2022,55
2.0,6:16,3.0,7.0,DAL 28,7.0,6.0,"Cooper Rush pass is intercepted by Benjamin St-Juste at 50 and returned for no gain (tackle by Michael Gallup). Penalty on Benjamin St-Juste: Illegal Contact, 5 yards (accepted) (no play)",-0.23,1.14,4.0,2022,55
