Quarter,Time,Tm,Detail,LAR,SFO,week,year,game_id
1.0,6:48,Rams,Matt Gay 39 yard field goal,3,0,4.0,2022,64
,2:46,49ers,Jeff Wilson 32 yard rush (Robbie Gould kick),3,7,4.0,2022,64
2.0,6:22,Rams,Matt Gay 29 yard field goal,6,7,4.0,2022,64
,2:46,49ers,Deebo Samuel 57 yard pass from Jimmy Garoppolo (Robbie Gould kick),6,14,4.0,2022,64
3.0,4:25,Rams,Matt Gay 26 yard field goal,9,14,4.0,2022,64
4.0,14:53,49ers,Robbie Gould 25 yard field goal,9,17,4.0,2022,64
,6:27,49ers,Talanoa Hufanga 52 yard interception return (Robbie Gould kick),9,24,4.0,2022,64
