0,1,week,year,game_id
Won Toss,Falcons (deferred),4.0,2022,51
Roof,retractable roof (open),4.0,2022,51
Surface,fieldturf,4.0,2022,51
Duration,2:47,4.0,2022,51
Attendance,69435,4.0,2022,51
Vegas Line,Cleveland Browns -1.0,4.0,2022,51
Over/Under,47.5 (under),4.0,2022,51
