Unnamed: 0,NWE,GNB,week,year,game_id
First Downs,17,24,4.0,2022,62
Rush-Yds-TDs,33-167-1,35-199-1,4.0,2022,62
Cmp-Att-Yd-TD-INT,15-21-136-1-0,21-35-251-2-1,4.0,2022,62
Sacked-Yards,4-32,1-7,4.0,2022,62
Net Pass Yards,104,244,4.0,2022,62
Total Yards,271,443,4.0,2022,62
Fumbles-Lost,1-1,2-1,4.0,2022,62
Turnovers,1,2,4.0,2022,62
Penalties-Yards,7-75,4-40,4.0,2022,62
Third Down Conv.,3-11,6-14,4.0,2022,62
Fourth Down Conv.,0-0,1-1,4.0,2022,62
Time of Possession,33:11,36:49,4.0,2022,62
