Unnamed: 0,BUF,BAL,week,year,game_id
First Downs,22,22,4.0,2022,52
Rush-Yds-TDs,25-125-1,33-162-1,4.0,2022,52
Cmp-Att-Yd-TD-INT,19-36-213-1-1,20-29-144-1-2,4.0,2022,52
Sacked-Yards,1-12,2-10,4.0,2022,52
Net Pass Yards,201,134,4.0,2022,52
Total Yards,326,296,4.0,2022,52
Fumbles-Lost,2-1,0-0,4.0,2022,52
Turnovers,2,2,4.0,2022,52
Penalties-Yards,4-31,9-70,4.0,2022,52
Third Down Conv.,4-11,6-13,4.0,2022,52
Fourth Down Conv.,1-1,1-2,4.0,2022,52
Time of Possession,21:50,38:10,4.0,2022,52
