Quarter,Time,Down,ToGo,Location,LAC,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Texans to receive the opening kickoff.",,,4.0,2022,57
1.0,15:00,,,LAC 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,57
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Dameon Pierce right tackle for 4 yards (tackle by Austin Johnson and Kenneth Murray),0.61,0.6,4.0,2022,57
1.0,14:21,2.0,6.0,HOU 29,0.0,0.0,Davis Mills pass complete short left to Dameon Pierce for 1 yard (tackle by Asante Samuel),0.6,0.04,4.0,2022,57
1.0,13:40,,,,,,Timeout #1 by Houston Texans,,,4.0,2022,57
1.0,13:40,3.0,5.0,HOU 30,0.0,0.0,Davis Mills pass intended for Nico Collins is intercepted by Nasir Adderley at LAC-45 and returned for 30 yards (tackle by Nico Collins),0.04,-3.91,4.0,2022,57
1.0,13:28,1.0,10.0,HOU 25,0.0,0.0,Austin Ekeler left tackle for -1 yards (tackle by Roy Lopez),3.91,3.23,4.0,2022,57
1.0,12:54,2.0,11.0,HOU 26,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 3 yards (tackle by Derek Stingley),3.23,2.94,4.0,2022,57
1.0,12:21,3.0,8.0,HOU 23,0.0,0.0,"Penalty on Jonathan Greenard: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.94,3.66,4.0,2022,57
1.0,12:04,3.0,3.0,HOU 18,6.0,0.0,"Justin Herbert pass complete deep middle to Gerald Everett for 18 yards, touchdown",3.66,7.0,4.0,2022,57
1.0,12:00,,,HOU 15,7.0,0.0,Dustin Hopkins kicks extra point good,0.0,0.0,4.0,2022,57
1.0,12:00,,,LAC 35,7.0,0.0,"Dustin Hopkins kicks off 61 yards, returned by Tremon Smith for 24 yards (tackle by Nick Niemann and Dustin Hopkins)",0.0,0.81,4.0,2022,57
1.0,11:53,1.0,10.0,HOU 28,7.0,0.0,Dameon Pierce right tackle for 9 yards (tackle by Derwin James and Drue Tranquill),0.81,1.48,4.0,2022,57
1.0,11:20,2.0,1.0,HOU 37,7.0,0.0,Davis Mills pass complete short left to Brandin Cooks for 4 yards (tackle by Asante Samuel),1.48,1.66,4.0,2022,57
1.0,10:42,1.0,10.0,HOU 41,7.0,0.0,"Davis Mills pass incomplete deep right intended for Brandin Cooks. Penalty on Asante Samuel: Defensive Pass Interference, 16 yards (accepted) (no play)",1.66,2.72,4.0,2022,57
1.0,10:35,1.0,10.0,LAC 43,7.0,0.0,Dameon Pierce right tackle for -1 yards (tackle by Sebastian Joseph-Day),2.72,2.04,4.0,2022,57
1.0,9:57,2.0,11.0,LAC 44,7.0,0.0,Davis Mills pass complete short right to Mason Schreck for no gain (tackle by Derwin James),2.04,1.36,4.0,2022,57
1.0,9:14,3.0,11.0,LAC 44,7.0,0.0,"Davis Mills pass complete to Brandin Cooks for no gain. Penalty on Kenyon Green: Offensive Holding, 10 yards (accepted) (no play)",1.36,0.04,4.0,2022,57
1.0,8:52,3.0,21.0,HOU 46,7.0,0.0,Davis Mills sacked by Morgan Fox for -10 yards,0.04,-0.98,4.0,2022,57
