Quarter,Time,Down,ToGo,Location,MIA,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Bengals to receive the opening kickoff.",,,4.0,2022,49
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Mixon right guard for 1 yard (tackle by Christian Wilkins and Xavien Howard),0.61,0.2,4.0,2022,49
1.0,14:28,2.0,9.0,CIN 26,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Keion Crossen),0.2,0.56,4.0,2022,49
1.0,13:47,3.0,1.0,CIN 34,0.0,0.0,Joe Burrow pass complete short left to Hayden Hurst for 19 yards (tackle by Elandon Roberts and Jevon Holland),0.56,2.46,4.0,2022,49
1.0,13:05,1.0,10.0,MIA 47,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Jerome Baker),2.46,3.12,4.0,2022,49
1.0,12:35,1.0,10.0,MIA 37,0.0,0.0,Joe Mixon left guard for 2 yards (tackle by Brandon Jones and Trey Flowers),3.12,2.84,4.0,2022,49
1.0,11:47,2.0,8.0,MIA 35,0.0,0.0,"Joe Burrow pass complete short right to Hayden Hurst for 6 yards (tackle by Kader Kohou). Penalty on Keion Crossen: Unnecessary Roughness / Defense, 15 yards (accepted)",2.84,4.65,4.0,2022,49
1.0,11:26,1.0,10.0,MIA 14,0.0,0.0,"Penalty on Zach Sieler: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.65,5.8,4.0,2022,49
1.0,11:16,1.0,5.0,MIA 9,0.0,0.0,Joe Burrow pass incomplete short right intended for Tyler Boyd,5.8,4.9,4.0,2022,49
1.0,11:12,2.0,5.0,MIA 9,0.0,0.0,Joe Mixon right tackle for 4 yards (tackle by Eric Rowe),4.9,4.96,4.0,2022,49
1.0,10:26,,,,,,Timeout #1 by Cincinnati Bengals,,,4.0,2022,49
1.0,10:26,3.0,1.0,MIA 5,0.0,6.0,"Joe Mixon up the middle for 5 yards, touchdown",4.96,7.0,4.0,2022,49
1.0,10:19,,,MIA 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,4.0,2022,49
1.0,10:19,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
1.0,10:19,1.0,10.0,MIA 25,0.0,7.0,Raheem Mostert left tackle for 7 yards (tackle by Germaine Pratt and B.J. Hill),0.61,1.01,4.0,2022,49
1.0,9:37,2.0,3.0,MIA 32,0.0,7.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 26 yards (tackle by Jessie Bates),1.01,2.79,4.0,2022,49
1.0,9:00,1.0,10.0,CIN 42,0.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 20 yards (tackle by Jessie Bates),2.79,4.11,4.0,2022,49
1.0,8:20,1.0,10.0,CIN 22,0.0,7.0,Tua Tagovailoa pass incomplete short right intended for Mike Gesicki (defended by B.J. Hill),4.11,3.56,4.0,2022,49
1.0,8:15,2.0,10.0,CIN 22,0.0,7.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 11 yards (tackle by Vonn Bell),3.56,4.84,4.0,2022,49
1.0,7:38,1.0,10.0,CIN 11,0.0,7.0,Tyreek Hill right end for -1 yards (tackle by Sam Hubbard),4.84,3.98,4.0,2022,49
1.0,6:56,2.0,11.0,CIN 12,0.0,7.0,Tua Tagovailoa pass complete short middle to Chase Edmonds for 7 yards (tackle by Germaine Pratt),3.98,4.44,4.0,2022,49
1.0,6:15,3.0,4.0,CIN 5,0.0,7.0,Tua Tagovailoa pass incomplete short right intended for Chase Edmonds,4.44,3.01,4.0,2022,49
1.0,6:09,4.0,4.0,CIN 5,3.0,7.0,Jason Sanders 23 yard field goal good,3.01,3.0,4.0,2022,49
1.0,6:05,,,MIA 35,3.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
