Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Kyler Murray,ARI,0,0,0,0,0,4.0,2022,60
James Conner,ARI,3,3,22,0,14,4.0,2022,60
Eno Benjamin,ARI,1,1,9,0,9,4.0,2022,60
Darrel Williams,ARI,1,0,0,0,0,4.0,2022,60
Marquise Brown,ARI,11,6,88,1,23,4.0,2022,60
Zach Ertz,ARI,6,6,47,1,23,4.0,2022,60
Trey McBride,ARI,3,3,24,0,11,4.0,2022,60
Greg Dortch,ARI,1,1,6,0,6,4.0,2022,60
Rondale Moore,ARI,5,3,11,0,7,4.0,2022,60
Baker Mayfield,CAR,0,0,0,0,0,4.0,2022,60
Christian McCaffrey,CAR,9,9,81,1,34,4.0,2022,60
D.J. Moore,CAR,11,6,50,0,16,4.0,2022,60
D'Onta Foreman,CAR,0,0,0,0,0,4.0,2022,60
Tommy Tremble,CAR,6,3,34,0,16,4.0,2022,60
Robbie Chosen,CAR,5,3,26,0,13,4.0,2022,60
Ian Thomas,CAR,3,1,6,0,6,4.0,2022,60
Laviska Shenault Jr.,CAR,0,0,0,0,0,4.0,2022,60
Shi Smith,CAR,2,0,0,0,0,4.0,2022,60
