Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Colts to receive the opening kickoff.",,,4.0,2022,54
1.0,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,54
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor left end for 1 yard (tackle by Bud Dupree and Jeffery Simmons),0.61,0.2,4.0,2022,54
1.0,14:26,2.0,9.0,IND 26,0.0,0.0,Jonathan Taylor right tackle for 10 yards (tackle by Kevin Byard and Andrew Adams),0.2,1.33,4.0,2022,54
1.0,13:51,1.0,10.0,IND 36,0.0,0.0,Matt Ryan pass incomplete short middle intended for Jonathan Taylor (defended by Teair Tart),1.33,0.79,4.0,2022,54
1.0,13:45,2.0,10.0,IND 36,0.0,0.0,Jonathan Taylor right tackle for -2 yards (tackle by Jeffery Simmons and David Long),0.79,-0.16,4.0,2022,54
1.0,13:04,3.0,12.0,IND 34,0.0,0.0,Matt Ryan pass complete short left to Kylen Granson for 14 yards (tackle by Roger McCreary),-0.16,2.13,4.0,2022,54
1.0,12:25,1.0,10.0,IND 48,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Joe Schobert),2.13,1.85,4.0,2022,54
1.0,11:48,2.0,8.0,IND 50,0.0,0.0,Jonathan Taylor left tackle for no gain (tackle by Dylan Cole),1.85,1.16,4.0,2022,54
1.0,11:10,3.0,8.0,IND 50,0.0,0.0,"Matt Ryan pass incomplete intended for Michael Pittman. Penalty on Denico Autry: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.16,2.59,4.0,2022,54
1.0,11:04,1.0,10.0,TEN 45,0.0,0.0,Matt Ryan pass incomplete short left intended for Michael Pittman,2.59,2.04,4.0,2022,54
1.0,11:00,2.0,10.0,TEN 45,0.0,0.0,Matt Ryan pass incomplete short right,2.04,1.36,4.0,2022,54
1.0,10:56,3.0,10.0,TEN 45,0.0,0.0,"Penalty on IND: False Start, 5 yards (accepted) (no play)",1.36,0.7,4.0,2022,54
1.0,10:56,3.0,15.0,TEN 50,0.0,0.0,"Matt Ryan sacked by Denico Autry for -17 yards. Matt Ryan fumbles (forced by Denico Autry), recovered by Bud Dupree at IND-32",0.7,-3.45,4.0,2022,54
1.0,10:47,1.0,10.0,IND 32,0.0,0.0,Derrick Henry left tackle for 2 yards (tackle by Grover Stewart and Zaire Franklin),3.45,3.17,4.0,2022,54
1.0,10:09,2.0,8.0,IND 30,0.0,0.0,Ryan Tannehill pass complete short right to Dontrell Hilliard for 2 yards (tackle by Shaquille Leonard and Kenny Moore),3.17,2.74,4.0,2022,54
1.0,9:26,3.0,6.0,IND 28,0.0,0.0,Ryan Tannehill scrambles up the middle for 9 yards (tackle by Kenny Moore),2.74,4.31,4.0,2022,54
1.0,8:43,1.0,10.0,IND 19,0.0,0.0,Derrick Henry right end for 12 yards (tackle by Rodney Thomas),4.31,5.6,4.0,2022,54
1.0,8:04,1.0,7.0,IND 7,6.0,0.0,"Ryan Tannehill pass complete short right to Robert Woods for 7 yards, touchdown",5.6,7.0,4.0,2022,54
1.0,8:00,,,IND 15,7.0,0.0,Randy Bullock kicks extra point good,0.0,0.0,4.0,2022,54
1.0,8:00,,,TEN 35,7.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,54
1.0,8:00,1.0,10.0,IND 25,7.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Dylan Cole),0.61,0.33,4.0,2022,54
1.0,7:19,2.0,8.0,IND 27,7.0,0.0,Matt Ryan pass incomplete short left intended for Jonathan Taylor (defended by David Long),0.33,-0.36,4.0,2022,54
1.0,7:16,3.0,8.0,IND 27,7.0,0.0,Matt Ryan pass incomplete short right intended for Mike Strachan,-0.36,-1.57,4.0,2022,54
1.0,7:12,4.0,8.0,IND 27,7.0,0.0,"Matt Haack punts 48 yards, fair catch by Robert Woods at TEN-25",-1.57,-0.61,4.0,2022,54
1.0,7:05,1.0,10.0,TEN 25,7.0,0.0,Derrick Henry right end for 6 yards (tackle by Zaire Franklin),0.61,0.87,4.0,2022,54
1.0,6:28,2.0,4.0,TEN 31,7.0,0.0,Derrick Henry up the middle for 1 yard (tackle by E.J. Speed),0.87,0.3,4.0,2022,54
1.0,5:48,3.0,3.0,TEN 32,7.0,0.0,Ryan Tannehill pass complete short left to Austin Hooper for 4 yards (tackle by Brandon Facyson and Zaire Franklin),0.3,1.33,4.0,2022,54
1.0,5:12,1.0,10.0,TEN 36,7.0,0.0,Ryan Tannehill pass complete short left to Derrick Henry for 22 yards (tackle by Rodney Thomas),1.33,2.79,4.0,2022,54
1.0,4:28,1.0,10.0,IND 42,7.0,0.0,Ryan Tannehill pass complete deep left to Chigoziem Okonkwo for 23 yards (tackle by Zaire Franklin),2.79,4.31,4.0,2022,54
1.0,3:53,1.0,10.0,IND 19,13.0,0.0,"Derrick Henry right end for 19 yards, touchdown",4.31,7.0,4.0,2022,54
1.0,3:46,,,IND 15,14.0,0.0,Randy Bullock kicks extra point good,0.0,0.0,4.0,2022,54
1.0,3:46,,,TEN 35,14.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,54
1.0,3:46,1.0,10.0,IND 25,14.0,0.0,Matt Ryan pass complete short right to Kylen Granson for 19 yards (tackle by David Long and Roger McCreary),0.61,1.86,4.0,2022,54
1.0,3:11,1.0,10.0,IND 44,14.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by Mario Edwards),1.86,1.45,4.0,2022,54
1.0,2:36,2.0,9.0,IND 45,14.0,0.0,Matt Ryan pass complete short left to Michael Pittman for 10 yards (tackle by Caleb Farley),1.45,2.59,4.0,2022,54
1.0,1:54,1.0,10.0,TEN 45,14.0,0.0,Jonathan Taylor left end for -1 yards (tackle by Dylan Cole and Mario Edwards),2.59,1.91,4.0,2022,54
1.0,1:18,2.0,11.0,TEN 46,14.0,0.0,Matt Ryan pass complete short left to Parris Campbell for 20 yards (tackle by Joshua Kalu),1.91,3.84,4.0,2022,54
1.0,0:37,1.0,10.0,TEN 26,14.0,0.0,Matt Ryan pass complete short middle to Mo Alie-Cox for 2 yards (tackle by Dylan Cole),3.84,3.57,4.0,2022,54
2.0,15:00,2.0,8.0,TEN 24,14.0,0.0,Matt Ryan pass complete short middle to Mo Alie-Cox for 18 yards (tackle by Dylan Cole and Joshua Kalu),3.57,5.83,4.0,2022,54
2.0,14:10,1.0,6.0,TEN 6,14.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Jeffery Simmons and Teair Tart),5.83,5.34,4.0,2022,54
2.0,13:37,2.0,4.0,TEN 4,14.0,0.0,Matt Ryan pass incomplete short left intended for Michael Pittman,5.34,4.49,4.0,2022,54
2.0,13:33,,,,,,Timeout #1 by Tennessee Titans,,,4.0,2022,54
2.0,13:33,3.0,4.0,TEN 4,14.0,0.0,Matt Ryan pass incomplete short right intended for Michael Pittman,4.49,3.03,4.0,2022,54
2.0,13:28,4.0,4.0,TEN 4,14.0,0.0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",3.03,2.83,4.0,2022,54
2.0,13:28,4.0,9.0,TEN 9,14.0,3.0,Chase McLaughlin 27 yard field goal good,2.83,3.0,4.0,2022,54
2.0,13:25,,,IND 35,14.0,3.0,"Chase McLaughlin kicks off 69 yards, returned by Hassan Haskins for 37 yards (tackle by Rodney Thomas and Ben Banogu)",0.0,1.14,4.0,2022,54
2.0,13:19,1.0,10.0,TEN 33,14.0,3.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry,1.14,0.59,4.0,2022,54
2.0,13:14,2.0,10.0,TEN 33,14.0,3.0,"Ryan Tannehill pass complete short right to Robert Woods for 10 yards (tackle by E.J. Speed and Zaire Franklin). Penalty on Ifeadi Odenigbo: Roughing the Passer, 15 yards (accepted)",0.59,2.79,4.0,2022,54
2.0,12:52,1.0,10.0,IND 42,14.0,3.0,Derrick Henry right tackle for 7 yards (tackle by Bobby Okereke),2.79,3.32,4.0,2022,54
