Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,4.0,2022,56
1.0,15:00,,,DET 35,0.0,0.0,"Dominik Eberle kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,56
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Geno Smith pass complete short left to Will Dissly for 9 yards (tackle by Alex Anzalone),0.61,1.28,4.0,2022,56
1.0,14:20,2.0,1.0,SEA 34,0.0,0.0,Rashaad Penny left end for 1 yard (tackle by DeShon Elliott),1.28,1.27,4.0,2022,56
1.0,13:48,1.0,10.0,SEA 35,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Mike Hughes),1.27,1.67,4.0,2022,56
1.0,13:12,2.0,3.0,SEA 42,0.0,0.0,Rashaad Penny left end for no gain (tackle by Alim McNeill),1.67,0.96,4.0,2022,56
1.0,12:30,3.0,3.0,SEA 42,0.0,0.0,Geno Smith pass complete short left to Rashaad Penny for 6 yards (tackle by Alex Anzalone),0.96,2.13,4.0,2022,56
1.0,11:49,1.0,10.0,SEA 48,0.0,0.0,Geno Smith pass complete short right to Will Dissly for 8 yards (tackle by Amani Oruwariye),2.13,2.66,4.0,2022,56
1.0,11:17,2.0,2.0,DET 44,0.0,0.0,Geno Smith pass incomplete deep middle intended for Tyler Lockett,2.66,1.95,4.0,2022,56
1.0,11:11,3.0,2.0,DET 44,0.0,0.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",1.95,1.29,4.0,2022,56
1.0,11:11,3.0,7.0,DET 49,0.0,0.0,Geno Smith scrambles left end for 17 yards (tackle by Chris Board),1.29,3.45,4.0,2022,56
1.0,10:30,1.0,10.0,DET 32,0.0,0.0,Rashaad Penny left tackle for no gain (tackle by Malcolm Rodriguez and Julian Okwara),3.45,2.9,4.0,2022,56
1.0,9:48,2.0,10.0,DET 32,0.0,0.0,"Penalty on Aidan Hutchinson: Defensive Offside, 5 yards (accepted) (no play)",2.9,3.58,4.0,2022,56
1.0,9:30,2.0,5.0,DET 27,0.0,0.0,Geno Smith pass complete short right to Colby Parkinson for 15 yards (tackle by Kerby Joseph),3.58,4.78,4.0,2022,56
1.0,8:49,1.0,10.0,DET 12,0.0,0.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",4.78,4.32,4.0,2022,56
1.0,8:29,1.0,15.0,DET 17,6.0,0.0,"Geno Smith pass complete deep right to Will Dissly for 17 yards, touchdown",4.32,7.0,4.0,2022,56
1.0,8:24,,,DET 15,7.0,0.0,Jason Myers kicks extra point good,0.0,0.0,4.0,2022,56
1.0,8:24,,,SEA 35,7.0,0.0,"Jason Myers kicks off 59 yards, returned by Maurice Alexander for 20 yards (tackle by DeeJay Dallas and Teez Tabor)",0.0,0.67,4.0,2022,56
1.0,8:16,1.0,10.0,DET 26,7.0,0.0,Jamaal Williams left tackle for 5 yards (tackle by Quandre Diggs and Coby Bryant),0.67,0.81,4.0,2022,56
1.0,7:46,2.0,5.0,DET 31,7.0,0.0,Jared Goff pass incomplete deep left intended for Kalif Raymond,0.81,0.1,4.0,2022,56
1.0,7:41,3.0,5.0,DET 31,7.0,0.0,Jared Goff pass complete short left to Kalif Raymond for no gain (tackle by Ryan Neal),0.1,-1.31,4.0,2022,56
1.0,7:04,4.0,5.0,DET 31,7.0,0.0,"Jack Fox punts 48 yards, returned by Tyler Lockett for 7 yards. Tyler Lockett fumbles (forced by Malcolm Rodriguez), recovered by Scott Daly at SEA-32 (tackle by Malcolm Rodriguez)",-1.31,3.45,4.0,2022,56
