Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,4.0,2022,60
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 62 yards, returned by Eno Benjamin for 21 yards (tackle by Giovanni Ricci)",0.0,0.54,4.0,2022,60
1.0,14:55,1.0,10.0,ARI 24,0.0,0.0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Jaycee Horn and Damien Wilson),0.54,0.81,4.0,2022,60
1.0,14:28,2.0,4.0,ARI 30,0.0,0.0,"Kyler Murray pass complete to Rondale Moore for no gain. Penalty on Zach Ertz: Offensive Pass Interference, 10 yards (accepted) (no play)",0.81,-0.54,4.0,2022,60
1.0,13:55,2.0,14.0,ARI 20,0.0,0.0,Kyler Murray pass complete short middle to Zach Ertz for 10 yards (tackle by Xavier Woods),-0.54,0.1,4.0,2022,60
1.0,13:18,3.0,4.0,ARI 30,0.0,0.0,Kyler Murray pass incomplete deep left intended for Rondale Moore,0.1,-1.37,4.0,2022,60
1.0,13:12,4.0,4.0,ARI 30,0.0,0.0,"Andy Lee punts 60 yards, returned by Shi Smith for 19 yards. Shi Smith fumbles (forced by Tanner Vallejo), recovered by Keith Taylor at CAR-30 (tackle by Stephen Anderson)",-1.37,-0.94,4.0,2022,60
1.0,12:59,1.0,10.0,CAR 30,0.0,0.0,Baker Mayfield pass complete short middle to Ian Thomas for 6 yards (tackle by Isaiah Simmons),0.94,1.2,4.0,2022,60
1.0,12:19,2.0,4.0,CAR 36,0.0,0.0,Christian McCaffrey left guard for 3 yards (tackle by Jalen Thompson and Zach Allen),1.2,0.89,4.0,2022,60
1.0,11:38,3.0,1.0,CAR 39,0.0,0.0,Baker Mayfield up the middle for no gain (tackle by Zach Allen and Michael Dogbe),0.89,-0.78,4.0,2022,60
1.0,10:57,4.0,1.0,CAR 39,0.0,0.0,Christian McCaffrey up the middle for no gain (tackle by Markus Golden and Zaven Collins),-0.78,-2.98,4.0,2022,60
1.0,10:53,1.0,10.0,CAR 39,0.0,0.0,Darrel Williams up the middle for 5 yards (tackle by Brian Burns and Damien Wilson),2.98,3.12,4.0,2022,60
1.0,10:18,2.0,5.0,CAR 34,0.0,0.0,Eno Benjamin right end for 15 yards (tackle by Shaq Thompson and Frankie Luvu),3.12,4.31,4.0,2022,60
1.0,9:34,1.0,10.0,CAR 19,0.0,0.0,Eno Benjamin up the middle for 5 yards (tackle by Derrick Brown),4.31,4.53,4.0,2022,60
1.0,8:56,2.0,5.0,CAR 14,0.0,0.0,Kyler Murray scrambles left tackle for no gain (tackle by Brian Burns),4.53,3.76,4.0,2022,60
1.0,8:14,3.0,5.0,CAR 14,0.0,0.0,Kyler Murray pass complete short middle to Zach Ertz for 4 yards (tackle by Myles Hartsfield),3.76,2.91,4.0,2022,60
1.0,7:32,4.0,1.0,CAR 10,0.0,0.0,Rondale Moore right tackle for -4 yards (tackle by Brian Burns),2.91,0.28,4.0,2022,60
1.0,7:28,1.0,10.0,CAR 14,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Ian Thomas,-0.28,-0.75,4.0,2022,60
1.0,7:21,2.0,10.0,CAR 14,0.0,0.0,Baker Mayfield pass complete short right to Robbie Anderson for 8 yards (tackle by Nick Vigil and Budda Baker),-0.75,-0.44,4.0,2022,60
1.0,6:41,3.0,2.0,CAR 22,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Ian Thomas (defended by Nick Vigil),-0.44,-1.9,4.0,2022,60
1.0,6:40,4.0,2.0,CAR 22,0.0,0.0,"Johnny Hekker punts 49 yards, returned by Greg Dortch for 5 yards (tackle by Sean Chandler and Marquise Blair)",-1.9,-1.2,4.0,2022,60
1.0,6:28,1.0,10.0,ARI 34,0.0,0.0,James Conner left end for 4 yards (tackle by Frankie Luvu and Brian Burns),1.2,1.2,4.0,2022,60
1.0,5:48,2.0,6.0,ARI 38,0.0,0.0,James Conner up the middle for no gain (tackle by Matthew Ioannidis),1.2,0.5,4.0,2022,60
1.0,5:13,3.0,6.0,ARI 38,0.0,0.0,Kyler Murray pass incomplete short right intended for Darrel Williams (defended by Jaycee Horn),0.5,-0.85,4.0,2022,60
1.0,5:07,4.0,6.0,ARI 38,0.0,0.0,"Andy Lee punts 62 yards, touchback.. Penalty on Sam Franklin: Offensive Holding, 10 yards (accepted)",-0.85,0.38,4.0,2022,60
1.0,4:55,1.0,10.0,CAR 10,0.0,0.0,Christian McCaffrey left tackle for 1 yard (tackle by Zach Allen and Cameron Thomas),-0.38,-0.71,4.0,2022,60
1.0,4:19,2.0,9.0,CAR 11,0.0,0.0,Christian McCaffrey right guard for 10 yards (tackle by Devon Kennard and Zaven Collins),-0.71,0.34,4.0,2022,60
1.0,3:42,1.0,10.0,CAR 21,0.0,0.0,Laviska Shenault right tackle for no gain (tackle by Zach Allen and Tanner Vallejo),0.34,-0.2,4.0,2022,60
1.0,3:03,2.0,10.0,CAR 21,0.0,0.0,Baker Mayfield pass complete short left to D.J. Moore for 11 yards (tackle by Isaiah Simmons),-0.2,1.07,4.0,2022,60
1.0,2:20,1.0,10.0,CAR 32,0.0,0.0,Baker Mayfield pass complete short left to D.J. Moore for 13 yards (tackle by Dennis Gardeck),1.07,1.93,4.0,2022,60
1.0,1:30,1.0,10.0,CAR 45,0.0,0.0,D'Onta Foreman left tackle for 2 yards (tackle by Markus Golden),1.93,1.65,4.0,2022,60
1.0,0:51,2.0,8.0,CAR 47,0.0,0.0,Christian McCaffrey up the middle for -2 yards (tackle by Markus Golden),1.65,0.7,4.0,2022,60
1.0,0:07,3.0,10.0,CAR 45,0.0,0.0,Baker Mayfield pass incomplete short left intended for Tommy Tremble,0.7,-0.39,4.0,2022,60
2.0,15:00,4.0,10.0,CAR 45,0.0,0.0,"Johnny Hekker punts 54 yards downed by Sam Franklin. Penalty on Chuba Hubbard: Face Mask (15 Yards), 15 yards (accepted)",-0.39,0.14,4.0,2022,60
2.0,14:51,1.0,10.0,ARI 16,0.0,0.0,Kyler Murray pass complete short middle to Zach Ertz for 3 yards (tackle by Shaq Thompson),-0.14,-0.18,4.0,2022,60
2.0,14:13,2.0,7.0,ARI 19,0.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 8 yards (tackle by Frankie Luvu),-0.18,0.74,4.0,2022,60
2.0,13:40,1.0,10.0,ARI 27,0.0,0.0,James Conner up the middle for 7 yards (tackle by Yetur Gross-Matos and Damien Wilson),0.74,1.14,4.0,2022,60
2.0,13:10,2.0,3.0,ARI 34,0.0,0.0,Kyler Murray left end for -3 yards (tackle by Frankie Luvu),1.14,0.04,4.0,2022,60
2.0,12:23,3.0,6.0,ARI 31,0.0,6.0,"Kyler Murray pass short left intended for Marquise Brown is intercepted by Frankie Luvu at ARI-33 and returned for 33 yards, touchdown",0.04,-7.0,4.0,2022,60
2.0,12:13,,,ARI 15,0.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,4.0,2022,60
2.0,12:13,,,CAR 35,0.0,7.0,"Eddy Pineiro kicks off 69 yards, returned by Eno Benjamin for 22 yards (tackle by Chuba Hubbard and Giovanni Ricci)",0.0,0.04,4.0,2022,60
2.0,12:07,1.0,10.0,ARI 18,0.0,7.0,James Conner left guard for 2 yards (tackle by Damien Wilson),0.04,-0.13,4.0,2022,60
2.0,11:57,2.0,8.0,ARI 20,0.0,7.0,Kyler Murray pass complete short right to Rondale Moore for 7 yards (tackle by Donte Jackson),-0.13,-0.02,4.0,2022,60
2.0,10:49,3.0,1.0,ARI 27,0.0,7.0,James Conner up the middle for 6 yards (tackle by Frankie Luvu and Shaq Thompson),-0.02,1.14,4.0,2022,60
2.0,10:18,1.0,10.0,ARI 33,0.0,7.0,Kyler Murray pass incomplete short right,1.14,0.59,4.0,2022,60
2.0,10:14,2.0,10.0,ARI 33,0.0,7.0,Kyler Murray pass complete short left to Marquise Brown for 4 yards (tackle by Donte Jackson),0.59,0.43,4.0,2022,60
2.0,9:34,3.0,6.0,ARI 37,0.0,7.0,Kyler Murray pass complete short right to Zach Ertz for 5 yards (tackle by Myles Hartsfield),0.43,-0.59,4.0,2022,60
2.0,9:11,4.0,1.0,ARI 42,0.0,7.0,"Rodney Hudson aborted snap, recovered by Kyler Murray at ARI-42 Kyler Murray pass incomplete short left intended for Marquise Brown",-0.59,-2.79,4.0,2022,60
2.0,8:57,1.0,10.0,ARI 42,0.0,7.0,Baker Mayfield pass complete short left to Christian McCaffrey for 6 yards (tackle by Nick Vigil),2.79,3.05,4.0,2022,60
2.0,8:21,2.0,4.0,ARI 36,0.0,7.0,Baker Mayfield pass complete short right to Christian McCaffrey for 3 yards (tackle by Zaven Collins),3.05,2.74,4.0,2022,60
2.0,7:42,3.0,1.0,ARI 33,0.0,7.0,Baker Mayfield pass complete short left to D.J. Moore for 1 yard (tackle by Budda Baker and Marco Wilson),2.74,3.45,4.0,2022,60
2.0,6:58,1.0,10.0,ARI 32,0.0,7.0,"Baker Mayfield aborted snap, recovered by Ben Niemann at ARI-35",3.45,-1.27,4.0,2022,60
2.0,6:53,1.0,10.0,ARI 35,0.0,7.0,Kyler Murray pass complete deep right to Marquise Brown for 21 yards (tackle by Xavier Woods),1.27,2.65,4.0,2022,60
2.0,6:29,1.0,10.0,CAR 44,0.0,7.0,Kyler Murray left tackle for -2 yards (tackle by Brian Burns),2.65,1.84,4.0,2022,60
2.0,5:56,2.0,12.0,CAR 46,0.0,7.0,Kyler Murray scrambles right end for 9 yards (tackle by Myles Hartsfield),1.84,2.35,4.0,2022,60
2.0,5:07,,,,,,Timeout #1 by Arizona Cardinals,,,4.0,2022,60
2.0,5:07,3.0,3.0,CAR 37,0.0,7.0,Kyler Murray pass complete deep left to Marquise Brown for 16 yards (tackle by Donte Jackson),2.35,4.17,4.0,2022,60
2.0,4:56,1.0,10.0,CAR 21,0.0,7.0,James Conner left tackle for 3 yards (tackle by Frankie Luvu and Marquis Haynes),4.17,4.04,4.0,2022,60
2.0,4:24,2.0,7.0,CAR 18,0.0,7.0,Kyler Murray pass complete short right to Rondale Moore for -2 yards (tackle by C.J. Henderson),4.04,3.07,4.0,2022,60
2.0,3:41,3.0,9.0,CAR 20,0.0,7.0,Kyler Murray pass incomplete short left intended for Marquise Brown,3.07,2.12,4.0,2022,60
2.0,3:37,4.0,9.0,CAR 20,0.0,7.0,"Penalty on Xavier Woods: Encroachment, 5 yards (accepted) (no play)",2.12,2.52,4.0,2022,60
2.0,3:37,4.0,4.0,CAR 15,3.0,7.0,Matt Prater 33 yard field goal good,2.52,3.0,4.0,2022,60
2.0,3:34,,,ARI 35,3.0,7.0,"Matt Prater kicks off 69 yards, returned by Laviska Shenault for 28 yards (tackle by Dennis Gardeck)",0.0,0.54,4.0,2022,60
2.0,3:29,1.0,10.0,CAR 24,3.0,7.0,Baker Mayfield pass incomplete deep left intended for Robbie Anderson,0.54,0.0,4.0,2022,60
2.0,3:24,2.0,10.0,CAR 24,3.0,7.0,Christian McCaffrey up the middle for 10 yards (tackle by Isaiah Simmons and Budda Baker),0.0,1.2,4.0,2022,60
2.0,3:04,1.0,10.0,CAR 34,3.0,7.0,Baker Mayfield pass complete short middle to Christian McCaffrey for 8 yards (tackle by Ben Niemann),1.2,1.74,4.0,2022,60
2.0,2:21,2.0,2.0,CAR 42,3.0,7.0,D.J. Moore right end for 11 yards (tackle by Byron Murphy),1.74,2.46,4.0,2022,60
2.0,2:00,1.0,10.0,ARI 47,3.0,7.0,Baker Mayfield pass incomplete short right intended for D.J. Moore,2.46,1.91,4.0,2022,60
2.0,1:56,2.0,10.0,ARI 47,3.0,7.0,Baker Mayfield pass complete short right to Christian McCaffrey for 5 yards (tackle by Ben Niemann and Zach Allen),1.91,1.88,4.0,2022,60
2.0,1:13,3.0,5.0,ARI 42,3.0,7.0,Baker Mayfield pass deep left intended for D.J. Moore is intercepted by Jalen Thompson at ARI-18 and returned for no gain (tackle by D.J. Moore),1.88,-0.04,4.0,2022,60
2.0,1:05,1.0,10.0,ARI 18,3.0,7.0,Kyler Murray pass complete short middle to James Conner for 5 yards (tackle by Shaq Thompson),0.04,0.28,4.0,2022,60
2.0,0:59,2.0,5.0,ARI 23,3.0,7.0,Kyler Murray pass complete short left to James Conner for 3 yards (tackle by Shaq Thompson),0.28,-0.14,4.0,2022,60
2.0,0:39,3.0,2.0,ARI 26,3.0,7.0,Kyler Murray pass incomplete deep left intended for Marquise Brown,-0.14,-1.63,4.0,2022,60
2.0,0:32,4.0,2.0,ARI 26,3.0,7.0,"Andy Lee punts 48 yards, returned by Shi Smith for 9 yards (tackle by Dennis Gardeck)",-1.63,-1.27,4.0,2022,60
2.0,0:21,1.0,10.0,CAR 35,3.0,7.0,Baker Mayfield pass complete short right to Tommy Tremble for 7 yards (tackle by Trayvon Mullen),1.27,1.67,4.0,2022,60
2.0,0:14,,,,,,Timeout #1 by Carolina Panthers,,,4.0,2022,60
2.0,0:14,2.0,3.0,CAR 42,3.0,7.0,Baker Mayfield pass complete short right to Tommy Tremble for 16 yards (tackle by Zaven Collins),1.67,2.79,4.0,2022,60
2.0,0:09,,,,,,Timeout #2 by Carolina Panthers,,,4.0,2022,60
2.0,0:09,1.0,10.0,ARI 42,3.0,7.0,Baker Mayfield pass incomplete short left intended for Shi Smith (defended by Zach Allen),2.79,2.24,4.0,2022,60
2.0,0:05,2.0,10.0,ARI 42,3.0,7.0,Baker Mayfield pass complete short right to D.J. Moore for 6 yards,2.24,2.34,4.0,2022,60
2.0,0:02,,,,,,Timeout #3 by Carolina Panthers,,,4.0,2022,60
