Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,4.0,2022,63
1.0,15:00,,,KAN 35,0.0,0.0,"Matthew Wright kicks off 67 yards, returned by Rachaad White for 23 yards. Rachaad White fumbles (forced by Chris Lammons) (tackle by Jack Cochrane), recovered by Elijah Lee at TB-21",0.0,-4.17,4.0,2022,63
1.0,14:56,1.0,10.0,TAM 21,0.0,0.0,Clyde Edwards-Helaire up the middle for 5 yards (tackle by Shaquil Barrett),4.17,4.37,4.0,2022,63
1.0,14:20,2.0,5.0,TAM 16,6.0,0.0,"Patrick Mahomes pass complete short middle to Travis Kelce for 16 yards, touchdown",4.37,7.0,4.0,2022,63
1.0,14:14,,,TAM 15,7.0,0.0,Matthew Wright kicks extra point good,0.0,0.0,4.0,2022,63
1.0,14:14,,,KAN 35,7.0,0.0,"Matthew Wright kicks off 65 yards, returned by Rachaad White for 28 yards (tackle by Elijah Lee)",0.0,0.81,4.0,2022,63
1.0,14:08,1.0,10.0,TAM 28,7.0,0.0,Leonard Fournette right guard for 3 yards (tackle by Derrick Nnadi),0.81,0.67,4.0,2022,63
1.0,13:36,2.0,7.0,TAM 31,7.0,0.0,Tom Brady pass complete short left to Leonard Fournette for 25 yards (tackle by L'Jarius Sneed),0.67,2.65,4.0,2022,63
1.0,12:51,1.0,10.0,KAN 44,7.0,0.0,Tom Brady pass complete short left to Cameron Brate for 10 yards (tackle by Rashad Fenton),2.65,3.31,4.0,2022,63
1.0,12:16,1.0,10.0,KAN 34,7.0,0.0,Leonard Fournette left end for -4 yards (tackle by George Karlaftis),3.31,2.23,4.0,2022,63
1.0,11:44,2.0,14.0,KAN 38,7.0,0.0,Tom Brady pass complete short middle to Chris Godwin for 10 yards (tackle by L'Jarius Sneed),2.23,2.87,4.0,2022,63
1.0,11:04,3.0,4.0,KAN 28,7.0,0.0,Tom Brady pass complete short left to Leonard Fournette for 1 yard (tackle by Rashad Fenton and Tershawn Wharton),2.87,1.77,4.0,2022,63
1.0,10:17,4.0,3.0,KAN 27,7.0,3.0,Ryan Succop 45 yard field goal good,1.77,3.0,4.0,2022,63
