Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Steelers to receive the opening kickoff.",,,4.0,2022,59
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,59
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris up the middle for 6 yards (tackle by C.J. Mosley and Carl Lawson),0.61,0.87,4.0,2022,59
1.0,14:23,2.0,4.0,PIT 31,0.0,0.0,Mitchell Trubisky pass complete short right to Pat Freiermuth for 5 yards (tackle by Marcell Harris),0.87,1.33,4.0,2022,59
1.0,13:46,1.0,10.0,PIT 36,0.0,0.0,Najee Harris right end for 6 yards (tackle by Quinnen Williams and Kwon Alexander),1.33,1.6,4.0,2022,59
1.0,13:04,2.0,4.0,PIT 42,0.0,0.0,Mitchell Trubisky pass incomplete deep right intended for George Pickens (defended by Lamarcus Joyner),1.6,0.89,4.0,2022,59
1.0,12:55,3.0,4.0,PIT 42,0.0,0.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 6 yards (tackle by C.J. Mosley),0.89,2.13,4.0,2022,59
1.0,12:19,1.0,10.0,PIT 48,0.0,0.0,Najee Harris right tackle for 3 yards (tackle by Jermaine Johnson),2.13,1.99,4.0,2022,59
1.0,11:42,2.0,7.0,NYJ 49,0.0,0.0,"Mitchell Trubisky pass complete short middle to George Pickens for 14 yards (tackle by Sauce Gardner). Penalty on James Daniels: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.99,1.31,4.0,2022,59
1.0,11:14,2.0,12.0,PIT 46,0.0,0.0,Diontae Johnson left end for 8 yards (tackle by D.J. Reed and Kwon Alexander),1.31,1.68,4.0,2022,59
1.0,10:33,3.0,4.0,NYJ 46,0.0,0.0,Mitchell Trubisky scrambles up the middle for 1 yard (tackle by Quinnen Williams and John Franklin-Myers),1.68,0.27,4.0,2022,59
1.0,10:03,4.0,3.0,NYJ 45,0.0,0.0,"Pressley Harvin punts 36 yards, fair catch by Braxton Berrios at NYJ-9",0.27,0.38,4.0,2022,59
1.0,9:57,1.0,10.0,NYJ 9,0.0,0.0,Michael Carter left guard for 3 yards (tackle by Devin Bush and Myles Jack),-0.38,-0.56,4.0,2022,59
1.0,9:17,2.0,7.0,NYJ 12,0.0,0.0,Breece Hall left tackle for no gain (tackle by DeMarvin Leal and Alex Highsmith),-0.56,-1.07,4.0,2022,59
1.0,8:37,3.0,7.0,NYJ 12,0.0,0.0,Zach Wilson pass complete short left to Garrett Wilson for 6 yards (tackle by Arthur Maulet),-1.07,-2.24,4.0,2022,59
1.0,7:53,4.0,1.0,NYJ 18,0.0,0.0,Braden Mann punts 59 yards downed by Justin Hardee,-2.24,-0.48,4.0,2022,59
1.0,7:41,1.0,10.0,PIT 23,0.0,0.0,Mitchell Trubisky pass deep middle intended for Diontae Johnson is intercepted by Lamarcus Joyner at PIT-40 and returned for 4 yards (tackle by Najee Harris),0.48,-3.18,4.0,2022,59
1.0,7:35,1.0,10.0,PIT 36,0.0,0.0,Zach Wilson sacked by Alex Highsmith for -4 yards,3.18,2.1,4.0,2022,59
1.0,6:53,2.0,14.0,PIT 40,0.0,0.0,Zach Wilson scrambles for 9 yards (tackle by Devin Bush),2.1,2.61,4.0,2022,59
1.0,6:17,3.0,5.0,PIT 31,0.0,0.0,Breece Hall left tackle for 5 yards (tackle by Larry Ogunjobi),2.61,3.84,4.0,2022,59
1.0,5:37,1.0,10.0,PIT 26,0.0,0.0,Zach Wilson pass incomplete deep left intended for Elijah Moore,3.84,3.3,4.0,2022,59
1.0,5:32,2.0,10.0,PIT 26,0.0,0.0,Michael Carter up the middle for no gain (tackle by DeMarvin Leal and Minkah Fitzpatrick),3.3,2.61,4.0,2022,59
1.0,4:50,3.0,10.0,PIT 26,0.0,0.0,Zach Wilson pass complete short left to Breece Hall for 6 yards (tackle by Minkah Fitzpatrick),2.61,2.2,4.0,2022,59
1.0,4:06,4.0,4.0,PIT 20,3.0,0.0,Greg Zuerlein 38 yard field goal good,2.2,3.0,4.0,2022,59
