Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Matthew Stafford,LAR,0,0,0,0,0,4.0,2022,64
Darrell Henderson,LAR,4,3,12,0,6,4.0,2022,64
Cam Akers,LAR,1,0,0,0,0,4.0,2022,64
Brandon Powell,LAR,0,0,0,0,0,4.0,2022,64
Cooper Kupp,LAR,19,14,122,0,18,4.0,2022,64
Tyler Higbee,LAR,14,10,73,0,12,4.0,2022,64
Ben Skowronek,LAR,3,2,33,0,17,4.0,2022,64
Kendall Blanton,LAR,1,1,7,0,7,4.0,2022,64
Allen Robinson,LAR,6,2,7,0,5,4.0,2022,64
Jimmy Garoppolo,SFO,0,0,0,0,0,4.0,2022,64
Jeff Wilson,SFO,0,0,0,0,0,4.0,2022,64
Kyle Juszczyk,SFO,1,1,35,0,35,4.0,2022,64
Deebo Samuel,SFO,7,6,115,1,57,4.0,2022,64
Brandon Aiyuk,SFO,4,4,37,0,15,4.0,2022,64
George Kittle,SFO,4,2,24,0,20,4.0,2022,64
Jauan Jennings,SFO,4,2,22,0,12,4.0,2022,64
Ray-Ray McCloud,SFO,3,1,6,0,6,4.0,2022,64
Ross Dwelley,SFO,1,0,0,0,0,4.0,2022,64
Charlie Woerner,SFO,1,0,0,0,0,4.0,2022,64
