Unnamed: 0,NYJ,PIT,week,year,game_id
First Downs,19,20,4.0,2022,59
Rush-Yds-TDs,29-98-1,31-119-2,4.0,2022,59
Cmp-Att-Yd-TD-INT,19-37-254-2-2,17-26-204-0-4,4.0,2022,59
Sacked-Yards,1-4,3-26,4.0,2022,59
Net Pass Yards,250,178,4.0,2022,59
Total Yards,348,297,4.0,2022,59
Fumbles-Lost,1-0,2-0,4.0,2022,59
Turnovers,2,4,4.0,2022,59
Penalties-Yards,7-64,8-55,4.0,2022,59
Third Down Conv.,6-15,6-12,4.0,2022,59
Fourth Down Conv.,1-1,1-1,4.0,2022,59
Time of Possession,29:59,30:01,4.0,2022,59
