Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Bailey Zappe,NWE,0,0,0,0,0,4.0,2022,62
Brian Hoyer,NWE,0,0,0,0,0,4.0,2022,62
Damien Harris,NWE,1,1,-2,0,-2,4.0,2022,62
Rhamondre Stevenson,NWE,5,4,23,0,8,4.0,2022,62
Kendrick Bourne,NWE,3,2,23,0,16,4.0,2022,62
Nelson Agholor,NWE,4,3,46,0,27,4.0,2022,62
DeVante Parker,NWE,2,2,24,1,25,4.0,2022,62
Hunter Henry,NWE,4,2,13,0,7,4.0,2022,62
Lil'Jordan Humphrey,NWE,1,1,9,0,9,4.0,2022,62
Aaron Rodgers,GNB,0,0,0,0,0,4.0,2022,62
Aaron Jones,GNB,4,3,5,0,4,4.0,2022,62
AJ Dillon,GNB,2,1,11,0,11,4.0,2022,62
Christian Watson,GNB,3,1,8,0,8,4.0,2022,62
Allen Lazard,GNB,8,6,116,0,32,4.0,2022,62
Romeo Doubs,GNB,8,5,47,1,16,4.0,2022,62
Randall Cobb,GNB,4,3,42,0,24,4.0,2022,62
Robert Tonyan,GNB,2,2,22,1,20,4.0,2022,62
Josiah Deguara,GNB,1,0,0,0,0,4.0,2022,62
