Unnamed: 0,SEA,DET,week,year,game_id
First Downs,27,27,4.0,2022,56
Rush-Yds-TDs,33-235-3,25-145-2,4.0,2022,56
Cmp-Att-Yd-TD-INT,23-30-320-2-0,27-40-384-4-1,4.0,2022,56
Sacked-Yards,0-0,1-9,4.0,2022,56
Net Pass Yards,320,375,4.0,2022,56
Total Yards,555,520,4.0,2022,56
Fumbles-Lost,1-1,1-1,4.0,2022,56
Turnovers,1,2,4.0,2022,56
Penalties-Yards,11-76,8-59,4.0,2022,56
Third Down Conv.,9-12,4-10,4.0,2022,56
Fourth Down Conv.,0-0,3-3,4.0,2022,56
Time of Possession,33:06,26:54,4.0,2022,56
