Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,,4.0,2022,61
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, returned by Brandon Bolden for 32 yards (tackle by Andrew Beck)",0.0,1.07,4.0,2022,61
1.0,14:52,1.0,10.0,LVR 32,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by D.J. Jones and Josey Jewell),1.07,1.2,4.0,2022,61
1.0,14:18,2.0,5.0,LVR 37,0.0,0.0,Derek Carr pass complete short right to Josh Jacobs for 8 yards (tackle by Caden Sterns),1.2,1.93,4.0,2022,61
1.0,13:45,1.0,10.0,LVR 45,0.0,0.0,Josh Jacobs left guard for 5 yards (tackle by Josey Jewell and Randy Gregory),1.93,2.06,4.0,2022,61
1.0,13:23,2.0,5.0,LVR 50,0.0,0.0,Derek Carr pass complete deep right to Davante Adams for 20 yards (tackle by Patrick Surtain),2.06,3.58,4.0,2022,61
1.0,12:38,1.0,10.0,DEN 30,0.0,0.0,Derek Carr pass incomplete short right,3.58,3.03,4.0,2022,61
1.0,12:33,2.0,10.0,DEN 30,0.0,0.0,Derek Carr pass complete short right to Davante Adams for 8 yards (tackle by Jonas Griffith),3.03,3.4,4.0,2022,61
1.0,12:04,3.0,2.0,DEN 22,0.0,0.0,Josh Jacobs left tackle for 9 yards (tackle by Randy Gregory),3.4,4.71,4.0,2022,61
1.0,11:20,1.0,10.0,DEN 13,0.0,0.0,Derek Carr pass complete short middle to Darren Waller for 6 yards (tackle by Josey Jewell),4.71,5.15,4.0,2022,61
1.0,10:43,2.0,4.0,DEN 7,0.0,0.0,Josh Jacobs left guard for -1 yards (tackle by D.J. Jones and Josey Jewell),5.15,4.1,4.0,2022,61
1.0,10:01,3.0,5.0,DEN 8,0.0,0.0,Derek Carr pass incomplete short left intended for Davante Adams,4.1,2.97,4.0,2022,61
1.0,9:57,4.0,5.0,DEN 8,0.0,3.0,Daniel Carlson 26 yard field goal good,2.97,3.0,4.0,2022,61
1.0,9:52,,,LVR 35,0.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,61
1.0,9:52,1.0,10.0,DEN 25,0.0,3.0,Russell Wilson pass complete short right to Courtland Sutton for 15 yards (tackle by Johnathan Abram),0.61,1.6,4.0,2022,61
1.0,9:13,1.0,10.0,DEN 40,0.0,3.0,Javonte Williams right end for -3 yards (tackle by Denzel Perryman),1.6,0.65,4.0,2022,61
1.0,8:33,2.0,13.0,DEN 37,0.0,3.0,Russell Wilson pass complete short right to Courtland Sutton for 5 yards (tackle by Divine Deablo),0.65,0.63,4.0,2022,61
1.0,7:50,3.0,8.0,DEN 42,0.0,3.0,Russell Wilson sacked by Nate Hobbs for -7 yards,0.63,-1.04,4.0,2022,61
1.0,7:17,4.0,15.0,DEN 35,0.0,3.0,"Corliss Waitman punts 52 yards, returned by Tyron Johnson for no gain (tackle by Mike Boone)",-1.04,0.32,4.0,2022,61
1.0,7:06,1.0,10.0,LVR 13,0.0,3.0,Josh Jacobs up the middle for 2 yards (tackle by Jonas Griffith),-0.32,-0.57,4.0,2022,61
1.0,6:25,2.0,8.0,LVR 15,0.0,3.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",-0.57,-1.0,4.0,2022,61
1.0,6:00,2.0,13.0,LVR 10,0.0,3.0,Derek Carr pass incomplete deep middle intended for Darren Waller,-1.0,-1.77,4.0,2022,61
1.0,5:54,3.0,13.0,LVR 10,0.0,3.0,Derek Carr sacked by D.J. Jones for -8 yards,-1.77,-2.49,4.0,2022,61
1.0,5:09,4.0,21.0,LVR 2,0.0,3.0,"AJ Cole punts 62 yards, returned by Montrell Washington for 30 yards (tackle by Darien Butler)",-2.49,-3.31,4.0,2022,61
1.0,4:54,1.0,10.0,LVR 34,0.0,3.0,Russell Wilson pass complete deep middle to Eric Saubert for 25 yards (tackle by Trevon Moehrig),3.31,5.14,4.0,2022,61
1.0,4:13,1.0,9.0,LVR 9,0.0,3.0,Javonte Williams right guard for 1 yard (tackle by Chandler Jones and Denzel Perryman),5.14,4.57,4.0,2022,61
1.0,3:38,2.0,8.0,LVR 8,0.0,3.0,Javonte Williams right guard for 3 yards (tackle by Denzel Perryman),4.57,4.26,4.0,2022,61
1.0,2:50,3.0,5.0,LVR 5,6.0,3.0,"Russell Wilson pass complete short middle to Courtland Sutton for 5 yards, touchdown",4.26,7.0,4.0,2022,61
1.0,2:45,,,LVR 15,7.0,3.0,Brandon McManus kicks extra point good,0.0,0.0,4.0,2022,61
1.0,2:45,,,DEN 35,7.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,61
1.0,2:45,1.0,10.0,LVR 25,7.0,3.0,Derek Carr pass complete short right to Josh Jacobs for 12 yards (tackle by Josey Jewell),0.61,1.4,4.0,2022,61
1.0,2:24,1.0,10.0,LVR 37,7.0,3.0,Josh Jacobs up the middle for 3 yards (tackle by Mike Purcell and Josey Jewell),1.4,1.26,4.0,2022,61
1.0,1:51,2.0,7.0,LVR 40,7.0,3.0,Derek Carr scrambles right end for 7 yards (tackle by Baron Browning),1.26,2.06,4.0,2022,61
1.0,1:19,1.0,10.0,LVR 47,7.0,3.0,Josh Jacobs left guard for 9 yards (tackle by K'Waun Williams),2.06,2.73,4.0,2022,61
1.0,0:44,2.0,1.0,DEN 44,7.0,3.0,Derek Carr up the middle for 2 yards (tackle by Jonas Griffith),2.73,2.79,4.0,2022,61
1.0,0:15,1.0,10.0,DEN 42,7.0,3.0,"Penalty on Dre'Mont Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.79,3.52,4.0,2022,61
2.0,15:00,1.0,5.0,DEN 37,7.0,3.0,Zamir White right guard for 2 yards (tackle by Caden Sterns and Bradley Chubb),3.52,3.19,4.0,2022,61
2.0,14:16,2.0,3.0,DEN 35,7.0,3.0,Josh Jacobs up the middle for 4 yards (tackle by Jonas Griffith),3.19,3.51,4.0,2022,61
2.0,13:48,1.0,10.0,DEN 31,7.0,3.0,Derek Carr pass complete short right to Davante Adams for 9 yards (tackle by Jonas Griffith and Patrick Surtain),3.51,4.18,4.0,2022,61
2.0,13:09,2.0,1.0,DEN 22,7.0,3.0,Josh Jacobs left guard for 4 yards (tackle by Mike Purcell),4.18,4.37,4.0,2022,61
2.0,12:33,1.0,10.0,DEN 18,7.0,3.0,"Derek Carr pass incomplete deep right intended for Mack Hollins. Penalty on Baron Browning: Defensive Offside, 5 yards (accepted) (no play)",4.37,5.41,4.0,2022,61
2.0,12:28,1.0,5.0,DEN 13,7.0,3.0,Josh Jacobs left tackle for 3 yards (tackle by Mike Purcell and Bradley Chubb),5.41,5.23,4.0,2022,61
2.0,11:53,2.0,2.0,DEN 10,7.0,9.0,"Josh Jacobs left guard for 10 yards, touchdown",5.23,7.0,4.0,2022,61
2.0,11:46,,,DEN 15,7.0,10.0,Daniel Carlson kicks extra point good,0.0,0.0,4.0,2022,61
2.0,11:46,,,LVR 35,7.0,10.0,"Daniel Carlson kicks onside 13 yards, returned by Justin Strnad for no gain",0.0,2.39,4.0,2022,61
2.0,11:45,1.0,10.0,LVR 48,7.0,10.0,Javonte Williams left guard for 4 yards (tackle by Divine Deablo and Johnathan Hankins),2.39,2.39,4.0,2022,61
2.0,11:05,2.0,6.0,LVR 44,7.0,10.0,Russell Wilson pass incomplete short middle intended for Courtland Sutton (defended by Nate Hobbs),2.39,1.69,4.0,2022,61
2.0,11:01,3.0,6.0,LVR 44,7.0,10.0,Russell Wilson pass complete deep right to Jerry Jeudy for 32 yards,1.69,4.78,4.0,2022,61
2.0,10:27,1.0,10.0,LVR 12,7.0,10.0,Russell Wilson pass incomplete short left intended for Jerry Jeudy (no play),4.78,4.32,4.0,2022,61
2.0,10:22,1.0,15.0,LVR 17,7.0,10.0,Russell Wilson pass complete short left to Javonte Williams for -1 yards (tackle by Denzel Perryman),4.32,3.31,4.0,2022,61
2.0,9:35,2.0,16.0,LVR 18,7.0,10.0,Russell Wilson pass complete short right to Jerry Jeudy for no gain (tackle by Amik Robertson),3.31,2.73,4.0,2022,61
2.0,8:50,3.0,16.0,LVR 18,7.0,10.0,Russell Wilson pass complete short right to Courtland Sutton for 9 yards (tackle by Johnathan Abram),2.73,2.83,4.0,2022,61
2.0,8:06,4.0,7.0,LVR 9,10.0,10.0,Brandon McManus 28 yard field goal good,2.83,3.0,4.0,2022,61
2.0,8:03,,,DEN 35,10.0,10.0,"Brandon McManus kicks off 62 yards, returned by Ameer Abdullah for 17 yards (tackle by Eric Saubert and Jonas Griffith)",0.0,0.28,4.0,2022,61
2.0,7:59,1.0,10.0,LVR 20,10.0,10.0,Derek Carr pass incomplete short left intended for Davante Adams (defended by Patrick Surtain),0.28,-0.27,4.0,2022,61
2.0,7:54,2.0,10.0,LVR 20,10.0,10.0,Derek Carr pass complete short left to Josh Jacobs for 2 yards (tackle by Patrick Surtain and Josey Jewell),-0.27,-0.69,4.0,2022,61
2.0,7:12,3.0,8.0,LVR 22,10.0,10.0,Derek Carr pass complete short left to Brandon Bolden for -1 yards (tackle by Damarri Mathis),-0.69,-1.96,4.0,2022,61
2.0,6:37,4.0,9.0,LVR 21,10.0,10.0,"AJ Cole punts 51 yards, returned by Montrell Washington for 20 yards (tackle by Darien Butler)",-1.96,-2.13,4.0,2022,61
2.0,6:23,1.0,10.0,DEN 48,10.0,10.0,Javonte Williams up the middle for 2 yards (tackle by Divine Deablo and Bilal Nichols),2.13,1.85,4.0,2022,61
2.0,5:45,2.0,8.0,DEN 50,10.0,10.0,"Penalty on Dalton Risner: False Start, 5 yards (accepted) (no play)",1.85,1.18,4.0,2022,61
2.0,5:24,2.0,13.0,DEN 45,10.0,10.0,Russell Wilson pass complete short left to Kendall Hinton for 4 yards (tackle by Amik Robertson and Chandler Jones),1.18,1.02,4.0,2022,61
2.0,4:44,3.0,9.0,DEN 49,10.0,10.0,Russell Wilson scrambles left tackle for 8 yards (tackle by Duron Harmon),1.02,0.4,4.0,2022,61
2.0,4:06,4.0,1.0,LVR 43,10.0,10.0,Javonte Williams up the middle for 2 yards (tackle by Denzel Perryman),0.4,2.85,4.0,2022,61
2.0,3:31,1.0,10.0,LVR 41,10.0,16.0,"Melvin Gordon right guard for 7 yards. Melvin Gordon fumbles (forced by Duron Harmon), recovered by Amik Robertson at LV-32 and returned for 68 yards, touchdown",2.85,-7.0,4.0,2022,61
2.0,3:15,,,DEN 15,10.0,16.0,Daniel Carlson kicks extra point no good,0.0,-1.0,4.0,2022,61
2.0,3:15,,,LVR 35,10.0,16.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,61
