Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Russell Wilson,DEN,0,0,4.0,2022,61
Javonte Williams,DEN,0,0,4.0,2022,61
Mike Boone,DEN,0,0,4.0,2022,61
Melvin Gordon,DEN,1,1,4.0,2022,61
KJ Hamler,DEN,0,0,4.0,2022,61
Jerry Jeudy,DEN,0,0,4.0,2022,61
Courtland Sutton,DEN,0,0,4.0,2022,61
Kendall Hinton,DEN,0,0,4.0,2022,61
Eric Saubert,DEN,0,0,4.0,2022,61
Montrell Washington,DEN,0,0,4.0,2022,61
Derek Carr,LVR,0,0,4.0,2022,61
Josh Jacobs,LVR,0,0,4.0,2022,61
Zamir White,LVR,0,0,4.0,2022,61
Davante Adams,LVR,0,0,4.0,2022,61
Mack Hollins,LVR,0,0,4.0,2022,61
Darren Waller,LVR,0,0,4.0,2022,61
Brandon Bolden,LVR,0,0,4.0,2022,61
