Unnamed: 0,MIA,CIN,week,year,game_id
First Downs,20,16,4.0,2022,49
Rush-Yds-TDs,22-85-0,30-67-1,4.0,2022,49
Cmp-Att-Yd-TD-INT,22-37-303-1-2,21-32-310-2-0,4.0,2022,49
Sacked-Yards,1-10,1-6,4.0,2022,49
Net Pass Yards,293,304,4.0,2022,49
Total Yards,378,371,4.0,2022,49
Fumbles-Lost,0-0,0-0,4.0,2022,49
Turnovers,2,0,4.0,2022,49
Penalties-Yards,6-41,6-74,4.0,2022,49
Third Down Conv.,2-10,8-15,4.0,2022,49
Fourth Down Conv.,0-1,0-1,4.0,2022,49
Time of Possession,28:25,31:35,4.0,2022,49
