Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,,4.0,2022,53
1.0,15:00,,,CHI 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley left tackle for no gain (tackle by Eddie Jackson),0.61,0.06,4.0,2022,53
1.0,14:36,2.0,10.0,NYG 25,0.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by Al-Quadin Muhammad and Justin Jones),0.06,-0.49,4.0,2022,53
1.0,13:59,3.0,9.0,NYG 26,0.0,0.0,Daniel Jones pass incomplete short right intended for Richie James,-0.49,-1.63,4.0,2022,53
1.0,13:52,4.0,9.0,NYG 26,0.0,0.0,Jamie Gillan punts 50 yards out of bounds,-1.63,-0.54,4.0,2022,53
1.0,13:44,1.0,10.0,CHI 24,0.0,0.0,Khalil Herbert up the middle for 2 yards (tackle by Dexter Lawrence and Tae Crowder),0.54,0.27,4.0,2022,53
1.0,13:04,2.0,8.0,CHI 26,0.0,0.0,Justin Fields pass complete deep middle to Darnell Mooney for 18 yards (tackle by Adoree' Jackson),0.27,1.86,4.0,2022,53
1.0,12:28,1.0,10.0,CHI 44,0.0,0.0,Justin Fields scrambles left end for 16 yards (tackle by Micah McFadden),1.86,2.92,4.0,2022,53
1.0,11:53,1.0,10.0,NYG 40,0.0,0.0,Khalil Herbert left tackle for 7 yards (tackle by Azeez Ojulari),2.92,3.32,4.0,2022,53
1.0,11:14,2.0,3.0,NYG 33,0.0,0.0,Khalil Herbert right end for 1 yard (tackle by Nick Williams and Micah McFadden),3.32,2.74,4.0,2022,53
1.0,10:30,3.0,2.0,NYG 32,0.0,0.0,"Justin Fields scrambles up the middle for 4 yards (tackle by Tae Crowder). Penalty on Micah McFadden: Personal Foul / Defense, 14 yards (accepted)",2.74,4.65,4.0,2022,53
1.0,10:03,1.0,10.0,NYG 14,0.0,0.0,Khalil Herbert right guard for 1 yard (tackle by Tae Crowder and Xavier McKinney),4.65,4.16,4.0,2022,53
1.0,9:23,2.0,9.0,NYG 13,0.0,0.0,Khalil Herbert left tackle for 2 yards (tackle by Henry Mondeaux and Tomon Fox),4.16,3.62,4.0,2022,53
1.0,8:41,3.0,7.0,NYG 11,0.0,0.0,Justin Fields pass incomplete short left intended for Dante Pettis,3.62,2.7,4.0,2022,53
1.0,8:31,4.0,7.0,NYG 11,3.0,0.0,Michael Badgley 29 yard field goal good,2.7,3.0,4.0,2022,53
1.0,8:27,,,CHI 35,3.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
1.0,8:27,1.0,10.0,NYG 25,3.0,0.0,Daniel Jones pass complete short right to Daniel Bellinger for 9 yards (tackle by Roquan Smith),0.61,1.28,4.0,2022,53
1.0,7:49,2.0,1.0,NYG 34,3.0,0.0,Saquon Barkley right tackle for 18 yards (tackle by Eddie Jackson),1.28,2.39,4.0,2022,53
1.0,7:15,1.0,10.0,CHI 48,3.0,0.0,Daniel Jones right end for 6 yards (tackle by Joe Thomas),2.39,2.66,4.0,2022,53
1.0,6:38,2.0,4.0,CHI 42,3.0,0.0,Saquon Barkley left end for 9 yards (tackle by Kyler Gordon and Joe Thomas),2.66,3.38,4.0,2022,53
1.0,5:54,1.0,10.0,CHI 33,3.0,0.0,Daniel Jones pass complete short right to Daniel Bellinger for 12 yards (tackle by Eddie Jackson),3.38,4.17,4.0,2022,53
1.0,5:15,1.0,10.0,CHI 21,3.0,6.0,"Daniel Jones scrambles left end for 21 yards, touchdown",4.17,7.0,4.0,2022,53
1.0,5:06,,,CHI 15,3.0,7.0,Graham Gano kicks extra point good,0.0,0.0,4.0,2022,53
1.0,5:06,,,NYG 35,3.0,7.0,"Graham Gano kicks off 68 yards, returned by Velus Jones for 22 yards (tackle by Carter Coughlin)",0.0,0.15,4.0,2022,53
1.0,5:00,1.0,10.0,CHI 19,3.0,7.0,Justin Fields pass complete deep left to Darnell Mooney for 56 yards (tackle by Xavier McKinney),0.15,3.91,4.0,2022,53
1.0,4:18,1.0,10.0,NYG 25,3.0,7.0,Khalil Herbert right tackle for 2 yards (tackle by Jaylon Smith and Julian Love),3.91,3.63,4.0,2022,53
1.0,3:37,2.0,8.0,NYG 23,3.0,7.0,"Justin Fields pass incomplete intended for Cole Kmet. Penalty on Kayvon Thibodeaux: Roughing the Passer, 11 yards (accepted) (no play)",3.63,4.78,4.0,2022,53
1.0,3:37,1.0,10.0,NYG 12,3.0,7.0,Justin Fields sacked by Jihad Ward for -2 yards,4.78,3.79,4.0,2022,53
1.0,2:58,2.0,12.0,NYG 14,3.0,7.0,Khalil Herbert up the middle for 9 yards (tackle by Kayvon Thibodeaux and Tae Crowder),3.79,4.61,4.0,2022,53
1.0,2:15,3.0,3.0,NYG 5,3.0,7.0,Khalil Herbert up the middle for 1 yard (tackle by Xavier McKinney and Justin Ellis),4.61,3.04,4.0,2022,53
1.0,1:33,4.0,2.0,NYG 4,6.0,7.0,Michael Badgley 22 yard field goal good,3.04,3.0,4.0,2022,53
1.0,1:30,,,CHI 35,6.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
1.0,1:30,1.0,10.0,NYG 25,6.0,7.0,Saquon Barkley up the middle for 11 yards (tackle by Eddie Jackson and Kyler Gordon),0.61,1.33,4.0,2022,53
1.0,0:49,1.0,10.0,NYG 36,6.0,7.0,Saquon Barkley right guard for 5 yards (tackle by Justin Jones and Armon Watts),1.33,1.47,4.0,2022,53
1.0,0:11,2.0,5.0,NYG 41,6.0,7.0,Daniel Jones scrambles right end for 7 yards (tackle by Kyler Gordon),1.47,2.13,4.0,2022,53
2.0,15:00,1.0,10.0,NYG 48,6.0,7.0,Daniel Jones pass incomplete short left,2.13,1.58,4.0,2022,53
2.0,14:53,2.0,10.0,NYG 48,6.0,7.0,Saquon Barkley up the middle for no gain (tackle by Roquan Smith),1.58,0.89,4.0,2022,53
2.0,14:11,3.0,10.0,NYG 48,6.0,7.0,Daniel Jones pass incomplete short right intended for Kenny Golladay,0.89,-0.19,4.0,2022,53
2.0,14:07,4.0,9.0,NYG 48,6.0,7.0,"Jamie Gillan punts 52 yards, touchback.",-0.19,-0.28,4.0,2022,53
2.0,13:59,1.0,10.0,CHI 20,6.0,7.0,Trestan Ebner left guard for 4 yards (tackle by Jaylon Smith),0.28,0.27,4.0,2022,53
2.0,13:25,2.0,6.0,CHI 24,6.0,7.0,Justin Fields pass incomplete short right intended for Ihmir Smith-Marsette,0.27,-0.43,4.0,2022,53
2.0,13:16,3.0,6.0,CHI 24,6.0,7.0,Justin Fields scrambles up the middle for 11 yards (tackle by Aaron Robinson),-0.43,1.27,4.0,2022,53
2.0,12:55,1.0,10.0,CHI 35,6.0,7.0,Trestan Ebner left end for 11 yards (tackle by Julian Love),1.27,1.99,4.0,2022,53
2.0,12:30,1.0,10.0,CHI 46,6.0,7.0,Justin Fields pass incomplete short right intended for Trestan Ebner,1.99,1.45,4.0,2022,53
2.0,12:22,2.0,10.0,CHI 46,6.0,7.0,Justin Fields pass complete short right to Cole Kmet for 13 yards (tackle by D.J. Davidson and Dane Belton),1.45,2.85,4.0,2022,53
2.0,11:44,1.0,10.0,NYG 41,6.0,7.0,Trestan Ebner left end for -2 yards (tackle by Dane Belton),2.85,2.04,4.0,2022,53
2.0,11:04,2.0,12.0,NYG 43,6.0,7.0,Justin Fields sacked by Tae Crowder for -8 yards,2.04,0.3,4.0,2022,53
2.0,10:24,3.0,20.0,CHI 49,6.0,7.0,Justin Fields pass complete short middle to Khalil Herbert for 24 yards (tackle by Xavier McKinney and Micah McFadden),0.3,3.78,4.0,2022,53
2.0,9:33,1.0,10.0,NYG 27,6.0,7.0,"Justin Fields sacked by Azeez Ojulari for no gain. Justin Fields fumbles (forced by Azeez Ojulari), recovered by Kayvon Thibodeaux at NYG-25 (tackle by Azeez Ojulari)",3.78,-0.61,4.0,2022,53
2.0,9:32,1.0,10.0,NYG 25,6.0,7.0,Saquon Barkley right tackle for 29 yards (tackle by Jaquan Brisker),0.61,2.52,4.0,2022,53
2.0,8:49,1.0,10.0,CHI 46,6.0,7.0,Daniel Jones pass complete to Tanner Hudson for 18 yards (tackle by Eddie Jackson and Kyler Gordon),2.52,3.71,4.0,2022,53
2.0,8:26,1.0,10.0,CHI 28,6.0,7.0,Daniel Jones pass complete short right to Daniel Bellinger for 2 yards (tackle by Roquan Smith),3.71,3.44,4.0,2022,53
2.0,7:50,2.0,8.0,CHI 26,6.0,7.0,Saquon Barkley left tackle for 4 yards (tackle by Roquan Smith),3.44,3.27,4.0,2022,53
2.0,7:11,3.0,4.0,CHI 22,6.0,7.0,Daniel Jones pass complete to David Sills for no gain (no play),3.27,2.61,4.0,2022,53
