Unnamed: 0,KAN,TAM,week,year,game_id
First Downs,27,27,4.0,2022,63
Rush-Yds-TDs,37-189-2,6-3-1,4.0,2022,63
Cmp-Att-Yd-TD-INT,23-37-249-3-1,39-52-385-3-0,4.0,2022,63
Sacked-Yards,3-21,1-12,4.0,2022,63
Net Pass Yards,228,373,4.0,2022,63
Total Yards,417,376,4.0,2022,63
Fumbles-Lost,0-0,2-2,4.0,2022,63
Turnovers,1,2,4.0,2022,63
Penalties-Yards,4-32,5-40,4.0,2022,63
Third Down Conv.,12-17,6-10,4.0,2022,63
Fourth Down Conv.,0-1,0-0,4.0,2022,63
Time of Possession,38:38,21:22,4.0,2022,63
