Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Vikings to receive the opening kickoff.",,,4.0,2022,50
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for 10 yards (tackle by Marshon Lattimore),0.61,1.27,4.0,2022,50
1.0,14:27,1.0,10.0,MIN 35,0.0,0.0,Dalvin Cook left guard for 3 yards (tackle by Demario Davis),1.27,1.13,4.0,2022,50
1.0,13:51,2.0,7.0,MIN 38,0.0,0.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn,1.13,0.43,4.0,2022,50
1.0,13:47,3.0,7.0,MIN 38,0.0,0.0,Kirk Cousins pass complete short right to Irv Smith for 10 yards (tackle by Tyrann Mathieu),0.43,2.13,4.0,2022,50
1.0,13:11,1.0,10.0,MIN 48,0.0,0.0,Kirk Cousins pass complete short left to Adam Thielen for 10 yards (tackle by Tyrann Mathieu),2.13,2.79,4.0,2022,50
1.0,12:35,1.0,10.0,NOR 42,0.0,0.0,Dalvin Cook up the middle for 2 yards (tackle by Paulson Adebo),2.79,2.51,4.0,2022,50
1.0,11:57,2.0,8.0,NOR 40,0.0,0.0,Kirk Cousins pass complete short left to Justin Jefferson for 7 yards (tackle by Pete Werner),2.51,2.74,4.0,2022,50
1.0,11:18,3.0,1.0,NOR 33,0.0,0.0,"Kirk Cousins for no gain. Penalty on Shy Tuttle: Defensive Offside, 6 yards (accepted) (no play)",2.74,3.78,4.0,2022,50
1.0,10:54,1.0,10.0,NOR 27,0.0,0.0,"Kirk Cousins pass incomplete intended for Justin Jefferson. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",3.78,4.11,4.0,2022,50
1.0,10:54,1.0,10.0,NOR 22,0.0,0.0,Dalvin Cook left end for 2 yards (tackle by Pete Werner and Marshon Lattimore),4.11,3.83,4.0,2022,50
1.0,10:30,2.0,8.0,NOR 20,0.0,0.0,Kirk Cousins pass complete short right to Irv Smith for 6 yards (tackle by Paulson Adebo),3.83,4.15,4.0,2022,50
1.0,9:50,3.0,2.0,NOR 14,0.0,0.0,Kirk Cousins pass complete short left to Dalvin Cook for 9 yards (tackle by Pete Werner),4.15,6.06,4.0,2022,50
1.0,9:04,1.0,5.0,NOR 5,0.0,0.0,Alexander Mattison up the middle for no gain (tackle by Shy Tuttle),6.06,5.15,4.0,2022,50
1.0,8:28,2.0,5.0,NOR 5,0.0,0.0,Kirk Cousins pass incomplete short left,5.15,4.26,4.0,2022,50
1.0,8:24,3.0,5.0,NOR 5,0.0,0.0,"Kirk Cousins pass complete short right to K.J. Osborn for no gain, touchdown. Penalty on Justin Jefferson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.26,2.93,4.0,2022,50
1.0,8:19,3.0,15.0,NOR 15,6.0,0.0,"Kirk Cousins pass complete short left to Alexander Mattison for 15 yards, touchdown",2.93,7.0,4.0,2022,50
1.0,8:12,,,NOR 15,7.0,0.0,Greg Joseph kicks extra point good,0.0,0.0,4.0,2022,50
1.0,8:12,,,MIN 35,7.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
1.0,8:12,1.0,10.0,NOR 25,7.0,0.0,Andy Dalton pass complete short left to Mark Ingram for 2 yards (tackle by Jordan Hicks),0.61,0.33,4.0,2022,50
1.0,7:44,2.0,8.0,NOR 27,7.0,0.0,Mark Ingram up the middle for 2 yards (tackle by Dalvin Tomlinson and Jordan Hicks),0.33,-0.1,4.0,2022,50
1.0,7:07,3.0,6.0,NOR 29,7.0,0.0,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,4.0,2022,50
1.0,6:55,3.0,11.0,NOR 24,7.0,0.0,"Andy Dalton pass complete to Mark Ingram for no gain. Penalty on Cesar Ruiz: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.76,-1.51,4.0,2022,50
1.0,6:31,3.0,16.0,NOR 19,7.0,0.0,Andy Dalton pass complete short left to Adam Trautman for 12 yards (tackle by Chandon Sullivan and Harrison Smith),-1.51,-1.31,4.0,2022,50
1.0,5:51,4.0,4.0,NOR 31,7.0,0.0,Blake Gillikin punts 47 yards out of bounds,-1.31,-0.41,4.0,2022,50
1.0,5:35,1.0,10.0,MIN 22,7.0,0.0,Dalvin Cook right end for 7 yards (tackle by Tyrann Mathieu and P.J. Williams),0.41,0.81,4.0,2022,50
1.0,5:09,2.0,3.0,MIN 29,7.0,0.0,Kirk Cousins pass complete short left to Adam Thielen for 15 yards (tackle by Paulson Adebo),0.81,1.86,4.0,2022,50
1.0,4:40,1.0,10.0,MIN 44,7.0,0.0,Kirk Cousins pass complete short left to Adam Thielen for 15 yards (tackle by Demario Davis),1.86,2.85,4.0,2022,50
1.0,3:58,1.0,10.0,NOR 41,7.0,0.0,Kirk Cousins pass complete short left to Dalvin Cook for 1 yard (tackle by Tyrann Mathieu),2.85,2.44,4.0,2022,50
1.0,3:17,2.0,9.0,NOR 40,7.0,0.0,Kirk Cousins pass incomplete short left intended for Jalen Reagor,2.44,1.75,4.0,2022,50
1.0,3:15,3.0,9.0,NOR 40,7.0,0.0,Kirk Cousins sacked by Kentavius Street for -5 yards,1.75,0.27,4.0,2022,50
1.0,2:35,4.0,14.0,NOR 45,7.0,0.0,"Ryan Wright punts 33 yards, fair catch by Deonte Harty at NO-12",0.27,0.35,4.0,2022,50
1.0,2:27,1.0,10.0,NOR 12,7.0,0.0,Mark Ingram left tackle for 7 yards (tackle by D.J. Wonnum and Eric Kendricks),-0.35,0.1,4.0,2022,50
1.0,1:55,2.0,3.0,NOR 19,7.0,0.0,Andy Dalton pass incomplete short left intended for Marquez Callaway (defended by Cameron Dantzler),0.1,-0.6,4.0,2022,50
1.0,1:50,3.0,3.0,NOR 19,7.0,0.0,Andy Dalton sacked by Za'Darius Smith for -4 yards,-0.6,-2.44,4.0,2022,50
1.0,1:09,4.0,7.0,NOR 15,7.0,0.0,"Blake Gillikin punts 63 yards, returned by Jalen Reagor for 23 yards (tackle by J.T. Gray)",-2.44,-1.93,4.0,2022,50
1.0,0:54,1.0,10.0,MIN 45,7.0,0.0,Alexander Mattison right guard for 2 yards (tackle by Shy Tuttle and Demario Davis),1.93,1.65,4.0,2022,50
