Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Rams to receive the opening kickoff.",,,4.0,2022,64
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,64
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Cam Akers right guard for 4 yards (tackle by Fred Warner),0.61,0.6,4.0,2022,64
1.0,14:30,2.0,6.0,LAR 29,0.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Charvarius Ward),0.6,1.33,4.0,2022,64
1.0,13:58,1.0,10.0,LAR 36,0.0,0.0,Cam Akers right tackle for 1 yard (tackle by Nick Bosa),1.33,0.93,4.0,2022,64
1.0,13:36,2.0,9.0,LAR 37,0.0,0.0,Matthew Stafford pass complete short middle to Tyler Higbee for 8 yards (tackle by Dre Greenlaw),0.93,1.29,4.0,2022,64
1.0,13:08,3.0,1.0,LAR 45,0.0,0.0,Matthew Stafford pass complete short middle to Cooper Kupp for 10 yards (tackle by Deommodore Lenoir),1.29,2.59,4.0,2022,64
1.0,12:23,1.0,10.0,SFO 45,0.0,0.0,Matthew Stafford scrambles right end for 4 yards (tackle by Dre Greenlaw),2.59,2.58,4.0,2022,64
1.0,11:54,2.0,6.0,SFO 41,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 10 yards (tackle by Dre Greenlaw and Fred Warner),2.58,3.51,4.0,2022,64
1.0,11:18,1.0,10.0,SFO 31,0.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Dre Greenlaw),3.51,3.51,4.0,2022,64
1.0,10:29,2.0,6.0,SFO 27,0.0,0.0,Cam Akers left tackle for 1 yard (tackle by Emmanuel Moseley and Talanoa Hufanga),3.51,2.94,4.0,2022,64
1.0,10:05,3.0,5.0,SFO 26,0.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Fred Warner),2.94,4.31,4.0,2022,64
1.0,9:20,1.0,10.0,SFO 19,0.0,0.0,"Penalty on Joseph Noteboom: False Start, 5 yards (accepted) (no play)",4.31,3.97,4.0,2022,64
1.0,9:01,1.0,15.0,SFO 24,0.0,0.0,Matthew Stafford pass complete short left to Darrell Henderson for 6 yards (tackle by Dre Greenlaw),3.97,3.88,4.0,2022,64
1.0,8:21,2.0,9.0,SFO 18,0.0,0.0,Matthew Stafford sacked by Samson Ebukam for -10 yards,3.88,1.88,4.0,2022,64
1.0,7:37,3.0,19.0,SFO 28,0.0,0.0,Darrell Henderson left tackle for 7 yards (tackle by Dre Greenlaw and Drake Jackson),1.88,2.06,4.0,2022,64
1.0,6:53,4.0,12.0,SFO 21,3.0,0.0,Matt Gay 39 yard field goal good,2.06,3.0,4.0,2022,64
1.0,6:48,,,LAR 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,64
1.0,6:48,1.0,10.0,SFO 25,3.0,0.0,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 15 yards (tackle by Taylor Rapp),0.61,1.6,4.0,2022,64
1.0,6:10,1.0,10.0,SFO 40,3.0,0.0,Deebo Samuel up the middle for 1 yard (tackle by Leonard Floyd and Greg Gaines),1.6,1.19,4.0,2022,64
1.0,5:38,2.0,9.0,SFO 41,3.0,0.0,Jimmy Garoppolo pass incomplete short right,1.19,0.5,4.0,2022,64
