Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,4.0,2022,58
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 63 yards, returned by Jamal Agnew for 21 yards (tackle by Josiah Scott)",0.0,0.48,4.0,2022,58
1.0,14:54,1.0,10.0,JAX 23,0.0,0.0,James Robinson up the middle for 5 yards (tackle by T.J. Edwards),0.48,0.61,4.0,2022,58
1.0,14:19,2.0,5.0,JAX 28,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Marcus Epps),0.61,-0.1,4.0,2022,58
1.0,14:15,3.0,5.0,JAX 28,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,-0.1,-1.5,4.0,2022,58
1.0,14:11,4.0,5.0,JAX 28,0.0,0.0,"Logan Cooke punts 53 yards, returned by Britain Covey for 2 yards (tackle by Andrew Wingard and Chris Claybrooks)",-1.5,-0.34,4.0,2022,58
1.0,14:00,1.0,10.0,PHI 21,0.0,0.0,Jalen Hurts pass incomplete short left intended for Miles Sanders,0.34,-0.2,4.0,2022,58
1.0,13:56,2.0,10.0,PHI 21,0.0,0.0,Miles Sanders right guard for 9 yards (tackle by Devin Lloyd and Andre Cisco),-0.2,0.3,4.0,2022,58
1.0,13:17,3.0,1.0,PHI 30,0.0,0.0,Miles Sanders left guard for no gain (tackle by Travon Walker and Roy Robertson-Harris),0.3,-1.37,4.0,2022,58
1.0,12:51,4.0,1.0,PHI 30,0.0,0.0,Jalen Hurts up the middle for 3 yards (tackle by Roy Robertson-Harris and Josh Allen),-1.37,1.14,4.0,2022,58
1.0,12:04,1.0,10.0,PHI 33,0.0,0.0,"Penalty on Zach Pascal: False Start, 5 yards (accepted) (no play)",1.14,0.81,4.0,2022,58
1.0,11:51,1.0,15.0,PHI 28,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 8 yards (tackle by Rayshawn Jenkins),0.81,1.0,4.0,2022,58
