Unnamed: 0,CHI,NYG,week,year,game_id
First Downs,16,21,4.0,2022,53
Rush-Yds-TDs,32-149-0,44-262-2,4.0,2022,53
Cmp-Att-Yd-TD-INT,11-22-174-0-0,9-16-82-0-1,4.0,2022,53
Sacked-Yards,6-19,1-11,4.0,2022,53
Net Pass Yards,155,71,4.0,2022,53
Total Yards,304,333,4.0,2022,53
Fumbles-Lost,6-3,2-1,4.0,2022,53
Turnovers,3,2,4.0,2022,53
Penalties-Yards,5-65,7-55,4.0,2022,53
Third Down Conv.,5-15,6-14,4.0,2022,53
Fourth Down Conv.,0-0,0-0,4.0,2022,53
Time of Possession,28:43,31:17,4.0,2022,53
