Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Geno Smith,SEA,0,0,4.0,2022,56
Rashaad Penny,SEA,0,0,4.0,2022,56
Kenneth Walker III,SEA,0,0,4.0,2022,56
D'Wayne Eskridge,SEA,0,0,4.0,2022,56
D.K. Metcalf,SEA,0,0,4.0,2022,56
Tyler Lockett,SEA,1,1,4.0,2022,56
Will Dissly,SEA,0,0,4.0,2022,56
Colby Parkinson,SEA,0,0,4.0,2022,56
Noah Fant,SEA,0,0,4.0,2022,56
Jared Goff,DET,0,0,4.0,2022,56
Jack Fox,DET,0,0,4.0,2022,56
Jamaal Williams,DET,0,0,4.0,2022,56
Craig Reynolds,DET,0,0,4.0,2022,56
Kalif Raymond,DET,1,1,4.0,2022,56
Justin Jackson,DET,0,0,4.0,2022,56
T.J. Hockenson,DET,0,0,4.0,2022,56
Josh Reynolds,DET,0,0,4.0,2022,56
Tom Kennedy,DET,0,0,4.0,2022,56
Quintez Cephus,DET,0,0,4.0,2022,56
