Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Quenton Nelson,G,66,100%,0,0%,4,17%,1,Colts,4.0,2022,54
Will Fries,G,66,100%,0,0%,4,17%,1,Colts,4.0,2022,54
Matt Pryor,T,66,100%,0,0%,4,17%,1,Colts,4.0,2022,54
Ryan Kelly,C,66,100%,0,0%,0,0%,1,Colts,4.0,2022,54
Matt Ryan,QB,66,100%,0,0%,0,0%,1,Colts,4.0,2022,54
Braden Smith,T,66,100%,0,0%,0,0%,1,Colts,4.0,2022,54
Michael Pittman Jr.,WR,59,89%,0,0%,0,0%,1,Colts,4.0,2022,54
Jonathan Taylor,RB,58,88%,0,0%,0,0%,1,Colts,4.0,2022,54
Mo Alie-Cox,TE,46,70%,0,0%,5,22%,1,Colts,4.0,2022,54
Parris Campbell,WR,44,67%,0,0%,0,0%,1,Colts,4.0,2022,54
Kylen Granson,TE,30,45%,0,0%,9,39%,1,Colts,4.0,2022,54
Alec Pierce,WR,29,44%,0,0%,0,0%,1,Colts,4.0,2022,54
Nyheim Hines,RB,21,32%,0,0%,4,17%,1,Colts,4.0,2022,54
Ashton Dulin,WR,19,29%,0,0%,14,61%,1,Colts,4.0,2022,54
Jelani Woods,TE,15,23%,0,0%,0,0%,1,Colts,4.0,2022,54
Mike Strachan,WR,9,14%,0,0%,0,0%,1,Colts,4.0,2022,54
Rodney Thomas II,DB,0,0%,54,100%,10,43%,1,Colts,4.0,2022,54
Rodney McLeod,FS,0,0%,54,100%,9,39%,1,Colts,4.0,2022,54
Kenny Moore,CB,0,0%,54,100%,8,35%,1,Colts,4.0,2022,54
Zaire Franklin,LB,0,0%,54,100%,7,30%,1,Colts,4.0,2022,54
Stephon Gilmore,CB,0,0%,54,100%,0,0%,1,Colts,4.0,2022,54
Kwity Paye,DE,0,0%,42,78%,1,4%,1,Colts,4.0,2022,54
Tyquan Lewis,DE,0,0%,40,74%,0,0%,1,Colts,4.0,2022,54
Bobby Okereke,LB,0,0%,38,70%,11,48%,1,Colts,4.0,2022,54
Grover Stewart,DT,0,0%,38,70%,9,39%,1,Colts,4.0,2022,54
Yannick Ngakoue,DE,0,0%,32,59%,0,0%,1,Colts,4.0,2022,54
Isaiah Rodgers,CB,0,0%,24,44%,13,57%,1,Colts,4.0,2022,54
DeForest Buckner,DT,0,0%,19,35%,0,0%,1,Colts,4.0,2022,54
E.J. Speed,LB,0,0%,18,33%,18,78%,1,Colts,4.0,2022,54
Shaquille Leonard,LB,0,0%,16,30%,0,0%,1,Colts,4.0,2022,54
Dayo Odeyingbo,DE,0,0%,14,26%,1,4%,1,Colts,4.0,2022,54
Ifeadi Odenigbo,DE,0,0%,12,22%,0,0%,1,Colts,4.0,2022,54
Brandon Facyson,CB,0,0%,12,22%,0,0%,1,Colts,4.0,2022,54
Byron Cowart,DT,0,0%,7,13%,5,22%,1,Colts,4.0,2022,54
Eric Johnson,DT,0,0%,7,13%,4,17%,1,Colts,4.0,2022,54
Ben Banogu,DE,0,0%,5,9%,16,70%,1,Colts,4.0,2022,54
Tony Brown,CB,0,0%,0,0%,19,83%,1,Colts,4.0,2022,54
Grant Stuard,LB,0,0%,0,0%,15,65%,1,Colts,4.0,2022,54
JoJo Domann,LB,0,0%,0,0%,14,61%,1,Colts,4.0,2022,54
Deon Jackson,RB,0,0%,0,0%,13,57%,1,Colts,4.0,2022,54
Chase McLaughlin,K,0,0%,0,0%,8,35%,1,Colts,4.0,2022,54
Luke Rhodes,LS,0,0%,0,0%,6,26%,1,Colts,4.0,2022,54
Matt Haack,P,0,0%,0,0%,6,26%,1,Colts,4.0,2022,54
Bernhard Raimann,T,0,0%,0,0%,4,17%,1,Colts,4.0,2022,54
Nick Cross,DB,0,0%,0,0%,4,17%,1,Colts,4.0,2022,54
Danny Pinter,G,0,0%,0,0%,4,17%,1,Colts,4.0,2022,54
Dennis Kelly,T,0,0%,0,0%,4,17%,1,Colts,4.0,2022,54
