Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,1,32,17,159,3,10.3,122,45,10,27.0%,0,0.0%,0,0.0%,1,1,2.7%,0
Buffalo Bills,1,19,14,194,2,9.9,105,103,9,40.9%,2,9.1%,1,5.3%,2,5,22.7%,8
Carolina Panthers,1,31,19,178,1,7.9,98,80,5,15.2%,0,0.0%,1,3.2%,0,1,3.0%,5
Chicago Bears,1,20,13,134,2,,0,0,0,0.0%,0,0.0%,0,0.0%,3,3,12.5%,0
Cincinnati Bengals,1,45,31,278,1,5.5,117,173,2,4.2%,2,4.2%,1,2.2%,2,5,10.4%,5
Cleveland Browns,1,23,14,95,1,7.3,64,49,8,28.6%,1,3.6%,0,0.0%,3,4,14.3%,1
Indianapolis Colts,1,31,19,133,1,6.9,67,79,9,25.0%,3,8.3%,1,3.2%,3,7,19.4%,5
Arizona Cardinals,1,46,27,208,0,7.4,121,73,9,18.4%,2,4.1%,1,2.2%,1,4,8.2%,2
Dallas Cowboys,1,23,19,144,0,4.5,91,61,6,18.2%,2,6.1%,2,8.7%,1,5,15.2%,11
Denver Broncos,1,28,12,62,0,,0,0,0,0.0%,0,0.0%,0,0.0%,6,6,17.6%,0
Detroit Lions,1,22,16,188,2,9.9,104,36,8,34.8%,0,0.0%,0,0.0%,0,0,0.0%,1
Green Bay Packers,1,39,31,200,1,4.3,104,121,4,9.3%,2,4.7%,2,5.1%,4,8,18.6%,2
Houston Texans,1,29,21,224,1,8.5,177,68,10,31.3%,0,0.0%,3,10.3%,3,6,18.8%,1
Jacksonville Jaguars,1,35,18,142,1,7.6,94,60,6,15.0%,0,0.0%,3,8.6%,1,4,10.0%,1
Kansas City Chiefs,1,34,25,304,3,,0,0,0,0.0%,0,0.0%,0,0.0%,3,3,7.3%,0
Miami Dolphins,1,29,22,262,1,7.0,153,96,17,51.5%,5,15.2%,1,3.4%,1,7,21.2%,3
Minnesota Vikings,1,35,21,198,1,,0,0,0,0.0%,0,0.0%,0,0.0%,2,2,4.7%,0
New Orleans Saints,1,29,21,130,2,5.4,63,100,10,27.0%,3,8.1%,0,0.0%,5,8,21.6%,4
New England Patriots,1,34,24,333,1,,0,0,0,0.0%,0,0.0%,0,0.0%,4,4,10.3%,0
New York Giants,1,30,19,212,1,5.7,-4,8,0,0.0%,0,0.0%,0,0.0%,3,3,7.9%,0
New York Jets,1,30,22,218,4,4.4,71,173,12,35.3%,0,0.0%,3,10.0%,4,7,20.6%,13
Tennessee Titans,1,40,25,166,1,,0,0,0,0.0%,0,0.0%,0,0.0%,1,1,2.4%,0
Philadelphia Eagles,1,34,21,188,0,10.0,113,75,5,14.3%,2,5.7%,1,2.9%,0,3,8.6%,7
Pittsburgh Steelers,1,22,16,212,1,7.4,142,76,9,34.6%,0,0.0%,5,22.7%,1,6,23.1%,17
Las Vegas Raiders,1,46,30,276,1,5.0,10,6,0,0.0%,0,0.0%,0,0.0%,4,4,7.5%,0
Los Angeles Rams,1,27,19,151,0,5.7,115,73,6,17.6%,0,0.0%,0,0.0%,3,3,8.8%,0
Baltimore Ravens,1,46,33,389,2,9.1,248,140,6,11.5%,3,5.8%,2,4.3%,1,6,11.5%,8
Los Angeles Chargers,1,39,24,249,1,,0,0,0,0.0%,0,0.0%,0,0.0%,2,2,4.3%,0
Seattle Seahawks,1,35,26,265,2,7.5,156,121,6,15.4%,7,17.9%,5,14.3%,1,13,33.3%,7
San Francisco 49ers,1,23,16,146,0,9.0,103,47,4,16.0%,1,4.0%,2,8.7%,1,4,16.0%,2
Tampa Bay Buccaneers,1,42,27,289,1,6.7,109,189,10,21.3%,0,0.0%,2,4.8%,1,3,6.4%,1
Washington Commanders,1,37,17,157,0,7.0,-4,8,1,2.2%,0,0.0%,0,0.0%,2,2,4.4%,0
