Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
1.0,Miami Dolphins,17.0,393.0,566.0,69.4,4514.0,30.0,5.3,15.0,2.7,78.0,8.3,8.2,12.0,265.5,101.2,31.0,184.0,5.2,7.6,7.4,2.0,2.0,127.81,2023,18
2.0,Detroit Lions,17.0,408.0,606.0,67.3,4401.0,30.0,5.0,12.0,2.0,70.0,7.6,7.7,11.3,258.9,98.1,31.0,205.0,4.9,6.9,7.0,2.0,3.0,172.54,2023,18
3.0,Dallas Cowboys,17.0,428.0,614.0,69.7,4397.0,36.0,5.9,10.0,1.6,92.0,7.6,8.0,10.9,258.6,104.6,40.0,263.0,6.1,6.7,7.1,2.0,3.0,179.79,2023,18
4.0,San Francisco 49ers,17.0,336.0,491.0,68.4,4384.0,33.0,6.7,12.0,2.4,76.0,9.3,9.6,13.6,257.9,110.2,34.0,193.0,6.5,8.4,8.6,,,229.41,2023,18
5.0,Minnesota Vikings,17.0,424.0,631.0,67.2,4359.0,30.0,4.8,19.0,3.0,62.0,7.4,7.0,11.1,256.4,92.4,47.0,341.0,6.9,6.4,6.1,1.0,2.0,64.35,2023,18
6.0,Kansas City Chiefs,17.0,421.0,635.0,66.3,4188.0,28.0,4.4,17.0,2.7,67.0,6.9,6.6,10.4,246.4,89.6,28.0,195.0,4.2,6.3,6.0,2.0,3.0,102.2,2023,18
7.0,Houston Texans,17.0,372.0,592.0,62.8,4173.0,27.0,4.6,8.0,1.4,75.0,7.7,8.0,12.3,245.5,96.2,47.0,405.0,7.4,6.5,6.8,2.0,4.0,107.25,2023,18
8.0,Buffalo Bills,17.0,385.0,579.0,66.5,4154.0,29.0,5.0,18.0,3.1,81.0,7.4,7.0,11.2,244.4,92.2,24.0,152.0,4.0,6.9,6.5,2.0,4.0,134.2,2023,18
9.0,Jacksonville Jaguars,17.0,412.0,620.0,66.5,4126.0,22.0,3.5,14.0,2.3,65.0,7.1,6.8,10.6,242.7,89.3,41.0,251.0,6.2,6.2,6.0,1.0,2.0,75.42,2023,18
10.0,Los Angeles Rams,17.0,361.0,583.0,61.9,4063.0,26.0,4.5,13.0,2.2,80.0,7.4,7.3,11.9,239.0,90.0,34.0,237.0,5.5,6.6,6.5,2.0,3.0,117.13,2023,18
11.0,New Orleans Saints,17.0,406.0,606.0,67.0,3990.0,28.0,4.6,11.0,1.8,58.0,7.0,7.1,10.4,234.7,94.8,35.0,235.0,5.5,6.2,6.3,0.0,2.0,79.42,2023,18
12.0,Green Bay Packers,17.0,374.0,581.0,64.4,3968.0,32.0,5.5,11.0,1.9,77.0,7.2,7.5,11.3,233.4,96.4,30.0,242.0,4.9,6.5,6.7,2.0,3.0,181.3,2023,18
13.0,Los Angeles Chargers,17.0,409.0,632.0,64.7,3957.0,24.0,3.8,8.0,1.3,79.0,6.8,7.0,10.5,232.8,91.8,43.0,355.0,6.4,5.9,6.0,1.0,1.0,40.68,2023,18
