Rk,Player,Age,Team,Pos,G,GS,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions Lng,Def Interceptions PD,Fumbles FF,Fumbles Fmb,Fumbles FR,Fumbles Yds,Fumbles FRTD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Sfty,Awards,Player_URL
1,Davante Adams,30,LVR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,"PB,AP-1",
2,Brandon Aiyuk,24,SFO,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,3,3,0,0,0,0,,
3,Adrian Amos,29,GNB,SS,17,17,1,26,0,26,5,0,0,1,-1,0,1.0,102,73,29,7,2,0,,
4,Alex Anzalone,28,DET,MLB,17,17,1,4,0,4,6,1,0,1,0,0,1.5,125,77,48,7,7,0,,
5,Jerome Baker,26,MIA,RILB,17,17,0,0,0,0,4,1,0,0,0,0,4.0,100,66,34,6,7,0,,
6,Kelvin Beachum,33,ARI,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
7,Ja'Whaun Bentley,26,NWE,LILB,17,17,1,7,0,7,2,0,0,1,0,0,3.0,125,62,63,5,6,0,,
8,Joel Bitonio,31,CLE,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,"PB,AP-1",
9,Austin Blythe,30,SEA,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
10,Nick Bolton,22,KAN,LLB,17,17,2,15,0,15,3,1,0,0,0,0,2.0,180,108,72,9,6,0,,
11,James Bradberry,29,PHI,LCB,17,17,3,54,1,27,17,0,0,0,0,0,0.0,44,39,5,2,0,0,AP-2,
12,Tom Brady,45,TAM,QB,17,17,0,0,0,0,0,0,5,1,7,0,0.0,1,1,0,0,0,0,,
13,Jake Brendel,30,SFO,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
14,Aaron Brewer,25,TEN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
15,Derrick Brown,24,CAR,LDT,17,17,1,0,0,0,7,0,0,0,0,0,1.0,67,30,37,5,12,0,,
16,Kevin Byard,29,TEN,SS,17,17,4,57,0,28,6,0,0,0,0,0,0.0,108,69,39,0,1,0,,
17,Camryn Bynum,24,MIN,FS,17,17,2,17,0,12,6,0,0,2,55,0,0.0,81,49,32,0,0,0,,
18,Tyson Campbell,22,JAX,RCB,17,17,3,32,0,29,15,1,0,2,12,1,0.0,70,55,15,2,0,0,,
19,Lorenzo Carter,27,ATL,RLB,17,17,1,28,1,28,2,0,0,1,0,0,4.0,58,29,29,6,12,0,,
20,Nick Chubb,27,CLE,RB,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",
21,Chuck Clark,27,BAL,SS,17,17,0,0,0,0,4,1,0,1,-5,0,0.0,101,61,40,0,0,0,,
22,Kenny Clark,27,GNB,NT,17,17,0,0,0,0,0,1,0,1,0,0,4.0,53,27,26,5,10,0,,
23,Ezra Cleveland,24,MIN,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,
24,Mason Cole,26,PIT,C,17,17,0,0,0,0,0,0,1,0,-13,0,0.0,0,0,0,0,0,0,,
25,Dalvin Cook,27,MIN,RB,17,17,0,0,0,0,0,0,4,3,14,0,0.0,2,2,0,0,0,0,PB,
26,Amari Cooper,28,CLE,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,
27,Kirk Cousins,34,MIN,QB,17,17,0,0,0,0,0,0,7,0,-5,0,0.0,1,0,1,0,0,0,PB,
28,Fletcher Cox,32,PHI,RDE/LDE,17,17,0,0,0,0,0,1,0,1,0,0,7.0,43,23,20,7,14,0,,
29,Maxx Crosby,25,LVR,RDE,17,17,0,0,0,0,4,3,0,1,-3,0,12.5,89,58,31,22,36,0,"PB,AP DPoY-6",
30,Charles Cross,22,SEA,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
31,Drew Dalman,24,ATL,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,1,1,0,0,0,0,,
32,Lavonte David,32,TAM,RILB,17,17,0,0,0,0,5,1,0,1,0,0,3.0,124,80,44,10,3,0,,
33,Demario Davis,33,NOR,MLB,17,17,1,4,0,4,6,0,0,1,0,0,6.5,109,54,55,10,8,0,"PB,AP-2",
34,Landon Dickerson,24,PHI,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PB,
35,Quandre Diggs,29,SEA,FS,17,17,4,70,0,27,7,1,0,0,0,0,0.0,71,50,21,1,1,0,PB,
36,Trevon Diggs,24,DAL,RCB,17,17,3,10,0,7,14,0,0,1,17,0,0.0,59,50,9,0,0,0,PB,
37,Kevin Dotson,26,PIT,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
38,T.J. Edwards,26,PHI,RLB,17,17,0,0,0,0,7,0,0,1,0,0,2.0,159,99,60,10,5,0,,
39,Austin Ekeler,27,LAC,RB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,4,4,0,0,0,0,AP OPoY-9,
40,Ikem Ekwonu,22,CAR,LT,17,17,0,0,0,0,0,0,0,1,-1,0,0.0,1,0,1,0,0,0,,
41,Jordan Elliott,25,CLE,LDT,17,17,0,0,0,0,2,0,0,0,0,0,2.0,36,19,17,5,3,0,,
42,Marcus Epps,26,PHI,SS,17,17,0,0,0,0,6,1,0,0,0,0,0.0,94,70,24,4,0,0,,
43,Rashaan Evans,27,ATL,LLB,17,17,0,0,0,0,4,1,0,2,3,0,2.0,159,86,73,6,3,0,,
44,Matt Feiler,30,LAC,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
45,Leonard Floyd,30,LAR,ROLB,17,17,0,0,0,0,0,0,0,1,0,0,9.0,59,31,28,10,22,0,,
46,Luke Fortner,24,JAX,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
47,Zaire Franklin,26,IND,RLB/MLB,17,17,0,0,0,0,6,2,0,0,0,0,3.0,167,102,65,12,6,0,,
48,John Franklin-Myers,26,NYJ,LDE,17,17,0,0,0,0,1,0,0,0,0,0,5.0,38,16,22,4,20,0,,
49,Kendall Fuller,27,WAS,LCB/DB,17,17,3,66,2,37,13,0,0,0,0,0,0.0,52,36,16,1,0,0,,
50,Sauce Gardner,22,NYJ,RCB,17,17,2,19,0,16,20,0,0,0,0,0,0.0,75,51,24,3,1,0,"PB,AP-1,AP DPoY-8,AP DRoY-1",
51,Tashaun Gipson,32,SFO,FS,17,17,5,141,0,56,8,0,0,0,0,0,0.5,61,43,18,1,1,0,,
52,Davon Godchaux,28,NWE,NT,17,17,0,0,0,0,0,0,0,0,0,0,1.5,62,25,37,3,3,0,,
53,Jared Goff,28,DET,QB,17,17,0,0,0,0,0,0,7,2,5,0,0.0,2,2,0,0,0,0,"PB,AP CPoY-6",
54,Richie Grant,25,ATL,SS,17,17,2,22,0,12,7,1,0,1,0,0,0.0,123,70,53,3,1,0,,
55,Yetur Gross-Matos,24,CAR,RDE,17,17,0,0,0,0,0,0,1,4,-2,0,2.5,54,18,36,5,10,0,,
56,Robert Hainsey,24,TAM,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
57,Javon Hargrave,29,PHI,LDT,17,17,0,0,0,0,2,1,0,2,0,0,11.0,60,37,23,10,16,0,,
58,Najee Harris,24,PIT,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,2,2,0,0,0,0,,
59,Rob Havenstein,30,LAR,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,,
