Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Seattle Seahawks,1,8,8,44,2,16.4,24.4,20.4,16.4,24.4,20.4
Baltimore Ravens,1,7,7,97,1,15.7,22.7,19.2,15.7,22.7,19.2
New England Patriots,1,12,9,141,0,14.1,26.1,18.6,14.1,26.1,18.6
Carolina Panthers,1,6,5,65,1,12.5,17.5,15.0,12.5,17.5,15.0
Los Angeles Chargers,1,5,3,50,1,11.0,14.0,12.5,11.0,14.0,12.5
Cincinnati Bengals,1,15,10,100,0,10.3,20.3,15.3,10.3,20.3,15.3
New York Jets,1,9,8,43,1,10.3,18.3,14.3,10.3,18.3,14.3
Cleveland Browns,1,9,5,40,1,10.0,15.0,12.5,10.0,15.0,12.5
Miami Dolphins,1,10,8,96,0,9.9,17.9,13.9,9.9,17.9,13.9
New York Giants,1,5,3,26,1,8.6,11.6,10.1,8.6,11.6,10.1
Detroit Lions,1,6,4,22,1,8.5,12.5,10.5,8.5,12.5,10.5
Green Bay Packers,1,9,6,79,0,7.9,13.9,10.9,7.9,13.9,10.9
Las Vegas Raiders,1,9,5,76,0,7.6,12.6,10.1,7.6,12.6,10.1
Arizona Cardinals,1,11,8,76,0,7.6,15.6,11.6,7.6,15.6,11.6
New Orleans Saints,1,12,8,74,0,7.4,15.4,11.4,7.4,15.4,11.4
Houston Texans,1,4,3,7,1,7.3,8.7,6.2,7.3,8.7,6.2
Kansas City Chiefs,1,3,3,68,0,7.0,10.0,8.5,7.0,10.0,8.5
Tampa Bay Buccaneers,1,8,7,59,0,5.9,12.9,9.4,5.9,12.9,9.4
Los Angeles Rams,1,9,7,50,0,5.0,12.0,8.5,5.0,12.0,8.5
Dallas Cowboys,1,8,8,45,0,4.5,12.5,8.5,4.5,12.5,8.5
Minnesota Vikings,1,6,3,43,0,4.3,7.3,5.8,4.3,7.3,5.8
Pittsburgh Steelers,1,3,3,36,0,3.6,6.6,5.1,3.6,6.6,5.1
Denver Broncos,1,6,4,35,0,3.5,7.5,5.5,3.5,7.5,5.5
Tennessee Titans,1,7,5,32,0,3.2,8.2,5.7,3.2,8.2,5.7
Jacksonville Jaguars,1,4,3,29,0,2.9,5.9,4.4,2.9,5.9,4.4
Philadelphia Eagles,1,8,5,23,0,2.3,7.3,4.8,2.3,7.3,4.8
Indianapolis Colts,1,4,2,20,0,2.0,6.0,5.0,2.0,6.0,5.0
Chicago Bears,1,5,4,20,0,2.0,6.0,4.0,2.0,6.0,4.0
Washington Commanders,1,4,2,19,0,1.9,3.9,2.9,1.9,3.9,2.9
San Francisco 49ers,1,3,2,7,0,0.9,2.9,1.9,0.9,2.9,1.9
Buffalo Bills,1,1,1,5,0,0.5,1.5,1.0,0.5,1.5,1.0
Atlanta Falcons,1,3,0,0,0,,,,,,
