Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Joe Burrow,28.0,CIN,QB,17.0,17.0,9-8-0,460.0,652.0,70.6,4918.0,43.0,6.6,9.0,1.4,253.0,53.6,70.0,7.5,8.24,10.7,289.3,108.5,72.1,48.0,278.0,6.86,6.63,7.28,1.0,2.0,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1"
2.0,Jared Goff,30.0,DET,QB,17.0,17.0,15-2-0,390.0,539.0,72.4,4629.0,37.0,6.9,12.0,2.2,236.0,54.7,82.0,8.6,8.96,11.9,272.3,111.8,65.4,31.0,234.0,5.44,7.71,8.06,4.0,4.0,"PB,AP MVP-5,AP OPoY-9"
3.0,Baker Mayfield,29.0,TAM,QB,17.0,17.0,10-7-0,407.0,570.0,71.4,4500.0,41.0,7.2,16.0,2.8,224.0,53.9,57.0,7.9,8.07,11.1,264.7,106.8,58.4,40.0,248.0,6.56,6.97,7.13,2.0,2.0,"PB,AP MVP-11,AP OPoY-11"
4.0,Geno Smith,34.0,SEA,QB,17.0,17.0,10-7-0,407.0,578.0,70.4,4320.0,21.0,3.6,15.0,2.6,209.0,48.4,71.0,7.5,7.03,10.6,254.1,93.2,50.4,50.0,338.0,7.96,6.34,5.93,4.0,4.0,
5.0,Sam Darnold,27.0,MIN,QB,17.0,17.0,14-3-0,361.0,545.0,66.2,4319.0,35.0,6.4,12.0,2.2,207.0,47.7,97.0,7.9,8.22,12.0,254.1,102.5,57.3,48.0,335.0,8.09,6.72,6.99,3.0,5.0,"PB,AP MVP-10,AP CPoY-3"
6.0,Lamar Jackson,27.0,BAL,QB,17.0,17.0,12-5-0,316.0,474.0,66.7,4172.0,41.0,8.6,4.0,0.8,198.0,51.3,84.0,8.8,10.15,13.2,245.4,119.6,74.8,23.0,149.0,4.63,8.09,9.38,2.0,2.0,"PB,AP-1,AP MVP-2,AP OPoY-2"
7.0,Patrick Mahomes,29.0,KAN,QB,16.0,16.0,15-1-0,392.0,581.0,67.5,3928.0,26.0,4.5,11.0,1.9,214.0,50.7,54.0,6.8,6.8,10.0,245.5,93.5,64.6,36.0,239.0,5.83,5.98,6.02,5.0,7.0,"AP MVP-6,AP OPoY-17"
8.0,Aaron Rodgers,41.0,NYJ,QB,17.0,17.0,5-12-0,368.0,584.0,63.0,3897.0,28.0,4.8,11.0,1.9,192.0,43.9,71.0,6.7,6.78,10.6,229.2,90.5,44.7,40.0,302.0,6.41,5.76,5.87,2.0,3.0,AP CPoY-7
9.0,Justin Herbert,26.0,LAC,QB,17.0,17.0,11-6-0,332.0,504.0,65.9,3870.0,23.0,4.6,3.0,0.6,175.0,44.4,66.0,7.7,8.32,11.7,227.6,101.7,61.7,41.0,244.0,7.52,6.65,7.25,1.0,2.0,"AP MVP-9,AP CPoY-12"
10.0,Brock Purdy,25.0,SFO,QB,15.0,15.0,6-9-0,300.0,455.0,65.9,3864.0,20.0,4.4,12.0,2.6,178.0,49.4,76.0,8.5,8.18,12.9,257.6,96.1,64.8,31.0,156.0,6.38,7.63,7.34,1.0,1.0,
11.0,Kyler Murray,27.0,ARI,QB,17.0,17.0,8-9-0,372.0,541.0,68.8,3851.0,21.0,3.9,11.0,2.0,191.0,51.7,60.0,7.1,6.98,10.4,226.5,93.5,63.4,30.0,220.0,5.25,6.36,6.23,3.0,3.0,AP CPoY-10
