Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Panthers to receive the opening kickoff.",,,14.0,2024,198
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 65 yards, returned by Raheem Blackshear for 26 yards (tackle by Kenneth Gainwell)",0.0,0.67,14.0,2024,198
1.0,14:53,1.0,10.0,CAR 26,0.0,0.0,Bryce Young pass complete short right to Chuba Hubbard for 8 yards (tackle by Zack Baun),0.67,1.21,14.0,2024,198
1.0,14:21,2.0,2.0,CAR 34,0.0,0.0,Chuba Hubbard left tackle for 3 yards (tackle by Cooper DeJean),1.21,1.4,14.0,2024,198
1.0,13:47,1.0,10.0,CAR 37,0.0,0.0,Bryce Young pass incomplete short right intended for David Moore,1.4,0.86,14.0,2024,198
1.0,13:43,2.0,10.0,CAR 37,0.0,0.0,Bryce Young pass incomplete deep left intended for Ja'Tavion Sanders,0.86,0.17,14.0,2024,198
1.0,13:36,3.0,10.0,CAR 37,0.0,0.0,Bryce Young pass incomplete short right intended for Xavier Legette (defended by C.J. Gardner-Johnson),0.17,-0.91,14.0,2024,198
1.0,13:32,4.0,10.0,CAR 37,0.0,0.0,"Johnny Hekker punts, fair catch by Cooper DeJean at PHI-10. Penalty on Jacoby Windmon: Illegal Formation, 5 yards (accepted) (no play)",-0.91,-1.24,14.0,2024,198
1.0,13:25,4.0,15.0,CAR 32,0.0,0.0,"Johnny Hekker punts 45 yards, returned by Cooper DeJean for 2 yards (tackle by Claudin Cherelus)",-1.24,-0.61,14.0,2024,198
1.0,13:13,1.0,10.0,PHI 25,0.0,0.0,"Saquon Barkley right end for 2 yards (tackle by Jaycee Horn). Penalty on Lane Johnson: Offensive Holding, 10 yards (accepted)",0.61,-0.15,14.0,2024,198
1.0,12:51,1.0,18.0,PHI 17,0.0,0.0,Jalen Hurts pass complete short right to Jahan Dotson for 5 yards (tackle by Xavier Woods),-0.15,-0.34,14.0,2024,198
1.0,12:09,2.0,13.0,PHI 22,0.0,0.0,Kenneth Gainwell left end for 20 yards (tackle by Xavier Woods and D.J. Wonnum),-0.34,1.73,14.0,2024,198
1.0,11:28,1.0,10.0,PHI 42,0.0,0.0,Jalen Hurts sacked by Josey Jewell for -8 yards,1.73,0.11,14.0,2024,198
1.0,10:45,2.0,18.0,PHI 34,0.0,0.0,Jalen Hurts pass incomplete short left intended for Saquon Barkley,0.11,-0.56,14.0,2024,198
1.0,10:40,3.0,18.0,PHI 34,0.0,0.0,Jalen Hurts pass incomplete short right intended for Jahan Dotson (defended by Michael Jackson),-0.56,-1.11,14.0,2024,198
1.0,10:35,4.0,18.0,PHI 34,0.0,0.0,"Braden Mann punts 43 yards, returned by Raheem Blackshear for 1 yard (tackle by Kelee Ringo)",-1.11,-0.54,14.0,2024,198
1.0,10:27,1.0,10.0,CAR 24,0.0,0.0,Chuba Hubbard right end for 15 yards (tackle by Darius Slay),0.54,1.53,14.0,2024,198
1.0,9:51,1.0,10.0,CAR 39,0.0,0.0,Chuba Hubbard right guard for 4 yards (tackle by Nakobe Dean),1.53,1.53,14.0,2024,198
1.0,9:16,2.0,6.0,CAR 43,0.0,0.0,"Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by Nolan Smith). Penalty on Tommy Tremble: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.18,14.0,2024,198
1.0,8:43,2.0,16.0,CAR 33,0.0,0.0,"Penalty on Bryce Young: Delay of Game, 5 yards (accepted) (no play)",0.18,-0.5,14.0,2024,198
1.0,8:26,2.0,21.0,CAR 28,0.0,0.0,Bryce Young pass complete short left to Xavier Legette for 8 yards (tackle by Cooper DeJean),-0.5,-0.1,14.0,2024,198
1.0,8:00,3.0,13.0,CAR 36,0.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 13 yards (tackle by Darius Slay),-0.1,2.19,14.0,2024,198
1.0,7:00,1.0,10.0,CAR 49,0.0,0.0,Bryce Young pass incomplete deep left intended for David Moore,2.19,1.65,14.0,2024,198
1.0,6:48,2.0,10.0,CAR 49,0.0,0.0,Chuba Hubbard right tackle for 3 yards (tackle by Tristin McCollum and Nakobe Dean),1.65,1.36,14.0,2024,198
1.0,6:06,3.0,7.0,PHI 48,0.0,0.0,Bryce Young sacked by Zack Baun for -7 yards,1.36,-0.39,14.0,2024,198
1.0,5:24,4.0,14.0,CAR 45,0.0,0.0,Johnny Hekker punts 45 yards downed by Lonnie Johnson,-0.39,0.38,14.0,2024,198
1.0,5:12,1.0,10.0,PHI 10,0.0,0.0,Saquon Barkley left tackle for 6 yards (tackle by Trevin Wallace and Josey Jewell),-0.38,-0.23,14.0,2024,198
1.0,4:28,2.0,4.0,PHI 16,0.0,0.0,Jalen Hurts scrambles right end for 2 yards (tackle by Josey Jewell),-0.23,-0.48,14.0,2024,198
1.0,3:48,3.0,2.0,PHI 18,0.0,0.0,Jalen Hurts right tackle for -3 yards (tackle by Josey Jewell),-0.48,-2.44,14.0,2024,198
1.0,3:12,4.0,5.0,PHI 15,0.0,0.0,"Braden Mann punts 47 yards, returned by Deven Thompkins for 15 yards (tackle by Will Shipley and C.J. Uzomah)",-2.44,-2.46,14.0,2024,198
1.0,3:01,1.0,10.0,PHI 47,0.0,0.0,Bryce Young pass complete deep right to Adam Thielen for 24 yards (tackle by Cooper DeJean),2.46,4.04,14.0,2024,198
1.0,2:27,1.0,10.0,PHI 23,0.0,0.0,Jonathon Brooks left end for -3 yards (tackle by Cooper DeJean),4.04,3.09,14.0,2024,198
1.0,1:59,2.0,13.0,PHI 26,0.0,0.0,Bryce Young pass incomplete short right intended for Tommy Tremble,3.09,2.41,14.0,2024,198
1.0,1:54,3.0,13.0,PHI 26,0.0,0.0,Chuba Hubbard left tackle for 6 yards (tackle by Zack Baun and Nolan Smith),2.41,2.12,14.0,2024,198
1.0,1:13,4.0,7.0,PHI 20,3.0,0.0,Eddy Piñeiro 38 yard field goal good,2.12,3.0,14.0,2024,198
1.0,1:09,,,CAR 35,3.0,0.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,198
1.0,1:09,1.0,10.0,PHI 30,3.0,0.0,Saquon Barkley left guard for 7 yards (tackle by LaBryan Ray and A'Shawn Robinson),0.94,1.34,14.0,2024,198
1.0,0:42,2.0,3.0,PHI 37,3.0,0.0,Saquon Barkley right end for 12 yards (tackle by Jordan Fuller),1.34,2.19,14.0,2024,198
1.0,0:06,1.0,10.0,PHI 49,3.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Demani Richardson),2.19,2.05,14.0,2024,198
2.0,15:00,2.0,7.0,CAR 48,3.0,0.0,Saquon Barkley left guard for 11 yards (tackle by Trevin Wallace),2.05,3.12,14.0,2024,198
2.0,14:35,1.0,10.0,CAR 37,3.0,0.0,"Jalen Hurts pass complete short left to Grant Calcaterra for no gain (tackle by Xavier Woods and Trevin Wallace). Penalty on Mekhi Becton: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.12,2.79,14.0,2024,198
2.0,14:08,1.0,15.0,CAR 42,3.0,0.0,Jalen Hurts pass complete short left to Grant Calcaterra for 7 yards (tackle by Jaycee Horn),2.79,2.84,14.0,2024,198
2.0,13:31,2.0,8.0,CAR 35,3.0,0.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Shy Tuttle),2.84,2.15,14.0,2024,198
2.0,13:26,3.0,8.0,CAR 35,3.0,0.0,Jalen Hurts pass complete deep left to DeVonta Smith for 27 yards (tackle by Xavier Woods),2.15,5.37,14.0,2024,198
2.0,12:55,1.0,8.0,CAR 8,3.0,0.0,Saquon Barkley right guard for 7 yards (tackle by Trevin Wallace and Amare Barno),5.37,5.91,14.0,2024,198
2.0,12:25,2.0,1.0,CAR 1,3.0,0.0,Saquon Barkley up the middle for no gain (tackle by Josey Jewell),5.91,5.17,14.0,2024,198
2.0,11:52,3.0,1.0,CAR 1,3.0,6.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.17,7.0,14.0,2024,198
2.0,11:48,,,CAR 15,3.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,14.0,2024,198
2.0,11:48,,,PHI 35,3.0,7.0,"Braden Mann kicks off 63 yards, returned by Deven Thompkins for 29 yards (tackle by Jalyx Hunt and Andre' Sam)",0.0,1.0,14.0,2024,198
2.0,11:41,1.0,10.0,CAR 31,3.0,7.0,Chuba Hubbard up the middle for 8 yards (tackle by Jalen Carter),1.0,1.54,14.0,2024,198
2.0,11:10,2.0,2.0,CAR 39,3.0,7.0,Chuba Hubbard right guard for 4 yards (tackle by Nakobe Dean),1.54,1.8,14.0,2024,198
2.0,10:33,1.0,10.0,CAR 43,3.0,7.0,Bryce Young pass incomplete deep right intended for David Moore (defended by Tristin McCollum),1.8,1.25,14.0,2024,198
2.0,10:25,2.0,10.0,CAR 43,3.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Zack Baun and Milton Williams),1.25,0.83,14.0,2024,198
2.0,9:41,3.0,8.0,CAR 45,3.0,7.0,Bryce Young pass complete short middle to Adam Thielen for 11 yards (tackle by Tristin McCollum),0.83,2.65,14.0,2024,198
2.0,9:00,1.0,10.0,PHI 44,3.0,7.0,Chuba Hubbard left guard for 4 yards (tackle by Josh Sweat),2.65,2.65,14.0,2024,198
2.0,8:19,2.0,6.0,PHI 40,3.0,7.0,Bryce Young scrambles right end for 7 yards (tackle by C.J. Gardner-Johnson),2.65,3.38,14.0,2024,198
2.0,7:39,1.0,10.0,PHI 33,3.0,7.0,Chuba Hubbard left tackle for 4 yards (tackle by Zack Baun),3.38,3.38,14.0,2024,198
2.0,7:03,2.0,6.0,PHI 29,3.0,7.0,Chuba Hubbard right tackle for 4 yards (tackle by Moro Ojomo and Zack Baun),3.38,3.2,14.0,2024,198
2.0,6:25,,,,,,Timeout #1 by Carolina Panthers,,,14.0,2024,198
2.0,6:25,3.0,2.0,PHI 25,3.0,7.0,Bryce Young pass complete short left to David Moore for 19 yards (tackle by Darius Slay),3.2,5.83,14.0,2024,198
2.0,5:56,1.0,6.0,PHI 6,3.0,7.0,Chuba Hubbard left tackle for -3 yards (tackle by Zack Baun),5.83,4.38,14.0,2024,198
2.0,5:15,2.0,9.0,PHI 9,3.0,7.0,Chuba Hubbard right guard for 8 yards (tackle by Jalyx Hunt),4.38,5.17,14.0,2024,198
2.0,4:51,3.0,1.0,PHI 1,3.0,7.0,Chuba Hubbard up the middle for -2 yards (tackle by Jalen Carter),5.17,3.04,14.0,2024,198
