Quarter,Time,Tm,Detail,LAC,KAN,week,year,game_id
1.0,10:05,Chiefs,Matthew Wright 47 yard field goal,0,3,14.0,2024,207
2.0,7:47,Chiefs,Matthew Wright 33 yard field goal,0,6,14.0,2024,207
,0:47,Chiefs,DeAndre Hopkins 9 yard pass from Patrick Mahomes (Matthew Wright kick),0,13,14.0,2024,207
3.0,7:12,Chargers,Gus Edwards 3 yard rush (Cameron Dicker kick),7,13,14.0,2024,207
,3:30,Chargers,Quentin Johnston 4 yard pass from Justin Herbert (Cameron Dicker kick),14,13,14.0,2024,207
4.0,13:04,Chiefs,Matthew Wright 50 yard field goal,14,16,14.0,2024,207
,4:35,Chargers,Cameron Dicker 37 yard field goal,17,16,14.0,2024,207
,0:00,Chiefs,Matthew Wright 31 yard field goal,17,19,14.0,2024,207
