Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Geno Smith,SEA,0,0,0,0,0,14.0,2024,204
Zach Charbonnet,SEA,7,7,59,0,20,14.0,2024,204
Kenny McIntosh,SEA,2,2,7,0,5,14.0,2024,204
Jaxon Smith-Njigba,SEA,5,5,82,1,24,14.0,2024,204
D.K. Metcalf,SEA,6,4,49,0,18,14.0,2024,204
Noah Fant,SEA,4,3,18,0,7,14.0,2024,204
AJ Barner,SEA,1,1,13,0,13,14.0,2024,204
Pharaoh Brown,SEA,2,1,6,0,6,14.0,2024,204
Tyler Lockett,SEA,1,0,0,0,0,14.0,2024,204
George Holani,SEA,1,1,-1,0,-1,14.0,2024,204
Kyler Murray,ARI,0,0,0,0,0,14.0,2024,204
James Conner,ARI,4,4,32,1,11,14.0,2024,204
Trey Benson,ARI,1,1,4,0,4,14.0,2024,204
Trey McBride,ARI,14,7,70,0,14,14.0,2024,204
Michael Wilson,ARI,3,2,57,1,41,14.0,2024,204
Marvin Harrison Jr.,ARI,8,4,49,0,15,14.0,2024,204
Emari Demercado,ARI,4,4,15,0,7,14.0,2024,204
Tip Reiman,ARI,1,1,14,0,14,14.0,2024,204
Zay Jones,ARI,2,1,13,0,13,14.0,2024,204
Greg Dortch,ARI,1,1,5,0,5,14.0,2024,204
