Unnamed: 0,ATL,MIN,week,year,game_id
First Downs,25,23,14.0,2024,197
Rush-Yds-TDs,32-158-2,24-115-1,14.0,2024,197
Cmp-Att-Yd-TD-INT,23-37-344-0-2,22-28-347-5-0,14.0,2024,197
Sacked-Yards,1-6,4-29,14.0,2024,197
Net Pass Yards,338,318,14.0,2024,197
Total Yards,496,433,14.0,2024,197
Fumbles-Lost,1-1,0-0,14.0,2024,197
Turnovers,3,0,14.0,2024,197
Penalties-Yards,12-127,6-35,14.0,2024,197
Third Down Conv.,7-13,8-12,14.0,2024,197
Fourth Down Conv.,1-3,0-0,14.0,2024,197
Time of Possession,31:35,28:25,14.0,2024,197
