Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Rams to receive the opening kickoff.",,,14.0,2024,205
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,205
1.0,15:00,1.0,10.0,LAR 30,0.0,0.0,Kyren Williams left tackle for -3 yards (tackle by DaQuan Jones),0.94,-0.01,14.0,2024,205
1.0,14:25,2.0,13.0,LAR 27,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 12 yards (tackle by Taylor Rapp),-0.01,0.89,14.0,2024,205
1.0,13:44,3.0,1.0,LAR 39,0.0,0.0,Kyren Williams right tackle for 3 yards (tackle by Matt Milano and Taylor Rapp),0.89,1.73,14.0,2024,205
1.0,13:06,1.0,10.0,LAR 42,0.0,0.0,Kyren Williams left tackle for 1 yard (tackle by Austin Johnson),1.73,1.32,14.0,2024,205
1.0,12:26,2.0,9.0,LAR 43,0.0,0.0,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson (defended by Christian Benford),1.32,0.63,14.0,2024,205
1.0,12:20,3.0,9.0,LAR 43,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 17 yards (tackle by Taylor Rapp and Damar Hamlin),0.63,2.92,14.0,2024,205
1.0,11:37,1.0,10.0,BUF 40,0.0,0.0,Kyren Williams right guard for 7 yards (tackle by Taron Johnson),2.92,3.32,14.0,2024,205
1.0,10:58,2.0,3.0,BUF 33,0.0,0.0,Kyren Williams left guard for 12 yards (tackle by Christian Benford and Damar Hamlin),3.32,4.17,14.0,2024,205
1.0,10:20,1.0,10.0,BUF 21,0.0,0.0,Kyren Williams up the middle for 4 yards (tackle by Damar Hamlin),4.17,4.2,14.0,2024,205
1.0,9:47,2.0,6.0,BUF 17,0.0,0.0,Puka Nacua left end for 5 yards (tackle by Damar Hamlin and Rasul Douglas),4.2,4.49,14.0,2024,205
1.0,9:10,3.0,1.0,BUF 12,0.0,0.0,Puka Nacua left end for 9 yards (tackle by Taylor Rapp),4.49,6.51,14.0,2024,205
1.0,8:29,1.0,3.0,BUF 3,0.0,6.0,"Kyren Williams left tackle for 3 yards, touchdown",6.51,7.0,14.0,2024,205
1.0,8:26,,,BUF 15,0.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,14.0,2024,205
1.0,8:26,,,LAR 35,0.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,205
1.0,8:26,1.0,10.0,BUF 30,0.0,7.0,James Cook left tackle for 1 yard (tackle by Kobie Turner),0.94,0.53,14.0,2024,205
1.0,7:52,2.0,9.0,BUF 31,0.0,7.0,Josh Allen pass incomplete short right intended for Amari Cooper,0.53,-0.16,14.0,2024,205
1.0,7:35,3.0,9.0,BUF 31,0.0,7.0,"Josh Allen pass incomplete deep right. Penalty on Byron Young: Roughing the Passer, 15 yards (accepted) (no play)",-0.16,1.99,14.0,2024,205
1.0,7:35,1.0,10.0,BUF 46,0.0,7.0,James Cook right tackle for 2 yards (tackle by Christian Rozeboom and Omar Speights),1.99,1.72,14.0,2024,205
1.0,6:54,2.0,8.0,BUF 48,0.0,7.0,Josh Allen pass complete short middle to Khalil Shakir for 16 yards (tackle by Kamren Curl),1.72,3.18,14.0,2024,205
1.0,6:14,1.0,10.0,LAR 36,0.0,7.0,Josh Allen pass complete short right to Mack Hollins for 16 yards (tackle by Kamren Kinchens),3.18,4.24,14.0,2024,205
1.0,5:29,1.0,10.0,LAR 20,0.0,7.0,Josh Allen pass complete short left to Ty Johnson for 14 yards (tackle by Christian Rozeboom),4.24,5.83,14.0,2024,205
