Unnamed: 0,CLE,PIT,week,year,game_id
First Downs,20,15,14.0,2024,199
Rush-Yds-TDs,25-104-0,35-120-1,14.0,2024,199
Cmp-Att-Yd-TD-INT,24-41-212-2-2,15-26-158-2-0,14.0,2024,199
Sacked-Yards,3-16,1-11,14.0,2024,199
Net Pass Yards,196,147,14.0,2024,199
Total Yards,300,267,14.0,2024,199
Fumbles-Lost,2-1,1-1,14.0,2024,199
Turnovers,3,1,14.0,2024,199
Penalties-Yards,9-81,6-61,14.0,2024,199
Third Down Conv.,2-13,6-14,14.0,2024,199
Fourth Down Conv.,3-4,0-0,14.0,2024,199
Time of Possession,30:00,30:00,14.0,2024,199
