Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, 49ers to receive the opening kickoff.",,,14.0,2024,206
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,206
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Brock Purdy pass complete short right to Jauan Jennings for 7 yards (tackle by Kevin Byard),0.94,1.34,14.0,2024,206
1.0,14:30,2.0,3.0,SFO 37,0.0,0.0,Isaac Guerendo left tackle for no gain (tackle by Gervon Dexter),1.34,0.63,14.0,2024,206
1.0,13:54,3.0,3.0,SFO 37,0.0,0.0,Brock Purdy pass complete short middle to Isaac Guerendo for 23 yards (tackle by Kevin Byard),0.63,2.92,14.0,2024,206
1.0,13:16,1.0,10.0,CHI 40,0.0,0.0,Brock Purdy pass complete short middle to George Kittle for 33 yards (tackle by Tremaine Edmunds and Zacch Pickens),2.92,5.6,14.0,2024,206
1.0,12:25,,,,,,Timeout #1 by San Francisco 49ers,,,14.0,2024,206
1.0,12:25,1.0,7.0,CHI 7,0.0,6.0,"Brock Purdy pass complete short left to Jauan Jennings for 7 yards, touchdown",5.6,7.0,14.0,2024,206
1.0,12:20,,,CHI 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,14.0,2024,206
1.0,12:20,,,SFO 35,0.0,7.0,"Jake Moody kicks off 67 yards, returned by DeAndre Carter for 25 yards (tackle by Dee Winters)",0.0,0.48,14.0,2024,206
1.0,12:15,1.0,10.0,CHI 23,0.0,7.0,D'Andre Swift up the middle for 3 yards (tackle by Sam Okuayinonu and Talanoa Hufanga),0.48,0.34,14.0,2024,206
1.0,11:39,2.0,7.0,CHI 26,0.0,7.0,D'Andre Swift right end for no gain (tackle by Dee Winters),0.34,-0.36,14.0,2024,206
1.0,10:58,3.0,7.0,CHI 26,0.0,7.0,Caleb Williams pass complete short left to Travis Homer for 3 yards (tackle by Deommodore Lenoir),-0.36,-1.44,14.0,2024,206
1.0,10:18,4.0,4.0,CHI 29,0.0,7.0,Tory Taylor punts 58 yards downed by Josh Blackwell,-1.44,0.32,14.0,2024,206
1.0,10:08,1.0,10.0,SFO 13,0.0,7.0,Brock Purdy pass complete deep left to Deebo Samuel for 20 yards (tackle by Jaylon Johnson),-0.32,1.14,14.0,2024,206
