Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Saints to receive the opening kickoff.",,,14.0,2024,202
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, returned by Jamaal Williams for 16 yards (tackle by Bryce Ford-Wheaton)",0.0,-0.14,14.0,2024,202
1.0,14:55,1.0,10.0,NOR 16,0.0,0.0,Alvin Kamara right tackle for -1 yards (tackle by Elijah Chatman),-0.14,-0.78,14.0,2024,202
1.0,14:21,2.0,11.0,NOR 15,0.0,0.0,Derek Carr pass complete short left to Marquez Valdes-Scantling for 6 yards (tackle by Adoree' Jackson),-0.78,-0.7,14.0,2024,202
1.0,13:47,3.0,5.0,NOR 21,0.0,0.0,Derek Carr pass incomplete short left intended for Dante Pettis (defended by Tre Hawkins),-0.7,-1.96,14.0,2024,202
1.0,13:43,4.0,5.0,NOR 21,0.0,0.0,"Matthew Hayball punts 35 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by Jamaal Williams)",-1.96,-2.39,14.0,2024,202
1.0,13:32,1.0,10.0,NOR 48,0.0,0.0,Drew Lock pass incomplete short right intended for Tyrone Tracy,2.39,1.85,14.0,2024,202
1.0,13:28,2.0,10.0,NOR 48,0.0,0.0,Drew Lock pass incomplete deep left intended for Darius Slayton (defended by Kool-Aid McKinstry),1.85,1.16,14.0,2024,202
1.0,13:22,3.0,10.0,NOR 48,0.0,0.0,"Drew Lock pass complete short right to Wan'Dale Robinson for no gain (tackle by Ugo Amadi). Penalty on Joshua Ezeudu: Illegal Formation, 5 yards (accepted) (no play)",1.16,0.5,14.0,2024,202
1.0,12:54,3.0,15.0,NYG 47,0.0,0.0,Drew Lock scrambles left end for 15 yards (tackle by Demario Davis),0.5,3.05,14.0,2024,202
1.0,12:27,1.0,10.0,NOR 38,0.0,0.0,Tyrone Tracy left end for 2 yards (tackle by Demario Davis),3.05,2.78,14.0,2024,202
1.0,11:55,2.0,8.0,NOR 36,0.0,0.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,2.78,2.08,14.0,2024,202
1.0,11:52,3.0,8.0,NOR 36,0.0,0.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson (defended by Bryan Bresee),2.08,0.88,14.0,2024,202
1.0,11:44,4.0,8.0,NOR 36,0.0,0.0,"Drew Lock pass incomplete short right. Penalty on Devin Singletary: Offensive Holding, 10 yards (declined) . Penalty on Drew Lock: Intentional Grounding, 15 yards (accepted)",0.88,-2.32,14.0,2024,202
1.0,11:36,1.0,10.0,NYG 49,0.0,0.0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Darius Muasau),2.32,2.73,14.0,2024,202
1.0,11:07,2.0,3.0,NYG 42,0.0,0.0,Alvin Kamara right guard for -2 yards (tackle by Kayvon Thibodeaux and Elijah Garcia),2.73,1.75,14.0,2024,202
1.0,10:25,3.0,5.0,NYG 44,0.0,0.0,Alvin Kamara right guard for 9 yards (tackle by Tyler Nubin and Isaiah Simmons),1.75,3.25,14.0,2024,202
1.0,9:50,1.0,10.0,NYG 35,0.0,0.0,Alvin Kamara right end for -2 yards (tackle by Micah McFadden),3.25,2.43,14.0,2024,202
1.0,9:17,2.0,12.0,NYG 37,0.0,0.0,Kendre Miller right end for -3 yards (tackle by Adoree' Jackson and Micah McFadden),2.43,1.35,14.0,2024,202
1.0,8:35,3.0,15.0,NYG 40,0.0,0.0,Derek Carr pass complete short middle to Jamaal Williams for 5 yards (tackle by Isaiah Simmons),1.35,0.97,14.0,2024,202
