Unnamed: 0,GNB,DET,week,year,game_id
First Downs,17,27,14.0,2024,196
Rush-Yds-TDs,24-99-3,34-111-1,14.0,2024,196
Cmp-Att-Yd-TD-INT,12-20-206-1-0,32-41-283-3-1,14.0,2024,196
Sacked-Yards,1-7,1-3,14.0,2024,196
Net Pass Yards,199,280,14.0,2024,196
Total Yards,298,391,14.0,2024,196
Fumbles-Lost,1-1,0-0,14.0,2024,196
Turnovers,1,1,14.0,2024,196
Penalties-Yards,7-59,7-56,14.0,2024,196
Third Down Conv.,1-5,7-15,14.0,2024,196
Fourth Down Conv.,0-0,4-5,14.0,2024,196
Time of Possession,23:54,36:06,14.0,2024,196
