Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Bengals to receive the opening kickoff.",,,14.0,2024,208
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
1.0,15:00,1.0,10.0,CIN 30,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Trevon Diggs),0.94,0.8,14.0,2024,208
1.0,14:25,2.0,7.0,CIN 33,0.0,0.0,Joe Burrow pass complete short middle to Drew Sample for 1 yard (tackle by DeMarvion Overshown),0.8,0.23,14.0,2024,208
1.0,13:40,3.0,6.0,CIN 34,0.0,0.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Trevon Diggs),0.23,-1.11,14.0,2024,208
1.0,13:35,4.0,6.0,CIN 34,0.0,0.0,"Ryan Rehkow punts 46 yards, returned by KaVontae Turpin for 20 yards (tackle by Tanner Hudson)",-1.11,-1.6,14.0,2024,208
1.0,13:24,1.0,10.0,DAL 40,0.0,0.0,Rico Dowdle left tackle for 2 yards (tackle by Germaine Pratt and McKinnley Jackson),1.6,1.32,14.0,2024,208
1.0,12:54,2.0,8.0,DAL 42,0.0,0.0,Rico Dowdle up the middle for 7 yards (tackle by Geno Stone and Jordan Battle),1.32,1.55,14.0,2024,208
1.0,12:15,3.0,1.0,DAL 49,0.0,0.0,Cooper Rush pass complete short right to Luke Schoonmaker for 14 yards (tackle by Jordan Battle),1.55,3.12,14.0,2024,208
1.0,11:34,1.0,10.0,CIN 37,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 4 yards,3.12,3.11,14.0,2024,208
1.0,11:04,2.0,6.0,CIN 33,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 13 yards (tackle by Marco Wilson),3.11,4.24,14.0,2024,208
1.0,10:25,1.0,10.0,CIN 20,0.0,0.0,Cooper Rush pass incomplete short right intended for Rico Dowdle,4.24,3.69,14.0,2024,208
1.0,10:19,2.0,10.0,CIN 20,0.0,0.0,Rico Dowdle left guard for 8 yards (tackle by Germaine Pratt and McKinnley Jackson),3.69,4.34,14.0,2024,208
1.0,9:43,3.0,2.0,CIN 12,0.0,0.0,Rico Dowdle up the middle for 1 yard (tackle by DJ Ivey),4.34,2.85,14.0,2024,208
1.0,8:59,4.0,1.0,CIN 11,0.0,6.0,"Cooper Rush pass complete short right to CeeDee Lamb for 11 yards, touchdown",2.85,7.0,14.0,2024,208
1.0,8:55,,,CIN 15,0.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,14.0,2024,208
1.0,8:55,,,DAL 35,0.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
1.0,8:55,1.0,10.0,CIN 30,0.0,7.0,Chase Brown up the middle for 3 yards (tackle by Donovan Wilson and Osa Odighizuwa),0.94,0.8,14.0,2024,208
1.0,8:11,2.0,7.0,CIN 33,0.0,7.0,"Penalty on Micah Parsons: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.8,1.47,14.0,2024,208
1.0,7:54,2.0,2.0,CIN 38,0.0,7.0,Joe Burrow pass complete short right to Chase Brown for 13 yards (tackle by DeMarvion Overshown),1.47,2.32,14.0,2024,208
1.0,7:13,1.0,10.0,DAL 49,0.0,7.0,Ja'Marr Chase left end for 14 yards (tackle by Donovan Wilson),2.32,3.25,14.0,2024,208
1.0,6:38,1.0,10.0,DAL 35,0.0,7.0,"Joe Burrow pass complete short right to Chase Brown for no gain (tackle by Osa Odighizuwa). Penalty on Amarius Mims: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,14.0,2024,208
1.0,6:09,1.0,20.0,DAL 45,0.0,7.0,Chase Brown right guard for 4 yards (tackle by Eric Kendricks),2.59,1.89,14.0,2024,208
1.0,5:49,2.0,16.0,DAL 41,0.0,7.0,"Joe Burrow pass incomplete short middle. Penalty on Mazi Smith: Defensive Too Many Men on Field, 5 yards (offset) . Penalty on Joe Burrow: Intentional Grounding, 10 yards (offset) (no play)",1.89,1.89,14.0,2024,208
1.0,5:45,2.0,16.0,DAL 41,0.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards (tackle by Trevon Diggs),1.89,3.07,14.0,2024,208
1.0,5:12,3.0,2.0,DAL 27,0.0,7.0,Joe Burrow pass complete short left to Chase Brown for 8 yards (tackle by DeMarvion Overshown and Eric Kendricks),3.07,4.31,14.0,2024,208
1.0,4:33,1.0,10.0,DAL 19,0.0,7.0,Joe Burrow pass incomplete deep right intended for Chase Brown (defended by DaRon Bland),4.31,3.75,14.0,2024,208
1.0,4:25,2.0,10.0,DAL 19,0.0,7.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.75,3.03,14.0,2024,208
1.0,4:21,3.0,10.0,DAL 19,0.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by Malik Hooker and DaRon Bland),3.03,5.83,14.0,2024,208
1.0,3:34,1.0,6.0,DAL 6,0.0,7.0,Chase Brown right guard for 1 yard (tackle by Chauncey Golston),5.83,5.15,14.0,2024,208
1.0,2:51,2.0,5.0,DAL 5,6.0,7.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards, touchdown",5.15,7.0,14.0,2024,208
1.0,2:45,,,DAL 15,6.0,7.0,"Penalty on Ryan Rehkow: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,14.0,2024,208
1.0,2:45,,,DAL 20,7.0,7.0,Cade York kicks extra point good,0.0,0.0,14.0,2024,208
1.0,2:45,,,CIN 35,7.0,7.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
1.0,2:45,1.0,10.0,DAL 30,7.0,7.0,Rico Dowdle left tackle for 3 yards (tackle by Germaine Pratt and Kris Jenkins),0.94,0.8,14.0,2024,208
1.0,2:02,2.0,7.0,DAL 33,7.0,7.0,Cooper Rush pass complete short right to CeeDee Lamb for 43 yards (tackle by Mike Hilton and Akeem Davis-Gaither),0.8,3.97,14.0,2024,208
1.0,1:09,1.0,10.0,CIN 24,7.0,7.0,Cooper Rush pass incomplete deep left intended for Ryan Flournoy,3.97,3.43,14.0,2024,208
1.0,1:04,2.0,10.0,CIN 24,7.0,7.0,Rico Dowdle up the middle for 12 yards (tackle by Akeem Davis-Gaither),3.43,4.78,14.0,2024,208
1.0,0:41,1.0,10.0,CIN 12,7.0,7.0,Rico Dowdle left tackle for no gain (tackle by Joseph Ossai and Sam Hubbard),4.78,4.1,14.0,2024,208
2.0,15:00,2.0,10.0,CIN 12,7.0,7.0,"Cooper Rush pass short left (defended by Cam Taylor-Britt) intended for CeeDee Lamb is intercepted by Geno Stone at CIN-4 and returned for no gain (tackle by CeeDee Lamb) Penalty on DAL: Illegal Formation, 5 yards (declined)",4.1,0.38,14.0,2024,208
2.0,14:56,1.0,10.0,CIN 4,7.0,7.0,Khalil Herbert left tackle for 4 yards (tackle by Malik Hooker and DeMarvion Overshown),-0.38,-0.49,14.0,2024,208
2.0,14:14,2.0,6.0,CIN 8,7.0,7.0,Joe Burrow pass complete short middle to Drew Sample for 12 yards (tackle by Donovan Wilson and Jourdan Lewis),-0.49,0.28,14.0,2024,208
2.0,13:31,1.0,10.0,CIN 20,7.0,7.0,Chase Brown left tackle for 5 yards (tackle by Marshawn Kneeland and Eric Kendricks),0.28,0.41,14.0,2024,208
2.0,12:49,2.0,5.0,CIN 25,7.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 24 yards (tackle by Eric Kendricks),0.41,2.19,14.0,2024,208
2.0,12:05,1.0,10.0,CIN 49,7.0,7.0,Joe Burrow pass complete short left to Khalil Herbert for 7 yards (tackle by Marshawn Kneeland),2.19,2.59,14.0,2024,208
2.0,11:28,2.0,3.0,DAL 44,7.0,7.0,Khalil Herbert left tackle for no gain (tackle by Eric Kendricks),2.59,1.88,14.0,2024,208
2.0,10:37,3.0,3.0,DAL 44,7.0,7.0,"Joe Burrow pass incomplete short left intended for Andrei Iosivas. Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted) (no play)",1.88,0.56,14.0,2024,208
2.0,10:37,3.0,13.0,CIN 46,7.0,7.0,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Trevon Diggs),0.56,0.33,14.0,2024,208
2.0,9:59,4.0,3.0,DAL 44,7.0,7.0,Joe Burrow pass incomplete short right intended for Chase Brown (defended by DeMarvion Overshown),0.33,-1.86,14.0,2024,208
2.0,9:51,1.0,10.0,DAL 44,7.0,7.0,Rico Dowdle right end for 5 yards (tackle by Germaine Pratt),1.86,1.99,14.0,2024,208
