Unnamed: 0,CAR,PHI,week,year,game_id
First Downs,20,18,14.0,2024,198
Rush-Yds-TDs,34-118-1,31-209-1,14.0,2024,198
Cmp-Att-Yd-TD-INT,19-34-191-1-1,14-21-108-2-0,14.0,2024,198
Sacked-Yards,1-7,4-25,14.0,2024,198
Net Pass Yards,184,83,14.0,2024,198
Total Yards,302,292,14.0,2024,198
Fumbles-Lost,0-0,1-0,14.0,2024,198
Turnovers,1,0,14.0,2024,198
Penalties-Yards,7-43,7-40,14.0,2024,198
Third Down Conv.,7-16,7-12,14.0,2024,198
Fourth Down Conv.,3-5,0-0,14.0,2024,198
Time of Possession,33:33,26:27,14.0,2024,198
