Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Alvin Kamara,NOR,5,5,35,0,2.0,6,1.2,29,5.8,1.2,0,,0,0.0,0,95.8,14.0,2024,202
Juwan Johnson,NOR,5,4,50,1,3.0,34,8.5,16,4.0,8.4,1,4.0,0,0.0,0,147.9,14.0,2024,202
Marquez Valdes-Scantling,NOR,7,4,51,0,2.0,41,10.3,10,2.5,18.0,0,,0,0.0,0,80.1,14.0,2024,202
Foster Moreau,NOR,2,2,40,0,1.0,20,10.0,20,10.0,10.0,0,,0,0.0,0,118.7,14.0,2024,202
Jamaal Williams,NOR,2,2,10,0,0.0,3,1.5,7,3.5,1.5,0,,0,0.0,0,87.5,14.0,2024,202
Kevin Austin,NOR,5,1,5,0,,3,3.0,2,2.0,16.8,0,,1,20.0,1,0.0,14.0,2024,202
Dallin Holker,NOR,1,1,10,0,1.0,-1,-1.0,11,11.0,-1.0,0,,0,0.0,0,108.3,14.0,2024,202
Cedrick Wilson Jr.,NOR,1,1,18,0,1.0,18,18.0,0,0.0,18.0,0,,0,0.0,0,118.7,14.0,2024,202
Kendre Miller,NOR,1,0,0,0,0.0,0,,0,,2.0,0,,0,0.0,0,39.6,14.0,2024,202
Dante Pettis,NOR,2,0,0,0,,0,,0,,8.0,0,,1,50.0,0,39.6,14.0,2024,202
Daniel Bellinger,NYG,7,5,45,0,3.0,25,5.0,20,4.0,5.7,0,,0,0.0,0,88.4,14.0,2024,202
Malik Nabers,NYG,10,5,79,0,3.0,58,11.6,21,4.2,12.9,1,5.0,0,0.0,0,76.7,14.0,2024,202
Tyrone Tracy Jr.,NYG,10,5,38,0,2.0,15,3.0,23,4.6,2.8,1,5.0,2,20.0,0,59.6,14.0,2024,202
Wan'Dale Robinson,NYG,11,4,38,0,2.0,22,5.5,16,4.0,8.6,0,,1,9.1,0,46.8,14.0,2024,202
Darius Slayton,NYG,6,2,27,0,2.0,27,13.5,0,0.0,14.0,0,,0,0.0,1,9.0,14.0,2024,202
Jalin Hyatt,NYG,2,0,0,0,,0,,0,,16.5,0,,0,0.0,0,39.6,14.0,2024,202
