Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,14.0,2024,204
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,204
1.0,15:00,1.0,10.0,ARI 30,0.0,0.0,Kyler Murray pass complete short left to James Conner for 11 yards (tackle by Ernest Jones),0.94,1.66,14.0,2024,204
1.0,14:26,1.0,10.0,ARI 41,0.0,0.0,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Tyrice Knight),1.66,1.12,14.0,2024,204
1.0,14:21,2.0,10.0,ARI 41,0.0,0.0,James Conner up the middle for 1 yard (tackle by Jarran Reed and Byron Murphy),1.12,0.56,14.0,2024,204
1.0,13:45,3.0,9.0,ARI 42,0.0,0.0,Kyler Murray pass complete short left to Zay Jones for 13 yards (tackle by Julian Love),0.56,2.59,14.0,2024,204
1.0,13:08,1.0,10.0,SEA 45,0.0,0.0,James Conner up the middle for no gain (tackle by Uchenna Nwosu and Ernest Jones) (no play),2.59,3.32,14.0,2024,204
1.0,12:47,1.0,5.0,SEA 40,0.0,0.0,James Conner up the middle for -1 yards (tackle by Tyrice Knight and Leonard Williams),3.32,2.58,14.0,2024,204
1.0,12:02,2.0,6.0,SEA 41,0.0,6.0,"Kyler Murray pass complete deep right to Michael Wilson for 41 yards, touchdown",2.58,7.0,14.0,2024,204
1.0,11:53,,,SEA 15,0.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,14.0,2024,204
1.0,11:53,,,ARI 35,0.0,7.0,"Chad Ryland kicks off 65 yards, returned by Jaelon Darden for 27 yards (tackle by DeeJay Dallas)",0.0,0.74,14.0,2024,204
1.0,11:48,1.0,10.0,SEA 27,0.0,7.0,Geno Smith pass complete short left to Zach Charbonnet for 7 yards (tackle by Kyzir White),0.74,1.14,14.0,2024,204
