Unnamed: 0,NOR,NYG,week,year,game_id
First Downs,18,16,14.0,2024,202
Rush-Yds-TDs,33-92-1,23-112-1,14.0,2024,202
Cmp-Att-Yd-TD-INT,20-31-219-1-1,21-49-227-0-1,14.0,2024,202
Sacked-Yards,2-19,2-14,14.0,2024,202
Net Pass Yards,200,213,14.0,2024,202
Total Yards,292,325,14.0,2024,202
Fumbles-Lost,2-0,0-0,14.0,2024,202
Turnovers,1,1,14.0,2024,202
Penalties-Yards,6-40,12-112,14.0,2024,202
Third Down Conv.,5-15,5-19,14.0,2024,202
Fourth Down Conv.,0-1,2-4,14.0,2024,202
Time of Possession,31:49,28:11,14.0,2024,202
