Quarter,Time,Tm,Detail,LVR,TAM,week,year,game_id
1.0,8:07,Buccaneers,Jalen McMillan 15 yard pass from Baker Mayfield (Chase McLaughlin kick),0,7,14.0,2024,203
,3:52,Buccaneers,Rachaad White 5 yard pass from Baker Mayfield (Chase McLaughlin kick),0,14,14.0,2024,203
2.0,9:21,Raiders,Aidan O'Connell 1 yard rush (Daniel Carlson kick),7,14,14.0,2024,203
,4:28,Raiders,Daniel Carlson 25 yard field goal,10,14,14.0,2024,203
4.0,8:47,Buccaneers,Rachaad White 3 yard rush (Chase McLaughlin kick),10,21,14.0,2024,203
,3:05,Raiders,Daniel Carlson 27 yard field goal,13,21,14.0,2024,203
,1:56,Buccaneers,Jalen McMillan 29 yard pass from Baker Mayfield (Chase McLaughlin kick),13,28,14.0,2024,203
