Quarter,Time,Tm,Detail,JAX,TEN,week,year,game_id
1.0,8:32,Titans,Nick Folk 46 yard field goal,0,3,14.0,2024,200
3.0,4:30,Titans,Nick Folk 39 yard field goal,0,6,14.0,2024,200
4.0,12:09,Jaguars,Cam Little 23 yard field goal,3,6,14.0,2024,200
,6:46,Jaguars,Tank Bigsby 8 yard rush (Cam Little kick),10,6,14.0,2024,200
