Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,14.0,2024,207
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 61 yards, returned by Samaje Perine for 33 yards (tackle by Marcus Maye)",0.0,1.4,14.0,2024,207
1.0,14:55,1.0,10.0,KAN 37,0.0,0.0,Isiah Pacheco up the middle for 3 yards (tackle by Otito Ogbonnia),1.4,1.26,14.0,2024,207
1.0,14:27,2.0,7.0,KAN 40,0.0,0.0,Isiah Pacheco up the middle for 6 yards (tackle by Daiyan Henley and Otito Ogbonnia),1.26,1.36,14.0,2024,207
1.0,13:57,3.0,1.0,KAN 46,0.0,0.0,Isiah Pacheco up the middle for 2 yards (tackle by Troy Dye),1.36,2.13,14.0,2024,207
1.0,13:22,1.0,10.0,KAN 48,0.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 12 yards (tackle by Tarheeb Still),2.13,2.92,14.0,2024,207
1.0,12:45,1.0,10.0,LAC 40,0.0,0.0,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards,2.92,3.32,14.0,2024,207
1.0,12:15,2.0,3.0,LAC 33,0.0,0.0,Isiah Pacheco left guard for 2 yards (tackle by Tuli Tuipulotu),3.32,2.87,14.0,2024,207
1.0,11:39,3.0,1.0,LAC 31,0.0,0.0,Isiah Pacheco up the middle for 4 yards (tackle by Poona Ford and Otito Ogbonnia),2.87,3.78,14.0,2024,207
1.0,11:02,1.0,10.0,LAC 27,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,3.78,3.23,14.0,2024,207
1.0,10:57,2.0,10.0,LAC 27,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Baylor Cupp,3.23,2.54,14.0,2024,207
1.0,10:53,3.0,10.0,LAC 27,0.0,0.0,Patrick Mahomes sacked by and Khalil Mack for -2 yards and Tuli Tuipulotu for -2 yards,2.54,1.5,14.0,2024,207
1.0,10:10,4.0,12.0,LAC 29,0.0,3.0,Matthew Wright 47 yard field goal good,1.5,3.0,14.0,2024,207
1.0,10:05,,,KAN 35,0.0,3.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,207
1.0,10:05,1.0,10.0,LAC 30,0.0,3.0,Gus Edwards left end for -2 yards (tackle by Leo Chenal),0.94,0.12,14.0,2024,207
1.0,9:27,2.0,12.0,LAC 28,0.0,3.0,Justin Herbert sacked by Tershawn Wharton for -4 yards,0.12,-1.09,14.0,2024,207
1.0,8:44,3.0,16.0,LAC 24,0.0,3.0,"Justin Herbert pass complete deep middle to Quentin Johnston for 21 yards (tackle by Trent McDuffie). Penalty on Nick Bolton: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.09,2.92,14.0,2024,207
1.0,8:31,1.0,10.0,KAN 40,0.0,3.0,"Kimani Vidal left end for no gain (tackle by Justin Reid and Chamarri Conner). Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,14.0,2024,207
1.0,8:05,1.0,20.0,KAN 50,0.0,3.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Trent McDuffie),2.26,1.02,14.0,2024,207
1.0,7:59,2.0,20.0,KAN 50,0.0,3.0,"Justin Herbert pass complete short left to Will Dissly for 4 yards (tackle by Leo Chenal). Penalty on Rashawn Slater: Ineligible Downfield Pass, 5 yards (declined)",1.02,0.89,14.0,2024,207
1.0,7:30,3.0,16.0,KAN 46,0.0,3.0,Justin Herbert scrambles right end for 7 yards (tackle by Michael Danna),0.89,0.66,14.0,2024,207
1.0,6:42,4.0,9.0,KAN 39,0.0,3.0,"JK Scott punts 32 yards, returned by Nikko Remigio for 9 yards (tackle by Tucker Fisk)",0.66,0.14,14.0,2024,207
1.0,6:34,1.0,10.0,KAN 16,0.0,3.0,Kareem Hunt right guard for 4 yards (tackle by Otito Ogbonnia),-0.14,0.01,14.0,2024,207
1.0,6:02,2.0,6.0,KAN 20,0.0,3.0,Patrick Mahomes pass complete short left to Kareem Hunt for 13 yards (tackle by Daiyan Henley),0.01,1.14,14.0,2024,207
1.0,5:17,1.0,10.0,KAN 33,0.0,3.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 6 yards (tackle by Kristian Fulton),1.14,1.4,14.0,2024,207
1.0,4:49,2.0,4.0,KAN 39,0.0,3.0,Patrick Mahomes pass incomplete short left,1.4,0.7,14.0,2024,207
1.0,4:42,3.0,4.0,KAN 39,0.0,3.0,Patrick Mahomes pass incomplete short right intended for Samaje Perine,0.7,-0.78,14.0,2024,207
1.0,4:38,4.0,4.0,KAN 39,0.0,3.0,Matt Araiza punts 59 yards downed by Nazeeh Johnson,-0.78,0.38,14.0,2024,207
1.0,4:27,1.0,10.0,LAC 2,0.0,3.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston,-0.38,-0.78,14.0,2024,207
1.0,4:23,2.0,10.0,LAC 2,0.0,3.0,Justin Herbert pass complete short left to DJ Chark for 9 yards (tackle by Joshua Williams and Chamarri Conner),-0.78,-0.37,14.0,2024,207
1.0,3:48,3.0,1.0,LAC 11,0.0,3.0,Justin Herbert up the middle for 2 yards (tackle by George Karlaftis),-0.37,-0.32,14.0,2024,207
1.0,3:09,1.0,10.0,LAC 13,0.0,3.0,Justin Herbert pass complete deep left to Josh Palmer for 38 yards (tackle by Jaden Hicks),-0.32,2.32,14.0,2024,207
1.0,2:23,1.0,10.0,KAN 49,0.0,3.0,Gus Edwards left end for 3 yards (tackle by Mike Pennel and Drue Tranquill),2.32,2.19,14.0,2024,207
1.0,1:41,2.0,7.0,KAN 46,0.0,3.0,Justin Herbert pass complete short right to Quentin Johnston for -3 yards (tackle by Chamarri Conner),2.19,1.09,14.0,2024,207
1.0,0:52,,,,,,Timeout #1 by Los Angeles Chargers,,,14.0,2024,207
1.0,0:52,3.0,10.0,KAN 49,0.0,3.0,Justin Herbert pass complete short left to Jalen Reagor for 4 yards (tackle by Trent McDuffie),1.09,0.27,14.0,2024,207
1.0,0:15,4.0,6.0,KAN 45,0.0,3.0,JK Scott punts 33 yards out of bounds,0.27,0.35,14.0,2024,207
1.0,0:08,1.0,10.0,KAN 12,0.0,3.0,Patrick Mahomes pass complete short right to Xavier Worthy for 6 yards (tackle by Tarheeb Still),-0.35,-0.07,14.0,2024,207
2.0,15:00,2.0,4.0,KAN 18,0.0,3.0,Patrick Mahomes scrambles left end for 9 yards (tackle by Bud Dupree),-0.07,0.74,14.0,2024,207
2.0,14:26,1.0,10.0,KAN 27,0.0,3.0,Isiah Pacheco up the middle for 2 yards (tackle by Troy Dye),0.74,0.47,14.0,2024,207
2.0,13:49,2.0,8.0,KAN 29,0.0,3.0,Patrick Mahomes pass complete short left to Noah Gray for 4 yards (tackle by Elijah Molden),0.47,0.3,14.0,2024,207
2.0,13:13,3.0,4.0,KAN 33,0.0,3.0,Patrick Mahomes sacked by Joey Bosa for no gain,0.3,-1.18,14.0,2024,207
2.0,12:33,4.0,4.0,KAN 33,0.0,3.0,"Matt Araiza punts 50 yards, recovered by Derius Davis at LAC-17",-1.18,0.06,14.0,2024,207
2.0,12:23,1.0,10.0,LAC 17,0.0,3.0,Gus Edwards right tackle for 1 yard (tackle by Leo Chenal and Drue Tranquill),-0.06,-0.42,14.0,2024,207
2.0,11:45,2.0,9.0,LAC 18,0.0,3.0,Justin Herbert pass incomplete deep middle intended for Josh Palmer,-0.42,-1.13,14.0,2024,207
2.0,11:37,3.0,9.0,LAC 18,0.0,3.0,Justin Herbert pass incomplete short left intended for Derius Davis (defended by Trent McDuffie),-1.13,-2.24,14.0,2024,207
2.0,11:32,4.0,9.0,LAC 18,0.0,3.0,"JK Scott punts 58 yards, returned by Nikko Remigio for 21 yards (tackle by Nick Niemann)",-2.24,-1.93,14.0,2024,207
2.0,11:20,1.0,10.0,KAN 45,0.0,3.0,Patrick Mahomes pass complete deep right to JuJu Smith-Schuster for 26 yards (tackle by Cam Hart),1.93,3.64,14.0,2024,207
2.0,10:41,1.0,10.0,LAC 29,0.0,3.0,Patrick Mahomes sacked by Derwin James for -6 yards,3.64,2.29,14.0,2024,207
2.0,10:01,2.0,16.0,LAC 35,0.0,3.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 10 yards (tackle by Daiyan Henley),2.29,2.94,14.0,2024,207
2.0,9:24,3.0,6.0,LAC 25,0.0,3.0,"Patrick Mahomes pass incomplete short middle intended for DeAndre Hopkins. Penalty on Cam Hart: Illegal Contact, 5 yards (declined) . Penalty on Tarheeb Still: Defensive Holding, 5 yards (accepted) (no play)",2.94,4.24,14.0,2024,207
2.0,9:17,1.0,10.0,LAC 20,0.0,3.0,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",4.24,3.91,14.0,2024,207
2.0,9:17,1.0,15.0,LAC 25,0.0,3.0,Patrick Mahomes pass complete short right to Noah Gray for 6 yards (tackle by Cam Hart),3.91,3.82,14.0,2024,207
2.0,8:38,2.0,9.0,LAC 19,0.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Elijah Molden),3.82,3.7,14.0,2024,207
2.0,7:55,3.0,5.0,LAC 15,0.0,3.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,3.7,2.49,14.0,2024,207
2.0,7:51,4.0,5.0,LAC 15,0.0,6.0,Matthew Wright 33 yard field goal good,2.49,3.0,14.0,2024,207
2.0,7:47,,,KAN 35,0.0,6.0,"Justin Reid kicks off 61 yards, returned by Derius Davis for 37 yards (tackle by Bryan Cook)",0.0,1.66,14.0,2024,207
2.0,7:40,1.0,10.0,LAC 41,0.0,6.0,Gus Edwards left guard for 4 yards (tackle by Tershawn Wharton),1.66,1.66,14.0,2024,207
2.0,7:17,2.0,6.0,LAC 45,0.0,6.0,Justin Herbert pass complete short right to Tucker Fisk for no gain (tackle by Joshua Williams),1.66,0.96,14.0,2024,207
2.0,6:32,3.0,6.0,LAC 45,0.0,6.0,Justin Herbert pass incomplete short right intended for Kimani Vidal,0.96,-0.39,14.0,2024,207
2.0,6:27,4.0,6.0,LAC 45,0.0,6.0,"JK Scott punts 46 yards, fair catch by Nikko Remigio at KC-9",-0.39,0.38,14.0,2024,207
2.0,6:20,1.0,10.0,KAN 9,0.0,6.0,"Penalty on Noah Gray: False Start, 4 yards (accepted) (no play)",-0.38,-0.53,14.0,2024,207
2.0,6:20,1.0,14.0,KAN 5,0.0,6.0,Patrick Mahomes pass complete short right to Isiah Pacheco for no gain (tackle by Kristian Fulton),-0.53,-1.07,14.0,2024,207
2.0,5:43,2.0,14.0,KAN 5,0.0,6.0,"Patrick Mahomes pass incomplete short left intended for Xavier Worthy. Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",-1.07,-0.71,14.0,2024,207
2.0,5:39,2.0,9.0,KAN 10,0.0,6.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 7 yards (tackle by Tarheeb Still),-0.71,-0.48,14.0,2024,207
2.0,5:01,3.0,2.0,KAN 17,0.0,6.0,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins,-0.48,-2.32,14.0,2024,207
2.0,4:52,4.0,2.0,KAN 17,0.0,6.0,"Matt Araiza punts 48 yards, fair catch by Derius Davis at LAC-35",-2.32,-1.27,14.0,2024,207
2.0,4:45,1.0,10.0,LAC 35,0.0,6.0,Justin Herbert pass incomplete short middle,1.27,0.72,14.0,2024,207
2.0,4:40,2.0,10.0,LAC 35,0.0,6.0,Justin Herbert pass incomplete short left intended for Josh Palmer,0.72,0.04,14.0,2024,207
2.0,4:36,3.0,10.0,LAC 35,0.0,6.0,"Justin Herbert pass complete deep right to Quentin Johnston for no gain (tackle by Bryan Cook). Penalty on Joe Alt: Offensive Holding, 10 yards (accepted) (no play)",0.04,-1.29,14.0,2024,207
2.0,4:13,3.0,20.0,LAC 25,0.0,6.0,Taylor Heinicke scrambles up the middle for 12 yards (tackle by Nick Bolton),-1.29,-0.91,14.0,2024,207
2.0,3:36,4.0,8.0,LAC 37,0.0,6.0,"JK Scott punts 44 yards, returned by Nikko Remigio for 4 yards (tackle by Shaquille Quarterman)",-0.91,-0.48,14.0,2024,207
2.0,3:28,1.0,10.0,KAN 23,0.0,6.0,Patrick Mahomes pass incomplete short right intended for Noah Gray,0.48,-0.07,14.0,2024,207
2.0,3:24,2.0,10.0,KAN 23,0.0,6.0,Patrick Mahomes pass complete short left to Xavier Worthy for 3 yards (tackle by Kristian Fulton),-0.07,-0.36,14.0,2024,207
2.0,2:52,3.0,7.0,KAN 26,0.0,6.0,Patrick Mahomes pass complete short right to Xavier Worthy for 11 yards (tackle by Cam Hart),-0.36,1.4,14.0,2024,207
2.0,2:24,1.0,10.0,KAN 37,0.0,6.0,Kareem Hunt right end for 7 yards (tackle by Poona Ford),1.4,1.8,14.0,2024,207
